,City,Cost,Rating,Comfort
0,"Dzielnica Uzdrowiskowa, Kołobrzeg",9992,8.3,8.4
1,Mrzeżyno,12627,8.0,8.8
2,Międzywodzie,3044,9.1,9.3
3,Mielno,2223,8.7,8.0
4,Międzyzdroje,5570,8.6,8.9
5,Świnoujście,5202,7.8,8.0
6,Ustronie Morskie,4830,9.3,9.3
7,Świnoujście,7324,7.5,9.1
8,Dąbki,3446,9.3,8.6
9,Międzywodzie,2140,7.6,8.9
10,Kołobrzeg,2856,8.5,8.8
11,Niechorze,2979,9.0,8.5
12,Lędzin,2788,9.2,9.6
13,Kłos,3185,9.0,8.9
14,Darłowo,1309,9.7,9.2
15,Jarosławiec,14672,8.6,9.4
16,"Dzielnica Uzdrowiskowa, Kołobrzeg",7306,9.0,9.6
17,"Śródmieście, Kołobrzeg",4658,9.2,9.0
18,Stargard,5046,9.2,8.9
19,Trzęsacz,4946,8.1,8.8
20,Świnoujście,6203,8.4,9.5
21,Sianożęty,4930,8.6,9.3
22,"Śródmieście, Szczecin",6129,8.3,8.2
23,Pogorzelica,9600,8.1,8.2
24,Darłówko,2438,9.6,8.5
25,Gąski,4780,9.3,9.2
26,"Śródmieście, Kołobrzeg",7264,8.2,8.6
27,"Śródmieście, Szczecin",4135,8.2,9.7
28,Ustronie Morskie,4906,7.4,8.8
29,Myślibórz,2450,7.0,8.5
30,Międzywodzie,8531,7.3,9.4
31,Świnoujście,5565,8.4,8.0
32,"Śródmieście, Szczecin",5038,9.0,8.9
33,Pobierowo,4995,8.5,8.0
34,Darłówko,4993,9.6,8.3
35,Niechorze,6027,9.0,8.9
36,Zieleniewo,2380,8.3,9.0
37,"Śródmieście, Szczecin",5396,9.0,9.5
38,Rewal,5796,8.0,9.5
39,Sarbinowo,14182,9.0,9.4
40,Niechorze,6291,8.1,8.9
41,Mielenko,2006,7.9,8.6
42,Świnoujście,5661,8.0,8.6
43,Połczyn-Zdrój,4597,8.8,9.7
44,Grzybowo,5230,9.0,9.4
45,"Śródmieście, Szczecin",5460,9.1,8.0
46,Jarosławiec,4400,9.5,8.9
47,Pogorzelica,4310,9.4,9.5
48,Rewal,6293,8.7,8.3
