,City,Cost,Rating,Comfort
0,Spała,5933,8.7,8.8
1,"Śródmieście, Łódź",2541,8.1,8.2
2,Uniejów,6581,9.0,9.3
3,Dobroń,3867,9.6,9.6
4,"Śródmieście, Łódź",803,7.4,8.4
5,Piotrków Trybunalski,2128,7.9,9.4
6,Zgierz,2861,8.3,8.7
7,"Śródmieście, Łódź",5500,8.9,8.1
8,Smardzewice,2367,8.9,8.0
9,Leżnica Wielka,2695,8.1,8.3
10,Kutno,3510,7.9,8.0
11,Łęczyca,2673,7.4,9.7
12,Spała,4410,8.4,9.0
13,Spała,3324,8.3,9.4
14,"Bałuty, Łódź",6786,9.5,8.1
15,"Śródmieście, Łódź",5282,8.7,8.7
16,"Śródmieście, Łódź",785,7.1,9.5
17,Konstantynów Łódzki,2228,7.9,9.4
18,"Bałuty, Łódź",6195,9.1,9.5
19,Kutno,3115,7.8,9.4
20,Skierniewice,3780,8.3,8.6
21,"Śródmieście, Łódź",2956,7.7,9.5
22,"Śródmieście, Łódź",2033,7.6,8.2
23,Uniejów,7466,9.2,9.4
24,Łódź,5998,9.0,8.9
25,Uniejów,7466,9.2,9.4
26,Łódź,5923,9.0,8.6
27,Chlebów,1739,8.7,8.4
28,Uniejów,1565,9.4,9.6
29,Bolesławiec,3330,8.0,8.7
30,"Śródmieście, Łódź",5558,9.0,8.0
31,Łódź,4410,8.8,8.6
32,Łódź,2179,9.3,9.6
33,Księże Młyny,1758,7.1,8.4
34,Łódź,2940,8.3,8.6
35,Bełchatów,3870,8.1,8.2
36,Moszczenica,5989,9.5,9.4
37,"Śródmieście, Łódź",4683,8.5,9.3
38,Piotrków Trybunalski,2212,8.0,9.1
39,Łódź,4200,8.5,8.5
40,Łódź,1923,7.2,8.2
41,Łódź,2997,9.5,8.6
42,"Śródmieście, Łódź",1791,7.6,9.0
43,"Śródmieście, Łódź",1470,8.6,8.6
44,Kutno,3920,8.5,9.0
45,Złoczew,1689,7.8,8.1
46,"Śródmieście, Łódź",1763,8.1,8.4
47,Piotrków Trybunalski,2463,9.4,8.0
48,Łódź,2264,9.1,9.1
49,Wieluń,3360,8.9,9.4
50,Łódź,3810,8.4,9.0
51,Wolbórz,2625,8.3,8.4
52,Łowicz,2520,8.6,8.4
53,Osjaków,2940,8.8,8.4
54,"Śródmieście, Łódź",1812,8.6,8.3
55,Polichno,2226,7.8,10.0
56,Warta,3413,9.0,9.3
57,Radomsko,1890,8.2,9.6
58,"Śródmieście, Łódź",1806,8.6,8.9
59,Konstantynów Łódzki,2226,8.0,8.4
60,Wolbórz,3066,8.9,8.9
61,Uniejów,2447,9.3,9.3
62,Uniejów,6213,8.8,8.4
63,Stryków,3787,8.4,9.6
64,Uniejów,4095,8.5,8.5
65,Piotrków Trybunalski,3865,8.4,9.3
66,Radomsko,2030,8.4,9.4
67,Łyszkowice,3876,9.7,8.0
68,Bolimów,2800,7.6,8.3
69,Radomsko,3150,9.2,8.6
70,Łódź,2514,9.5,9.2
71,Spała,3985,8.9,9.6
