,City,Cost,Rating,Comfort
0,Marzysz,3500,9.1,9.0
1,Busko-Zdrój,3150,9.3,9.3
2,Kielce,4165,8.2,8.5
3,Krajno Pierwsze,991,8.7,8.4
4,Bodzentyn,3890,9.9,9.9
5,Cedzyna,7213,8.8,8.9
6,Kielce,4830,9.0,9.1
7,Kielce,3082,8.1,8.2
8,Sandomierz,3920,9.5,9.6
9,Sandomierz,4668,9.0,9.0
10,Chęciny,2220,8.9,8.6
11,Starachowice,2142,8.4,8.4
12,Obrazów,1561,8.8,8.9
13,Kielce,3452,8.3,8.2
14,Solec-Zdrój,2499,9.6,9.4
15,Sandomierz,2310,8.6,8.4
16,Krajno-Zagórze,1723,9.5,9.4
17,Miedzierza,1539,9.5,9.4
18,Chęciny,1820,8.3,8.0
19,Busko-Zdrój,2100,9.0,8.9
20,Przybysławice,3700,8.3,8.0
21,Zagnańsk Zachełmie,1530,8.8,8.4
22,Opatów,2310,8.8,8.7
23,Kielce,1984,8.4,8.4
24,Cisów,2254,8.2,9.8
25,Sandomierz,4200,9.7,8.4
26,Kielce,1984,8.4,9.0
27,Cisów,2450,8.2,9.8
28,Wiśniówka Mała,2478,9.1,9.0
29,Święta Katarzyna,5324,9.8,8.0
30,Sandomierz,3630,8.9,9.1
31,Sobków,3500,8.7,9.3
32,Fałków,2170,9.1,9.1
33,Busko-Zdrój,4025,9.2,9.1
34,Sandomierz,5395,8.9,8.9
35,Kielce,3192,7.8,8.9
36,Chęciny,1750,7.9,9.3
37,Ostrowiec Świętokrzyski,2940,9.0,9.6
38,Wola,2374,9.2,8.2
39,Opatów,3241,8.8,8.2
40,Święta Katarzyna,2388,9.1,8.2
41,Masłów,2296,7.3,8.0
42,Solec-Zdrój,2534,9.5,8.3
43,Bałtów,1862,8.3,9.0
44,Rytwiany,4534,8.0,9.4
45,Ostrowiec Świętokrzyski,3052,8.3,10.0
46,Starachowice,2660,8.2,9.1
47,Celiny,1932,8.9,8.2
48,Busko-Zdrój,6404,8.7,8.4
49,Skalbmierz,3212,9.0,9.6
50,Busko-Zdrój,3570,9.9,8.9
51,Stąporków,3101,7.2,8.9
52,Kielce,1286,9.1,8.2
53,Skarżysko-Kamienna,3143,8.1,9.1
54,Końskie,2170,7.3,8.3
55,Ostrowiec Świętokrzyski,2695,8.0,9.2
56,Starachowice,4620,8.3,8.3
57,Sandomierz,5430,9.6,8.9
58,Nagłowice,2310,8.8,9.5
59,Starachowice,5502,8.7,9.3
60,Zielonki,1995,8.3,9.4
61,Busko-Zdrój,2100,9.1,9.1
62,Busko-Zdrój,3514,8.3,9.3
63,Sandomierz,4960,9.1,8.5
64,Święta Katarzyna,1330,8.6,8.6
65,Kielce,2100,9.0,9.8
66,Kielce,3641,9.4,9.0
67,Ostrowiec Świętokrzyski,1575,9.3,10.0
68,Solec-Zdrój,3432,9.2,9.7
69,Busko-Zdrój,7165,8.7,8.1
70,Sandomierz,5030,9.2,9.8
71,Bałtów,1260,8.8,9.8
72,Busko-Zdrój,2072,8.8,9.1
73,Sandomierz,3027,9.9,9.1
74,Sandomierz,1960,9.0,8.9
75,Sandomierz,2994,10.0,9.5
76,Kielce,1483,9.7,8.6
77,Stopnica,1820,8.3,8.8
78,Bodzentyn,6300,9.5,8.0
79,Kielce,2544,9.7,8.1
80,Busko-Zdrój,5773,9.0,9.4
81,Sandomierz,2450,9.3,8.7
82,Bałtów,3939,8.7,9.8
83,Kielce,4651,7.4,9.5
84,Ostrowiec Świętokrzyski,2730,9.2,9.3
85,Kielce,10502,8.7,9.2
86,Kazimierza Wielka,3550,8.8,8.6
87,Kielce,1587,8.5,9.2
88,Bałtów,1092,8.3,8.1
89,Kielce,2077,9.4,9.7
90,Stopnica,3360,8.8,10.0
91,Święta Katarzyna,1400,9.8,8.3
92,Sandomierz,4750,9.5,9.4
93,Kielce,2315,9.3,8.4
94,Łagów,3094,9.1,9.4
95,Bodzentyn,1302,7.1,8.4
96,Kielce,1730,8.5,8.2
97,Huta Szklana,4186,9.4,9.2
98,Kielce,3535,7.4,9.4
99,Suchedniów,2307,7.9,8.9
100,Ostrowiec Świętokrzyski,2100,9.5,9.7
101,Kielce,2625,10.0,9.5
102,Miedziana Góra,4782,9.0,9.5
103,Ożarów,4341,9.5,9.3
104,Chęciny,1820,8.3,9.2
105,Chęciny,2513,9.4,9.5
106,Busko-Zdrój,1260,8.4,8.5
107,Dwikozy,1405,8.2,8.7
108,Raków,2870,9.0,9.8
109,Mniów,2170,9.4,9.5
110,Kielce,2235,9.1,8.0
111,Kielce,1820,9.5,9.9
112,Ostrowiec Świętokrzyski,2170,9.4,8.5
