,City,Cost,Rating,Comfort
0,Niesulice,5054,8.7,9.1
1,Radzyń,2722,7.8,9.2
2,Nowa Sól,3906,9.1,8.8
3,Słubice,6300,7.8,8.7
4,Skwierzyna,5250,8.8,8.3
5,Żary,2800,8.7,8.6
6,Łagów,4886,8.3,9.0
7,Babimost,3182,8.6,8.0
8,Słubice,4550,8.9,9.1
9,Gorzów Wielkopolski,5002,7.9,9.5
10,"Centrum, Zielona Góra",2964,9.0,8.3
11,Kostrzyn nad Odrą,4505,7.5,8.7
12,Gorzów Wielkopolski,2328,9.4,8.6
13,Łęknica,5038,8.4,8.4
14,Łagów,4363,7.6,9.4
15,Jesionka,3780,8.5,8.6
16,Radzyń,3270,8.8,8.1
17,Olszyna,3091,8.5,9.4
18,Słońsk,4054,9.1,9.2
19,Lubniewice,8540,8.4,9.4
20,Witnica,2380,7.5,8.0
21,Strzelce Krajeńskie,2870,7.8,8.6
22,Słubice,4146,7.9,9.5
23,Gorzów Wielkopolski,3864,9.4,8.4
24,Żary,3050,9.1,8.6
25,Lubiatów,3407,8.0,8.7
26,Gorzów Wielkopolski,3864,9.4,9.4
27,Gorzów Wielkopolski,2645,7.8,8.7
28,Żary,2366,8.7,8.5
29,Gorzów Wielkopolski,3426,9.4,8.9
30,Świebodzin,4389,8.4,8.8
31,Lubniewice,4256,8.6,8.6
32,Szprotawa,5740,8.8,9.7
33,Łęknica,3413,7.0,8.1
34,Nowa Sól,3766,9.3,8.4
35,Łagów,4363,7.6,9.4
36,Torzym,1540,8.7,8.2
37,Torzym,2940,7.6,8.6
38,Słońsk,3518,8.2,9.5
39,Międzyrzecz,3850,8.8,8.8
40,Nowa Sól,3066,8.9,9.3
41,"Centrum, Zielona Góra",5286,8.6,9.0
42,Zielona Góra,4348,9.5,8.6
43,Słubice,4060,8.1,9.4
44,Olszyna,2240,8.2,8.1
45,Kostrzyn nad Odrą,1960,7.2,9.1
46,Gorzów Wielkopolski,2328,9.3,8.4
47,Świebodzin,4060,8.1,9.6
48,Gorzów Wielkopolski,2520,6.6,8.5
49,Szprotawa,2380,8.5,8.9
50,Torzym,3780,9.2,8.1
51,Kostrzyn nad Odrą,3640,7.7,9.4
52,"Centrum, Zielona Góra",2809,8.7,8.0
53,"Centrum, Zielona Góra",7546,9.2,8.7
54,Lubrza,2998,9.0,8.9
55,Słubice,2380,6.7,9.2
56,Żary,4242,7.8,9.7
57,Żary,3500,8.6,8.0
58,Zielona Góra,7126,9.1,8.6
59,Gorzów Wielkopolski,4480,7.8,8.0
60,Zielona Góra,2997,9.1,8.6
61,Ośno Lubuskie,3430,8.4,9.6
62,Drezdenko,6865,9.6,9.7
63,Danków,3394,8.7,9.2
64,Żary,3640,7.1,8.7
65,Międzyrzecz,3360,8.7,8.1
