,City,Cost,Rating,Comfort
0,"Śródmieście, Warszawa",2522,7.1,9.0
1,"Śródmieście, Warszawa",4836,7.6,8.3
2,Nowy Dwór Mazowiecki,3290,8.9,9.5
3,Sobienie Szlacheckie,5345,8.2,8.5
4,"Wola, Warszawa",6972,9.2,8.7
5,Gostynin,2800,8.0,8.5
6,Radom,2240,8.0,8.6
7,Płock,5786,8.4,8.1
8,Leszno,3976,8.6,9.0
9,Krzyżówka,3056,8.5,8.4
10,Radom,2800,8.5,8.6
11,"Wola, Warszawa",4392,7.1,8.3
12,Ciechanów,3290,8.1,8.6
13,"Śródmieście, Warszawa",6168,8.7,9.4
14,Leszno,3500,8.4,9.4
15,Klembów Kościelny,3430,8.6,9.1
16,Konstancin-Jeziorna,5180,8.4,9.3
17,Siedlce,3014,8.6,8.6
18,"Śródmieście, Warszawa",9288,9.1,8.8
19,"Śródmieście, Warszawa",5720,9.1,8.2
20,Ostrów Mazowiecka,3290,7.1,8.6
21,"Śródmieście, Warszawa",5230,9.0,8.7
22,Wilga,2434,9.3,8.2
23,Ołtarzew,4495,8.5,8.6
24,"Ochota, Warszawa",6680,8.5,9.2
25,Dalnia,3080,8.4,9.0
26,Serock,6860,8.3,8.8
27,Ostrów Mazowiecka,3290,7.1,9.3
28,Ożarów Mazowiecki,5969,8.5,9.3
29,"Śródmieście, Warszawa",4440,8.2,8.4
30,"Włochy, Warszawa",4775,8.4,8.4
31,Płock,6673,9.2,9.3
32,"Włochy, Warszawa",6328,8.6,8.8
33,"Śródmieście, Warszawa",6840,8.7,9.1
34,Żyrardów,3760,8.0,8.9
35,Ząbki,6685,9.1,9.3
36,"Włochy, Warszawa",6146,9.1,9.3
37,"Włochy, Warszawa",3410,8.3,8.8
38,Nowy Dwór Mazowiecki,2380,7.9,8.7
39,"Śródmieście, Warszawa",4590,8.3,9.2
40,Radom,2061,9.3,8.7
41,"Wola, Warszawa",4366,7.7,9.8
42,Łochów,7270,8.5,9.6
43,Wyszków,2576,9.0,9.2
44,"Śródmieście, Warszawa",7612,8.6,9.1
45,"Mokotów, Warszawa",5424,9.0,9.5
46,"Mokotów, Warszawa",5634,9.0,9.2
47,Sochaczew,6157,8.6,9.6
48,"Włochy, Warszawa",5280,8.6,9.6
49,"Śródmieście, Warszawa",9100,8.8,8.4
50,"Śródmieście, Warszawa",6280,8.5,9.6
51,Radom,2374,9.7,8.7
52,"Wola, Warszawa",6034,9.5,9.7
53,"Ochota, Warszawa",5339,8.9,8.6
54,Serock,11632,8.7,9.2
55,"Włochy, Warszawa",4878,9.1,9.3
56,"Wawer, Warszawa",4754,8.8,8.1
57,Nowa Wieś,1759,9.5,8.3
58,"Mokotów, Warszawa",4711,9.1,10.0
59,Ciechanów,2930,8.1,8.8
60,"Śródmieście, Warszawa",4956,8.4,8.2
61,"Mokotów, Warszawa",5696,9.3,9.5
62,Mszczonów,2318,8.7,8.9
63,"Wola, Warszawa",8406,9.4,8.8
64,"Wola, Warszawa",6230,8.2,9.0
65,"Wola, Warszawa",6734,8.9,9.2
66,"Wola, Warszawa",5226,8.9,9.2
67,Piaseczno,2800,8.3,9.5
68,Gorzewo,3283,8.5,8.5
69,Płock,2378,10.0,8.7
70,Gaj,2800,8.8,8.7
71,"Mokotów, Warszawa",3880,8.0,9.6
72,Siedlce,4466,9.3,9.4
73,Raszyn,2827,9.0,8.4
74,"Ursynów, Warszawa",3800,8.6,8.0
75,Siedlce,3360,8.8,8.7
76,"Wola, Warszawa",6734,8.9,9.1
77,"Mokotów, Warszawa",5670,8.9,8.2
78,Mińsk Mazowiecki,2653,9.3,9.0
79,Nowy Dwór Mazowiecki,6426,8.2,8.9
80,Sierpc,2800,8.7,9.4
81,Łomianki,2376,8.9,9.3
82,"Śródmieście, Warszawa",8746,9.3,8.2
83,"Śródmieście, Warszawa",8246,9.1,8.4
84,Mińsk Mazowiecki,3360,7.4,9.5
85,Piaseczno,6440,8.3,8.0
86,Załuski,2524,8.1,9.6
87,Siedlce,2940,8.6,8.9
88,"Mokotów, Warszawa",3698,8.9,9.4
89,"Mokotów, Warszawa",3880,8.0,8.0
90,Ciechanów,3570,9.0,8.3
91,"Wola, Warszawa",3357,8.5,9.1
92,"Praga Północ, Warszawa",4606,9.1,9.4
93,"Wilanów, Warszawa",4690,7.7,8.6
94,"Śródmieście, Warszawa",7924,9.0,8.9
95,Wyszków,4620,8.1,9.3
96,Przasnysz,2450,8.3,9.2
97,Antonie,2340,9.3,8.9
98,"Śródmieście, Warszawa",3930,8.0,9.7
99,"Włochy, Warszawa",3280,8.1,8.8
100,Gaśno,5025,9.7,10.0
101,Warka,16293,8.7,8.8
102,"Wola, Warszawa",5832,9.1,8.8
103,"Włochy, Warszawa",3280,8.1,8.3
104,"Śródmieście, Warszawa",3487,7.8,8.7
105,Cekanowo,6560,8.4,8.5
106,Płońsk,3010,7.7,9.1
107,"Praga Południe, Warszawa",5870,8.8,8.5
108,Nowy Dwór Mazowiecki,3080,7.7,8.9
109,"Mokotów, Warszawa",5189,9.1,9.0
110,"Ochota, Warszawa",3820,8.6,9.1
111,Konstancin-Jeziorna,7526,8.7,8.6
112,Raszyn,3220,9.2,8.5
113,Mszczonów,7700,9.1,8.1
114,"Wola, Warszawa",9974,8.4,8.8
115,Popielżyn Dolny,2760,9.6,8.0
116,"Śródmieście, Warszawa",6101,8.3,8.8
117,"Mokotów, Warszawa",3280,7.2,8.8
118,Płock,1995,10.0,9.0
119,"Śródmieście, Warszawa",4777,8.7,8.7
120,"Wola, Warszawa",4887,8.5,8.7
121,Płońsk,3150,8.2,8.9
122,Góra Kalwaria,3515,8.6,8.8
123,Przysucha,4550,8.7,9.1
124,Pruszków,2450,9.1,9.3
125,Przysucha,4550,8.7,8.1
126,"Ursynów, Warszawa",6845,8.7,8.9
127,"Wola, Warszawa",5255,8.8,8.6
128,"Ursynów, Warszawa",4885,8.9,9.0
129,Nadarzyn,2973,8.1,9.3
130,Płock,4550,7.7,9.1
131,Jachranka,9221,8.2,8.0
132,Zielonka,4620,8.8,8.1
133,Mory,4712,8.0,8.4
134,Radom,3220,7.8,8.0
135,Korczew,3157,8.7,9.1
136,"Ochota, Warszawa",3490,8.0,9.6
137,"Mokotów, Warszawa",4020,8.6,8.2
138,Jadwisin,2800,7.8,8.3
139,"Praga Północ, Warszawa",4379,8.7,9.5
140,Mława,2240,9.2,8.1
141,Radom,2380,7.6,9.1
142,Góra Kalwaria,2940,8.7,9.0
143,Warka,4907,8.4,8.0
144,"Włochy, Warszawa",4706,8.6,9.2
145,Mszczonów,6290,8.7,8.1
146,"Włochy, Warszawa",4856,8.8,8.8
147,"Włochy, Warszawa",5120,8.9,9.3
148,"Wola, Warszawa",3979,7.9,8.5
149,"Śródmieście, Warszawa",6172,7.6,8.6
150,Chustki,2288,7.3,8.8
151,Ostrów Mazowiecka,4480,8.8,9.3
152,Pionki,3276,8.5,9.5
153,Błonie,2660,8.0,8.6
154,Mława,2240,9.2,9.5
155,Janówek,3800,9.5,9.8
156,"Włochy, Warszawa",4109,8.9,9.1
157,"Śródmieście, Warszawa",3600,8.1,8.0
158,Płońsk,3380,8.1,9.0
159,Kajetany,4053,8.3,8.4
160,"Śródmieście, Warszawa",3887,8.1,8.7
161,"Wola, Warszawa",3882,9.0,9.2
162,Brochów,3520,9.5,9.6
163,Ostrołęka,2590,8.0,9.2
164,Węgrów,3640,8.1,9.0
165,Ostrołęka,2240,8.4,8.9
166,Klaudyn,2170,9.4,9.0
167,"Bielany, Warszawa",5593,7.9,8.0
168,"Bielany, Warszawa",4633,9.1,8.4
169,"Włochy, Warszawa",4039,8.9,8.0
170,"Śródmieście, Warszawa",5180,8.0,9.6
171,Otwock,5740,8.7,9.3
172,Siedlce,3290,8.4,9.2
173,Radom,1675,8.9,10.0
174,"Śródmieście, Warszawa",5842,9.1,9.8
175,"Śródmieście, Warszawa",4704,8.7,8.2
176,"Śródmieście, Warszawa",3710,7.1,9.2
177,Sulejówek,2784,7.9,9.4
178,"Wola, Warszawa",3990,8.5,8.1
179,Radom,1675,8.9,8.2
180,"Śródmieście, Warszawa",8436,9.0,9.2
181,"Śródmieście, Warszawa",9397,9.0,9.9
182,Dobrzyków,3036,8.6,8.7
183,Nur,3373,9.5,9.1
184,Przasnysz,2660,9.9,9.7
185,"Włochy, Warszawa",5078,8.9,8.8
186,Nadarzyn,3640,8.1,8.9
187,"Włochy, Warszawa",4039,8.9,8.5
188,Bronisze,5320,8.4,8.5
