,City,Cost,Rating,Comfort
0,Szczedrzyk,3520,8.7,8.5
1,Szydłowice,1976,9.3,9.2
2,Opole,3640,8.4,8.7
3,Opole,3060,7.7,8.6
4,Gorz,3430,8.5,8.4
5,Prudnik,4135,8.3,9.2
6,Opole,5926,9.0,9.4
7,Kolonowskie,2801,9.4,8.9
8,Opole,4746,8.7,8.3
9,Moszna,8440,8.6,8.5
10,Opole,3780,8.3,8.9
11,Jemielnica,2940,8.8,8.8
12,Kędzierzyn-Koźle,4430,8.7,8.1
13,Stradunia,2207,8.4,8.4
14,Turawa,4540,8.4,9.2
15,Opole,6090,9.1,9.3
16,Głubczyce,2156,9.3,8.5
17,Nysa,2268,8.3,8.7
18,Opole,4200,8.6,9.6
19,Nysa,2100,9.4,8.9
20,Brzezie,2590,8.2,9.3
21,Paczków,2660,8.8,9.0
22,Stare Siołkowice,2344,9.0,8.6
23,Namysłów,2695,8.5,8.3
24,Jarnołtówek,3783,7.5,9.4
25,Namysłów,1995,8.0,8.5
26,Namysłów,2310,8.4,10.0
27,Walidrogi,1910,9.1,9.0
28,Brzeg,5320,7.9,9.0
29,Turawa,3640,8.4,8.2
30,Kluczbork,3955,10.0,9.1
31,Nysa,2410,8.8,9.4
32,Brzeg,5160,9.0,8.6
33,Opole,2940,8.4,8.8
34,Brzeg,3745,9.3,8.4
35,Jarnołtówek,2240,9.0,9.0
36,Głuchołazy,6053,8.9,8.9
37,Olesno,1828,8.8,8.8
38,Gogolin,4480,8.0,9.1
39,Głuchołazy,3080,8.6,9.3
40,Bogacica,3430,9.0,8.7
41,Brzeg,4860,9.0,8.1
42,Turawa,2940,8.7,9.0
43,Głubczyce,4760,9.0,8.9
44,Opole,2888,9.4,9.2
45,Skarbimierz Osiedle,2450,7.1,8.5
46,Kędzierzyn-Koźle,3990,6.7,8.4
47,Nysa,1638,8.8,8.5
48,Chrząstowice,3395,8.2,8.3
49,Opole,1876,8.9,8.6
50,Byczyna,3966,8.9,8.4
51,Głuchołazy,2240,9.3,8.7
52,Kędzierzyn-Koźle,2856,8.7,8.9
53,Pawłowiczki,3710,8.3,8.6
54,Opole,3440,8.5,8.9
55,Murów,3640,8.3,8.4
56,Jarnołtówek,4200,8.6,9.8
57,Głubczyce,1673,8.3,9.1
58,Brzeg,2660,8.7,9.6
59,Opole,3677,7.8,9.6
60,Nysa,3900,8.7,8.2
61,Nysa,5306,8.6,8.5
62,Raszowa,2800,9.0,9.0
63,Mechnica,1453,6.8,9.0
64,Opole,1960,8.4,8.3
65,Opole,1470,9.7,8.3
66,Ligota Zamecka,3464,9.2,9.1
67,Opole,2470,9.5,9.5
68,Opole,2357,9.6,8.8
69,Głuchołazy,3080,8.2,8.9
70,Biała,1694,8.2,8.6
71,Opole,2800,9.0,8.7
72,Góra Świętej Anny,3970,9.1,9.0
73,Szczedrzyk,2492,8.2,8.9
74,Prudnik,4060,8.2,9.9
75,Prudnik,4060,9.1,10.0
76,Opole,2305,8.3,8.8
77,Brzeg,2730,9.6,9.5
78,Nysa,3741,9.0,8.6
79,Lubiatow,1400,8.8,10.0
80,Namysłów,1900,7.5,8.7
81,Prudnik,2646,8.5,9.4
82,Kędzierzyn-Koźle,4410,8.6,9.3
83,Łubniany,2600,9.0,9.6
84,Dębska Kuźnia,3994,8.7,9.1
