,City,Cost,Rating,Comfort
0,Głogów Małopolski,3306,7.5,8.8
1,Rzeszów,2163,7.5,9.6
2,Lutowiska,5365,8.8,9.1
3,Rzeszów,2809,9.5,8.2
4,Rzeszów,2053,7.3,8.8
5,Ustrzyki Dolne,1781,9.2,8.9
6,Krosno,2520,8.3,9.2
7,Rajskie Sakowczyk,8004,8.7,9.7
8,Będziemyśl,4851,8.9,8.4
9,Lutowiska,3685,9.0,9.3
10,Łańcut,7196,9.6,9.5
11,Jasło,2520,8.4,9.4
12,Wetlina,2790,9.4,9.4
13,Krosno,2261,9.5,9.4
14,Rzeszów,7000,9.1,9.4
15,Wetlina,3128,9.6,9.3
16,Jasionka,11200,9.2,9.4
17,Iwonicz-Zdrój,3500,9.5,9.1
18,Polańczyk,3192,9.3,8.3
19,Polańczyk,2408,8.1,8.6
20,Wetlina,3290,9.3,9.4
21,Łączki,1929,9.1,9.3
22,Solina,1806,8.7,9.4
23,Czarna,3710,8.6,9.1
24,Zawóz,5404,9.3,8.4
25,Chotowa,5040,9.2,8.0
26,Solina,6961,7.6,8.5
27,Solina,3878,9.5,8.3
28,Dubiecko,4550,9.1,8.5
29,Sanok,3353,8.3,9.1
30,Rzeszów,4760,7.9,9.8
31,Ulanów,2275,9.0,9.7
32,Stalowa Wola,3605,8.2,9.4
33,Kombornia,4629,8.4,8.1
34,Rzeszów,5446,9.0,9.6
35,Ustrzyki Dolne,12612,9.8,9.0
36,Rzeszów,14320,9.6,8.9
37,Frysztak,3656,9.4,8.3
38,Przemyśl,3206,6.5,8.1
39,Rzeszów,4900,8.1,8.8
40,Sanok,4971,9.7,9.6
41,Przemyśl,2100,9.1,9.6
42,Lutowiska,10045,8.8,10.0
43,Mielec,4606,8.3,9.6
44,Radymno,3780,8.1,9.6
45,Sanok,2310,8.8,10.0
46,Ropienka,2083,9.7,9.0
47,Wetlina,3276,9.5,9.6
48,Wetlina,2765,10.0,9.2
49,Lesko,3591,9.7,9.3
50,Ropienka,2083,9.5,9.2
51,Wetlina,3276,10.0,9.9
52,Wetlina,3405,9.2,8.9
53,Zawóz,3647,9.7,9.6
54,Sanok,4971,9.0,8.0
55,Rzeszów,6300,9.6,9.0
56,Solina,2338,9.3,8.3
57,Cisna,2268,9.8,8.7
58,Przemyśl,2376,8.4,9.7
59,Wyżne,4240,7.8,8.0
60,Solina,4732,9.4,8.8
61,Jarosław,4466,8.3,9.6
62,Lesko,3591,9.3,8.7
63,Leżajsk,3080,8.2,8.0
64,Smolnik,3289,8.9,9.4
65,Stalowa Wola,4060,7.3,8.8
66,Baranów Sandomierski,5457,9.9,9.5
67,Rudna Mała,3640,8.2,8.1
68,Pawłowa,2450,8.7,9.5
69,Przemyśl,1820,9.5,8.1
70,Jasło,3220,8.9,9.3
71,Mielec,2121,8.3,9.8
72,Krasiczyn,4480,9.1,8.2
73,Rymanów-Zdrój,2247,8.6,8.1
74,Rzeszów,8140,9.4,8.3
75,Łańcut,5040,8.4,9.5
76,Wańkowa,6160,9.3,8.9
77,Horyniec Zdrój,3800,8.1,9.9
78,Tarnobrzeg,5880,9.0,8.9
79,Rzeszów,2434,9.5,9.3
80,Rzeszów,8190,8.2,9.0
81,Przemyśl,3430,8.7,9.2
82,Cisna,4211,7.8,9.3
83,Ustrzyki Dolne,1414,7.9,9.5
84,Solina,4732,8.1,8.2
85,Rzeszów,4690,9.5,8.2
86,Przemyśl,3815,8.3,9.3
87,Polańczyk,5126,9.9,9.4
88,Wola Ociecka,2982,9.1,9.2
89,Bystre,6930,9.2,8.4
90,Stalowa Wola,1918,9.0,9.0
91,Przemyśl,3290,7.9,8.5
92,Góra Motyczna,3920,9.0,9.4
93,Stalowa Wola,3205,9.2,8.9
94,Krosno,7280,9.6,8.8
95,Przemyśl,1716,8.2,9.4
96,Jarosław,2545,8.7,9.0
97,Rzeszów,2590,9.6,9.3
98,Solina,1708,9.5,8.4
99,Solina,2338,9.0,8.9
100,Lesko,2192,7.6,8.8
101,Krosno,7280,8.4,9.4
102,Korczowa,2787,9.2,9.1
103,Rzeszów,3500,8.7,8.2
104,Rymanów-Zdrój,1834,9.3,9.6
105,Wrocanka,2256,8.7,8.8
106,Smerek,3080,8.8,8.7
107,Krosno,4018,9.6,8.9
108,Jasło,3360,8.6,9.6
109,Bukowiec,2198,9.0,9.6
110,Rzeszów,7710,8.8,8.9
111,Trzebownisko,10360,8.8,9.4
112,Lutowiska,1865,8.8,8.0
113,Sędziszów Małopolski,3080,9.6,8.7
114,Lutowiska,5365,9.0,9.4
115,Polany,3671,8.3,9.4
116,Solina,7544,9.6,9.2
117,Krosno,2520,8.5,9.2
118,Lesko,3920,8.7,9.7
119,Polańczyk,6112,9.1,8.9
120,Jarosław,2240,9.7,9.7
121,Łańcut,4200,9.4,9.4
122,Lutowiska,2145,8.9,9.6
123,Wetlina,3510,9.5,10.0
124,Hoczew,8232,7.4,8.4
125,Przemyśl,2703,7.9,10.0
126,Ustrzyki Dolne,3287,8.9,9.6
127,Przemyśl,2100,9.1,9.2
128,Iwonicz-Zdrój,2474,9.2,9.3
129,Narol,2576,9.4,9.4
130,Strzyżów,4060,7.5,9.0
131,Radawa,1890,9.1,8.1
132,Młyny,4043,9.5,9.0
133,Medyka,2520,8.7,9.7
134,Ustrzyki Dolne,2857,9.8,8.1
135,Grębów,2195,9.3,9.0
136,Ustrzyki Dolne,2352,9.6,8.9
137,Przemyśl,2332,10.0,9.0
138,Sanok,2800,8.7,8.2
139,Mielec,1790,9.8,9.4
140,Cisna,2804,9.6,9.5
141,Solina,3878,9.0,9.5
142,Cisna,2940,9.3,9.8
143,Sanok,4060,9.4,8.8
144,Łańcut,2590,8.9,9.3
145,Polańczyk,7700,8.3,9.3
146,Jasło,2310,8.8,9.0
147,Rzeszów,2940,7.7,9.8
148,Tarnobrzeg,4200,9.7,9.2
149,Przemyśl,5544,8.3,9.0
150,Kalnica,4323,8.8,9.2
151,Rzeszów,2940,9.1,9.5
152,Tarnobrzeg,4200,8.9,10.0
153,Wetlina,3375,7.8,10.0
154,Jasło,2310,8.0,9.2
155,Brzeżanka,2447,9.6,10.0
156,Olchowiec,2632,9.3,9.2
157,Górzanka,2828,9.6,8.5
158,Jasło,2753,9.8,8.8
159,Czarna,2753,7.9,9.7
160,Ustrzyki Dolne,2517,7.0,9.7
161,Przemyśl,3150,9.0,9.7
162,Tarnobrzeg,2934,9.2,9.2
163,Solina,2849,9.2,9.1
164,Cisna,4200,9.1,9.0
165,Rozpucie,4206,9.7,9.1
166,Wołkowyja,2926,9.3,8.6
167,Przemyśl,2240,9.0,8.7
168,Solina,7731,9.6,9.5
169,Ustrzyki Dolne,4410,9.6,9.0
170,Stalowa Wola,1662,10.0,8.6
171,Hoczew,2210,9.5,10.0
172,Baligród,7840,9.3,8.3
173,Komańcza,3332,10.0,9.6
174,Boratyn,3654,9.3,9.5
175,Ustrzyki Dolne,2409,8.8,9.2
176,Baligród,7690,8.6,9.4
177,Boratyn,3528,9.7,8.8
178,Cisna,1450,9.8,9.0
179,Nowa Sarzyna,3457,9.6,9.9
180,Kalnica,4323,9.2,9.4
181,Ustrzyki Dolne,2288,9.0,8.6
182,Dukla,2447,8.2,9.0
183,Jarosław,4200,9.3,9.9
184,Sanok,2660,9.4,9.6
185,Dukla,964,9.0,10.0
186,Cisna,2716,9.0,9.8
187,Ustrzyki Dolne,2156,9.5,9.9
188,Ropienka,5264,9.0,9.5
189,Polańczyk,2310,8.6,9.2
190,Sanok,2170,9.8,9.5
191,Łańcut,5040,8.4,9.9
192,Polańczyk,8740,9.6,8.9
193,Polańczyk,3584,9.7,9.0
194,Tyczyn,1715,8.8,9.3
195,Szczawne,2142,9.1,9.9
196,Jaśliska,4200,8.4,8.5
197,Rzeszów,9627,9.3,9.6
198,Krosno,4186,9.7,9.0
199,Kolbuszowa,3500,9.6,9.1
200,Lutowiska,4047,8.6,9.5
201,Rymanów-Zdrój,2632,9.1,8.9
202,Ustrzyki Dolne,2156,9.6,9.0
203,Polańczyk,9478,9.5,8.0
204,Wołkowyja,2926,9.8,10.0
205,Horyniec Zdrój,2340,9.7,9.9
206,Baligród,3045,9.7,9.5
207,Polańczyk,2434,9.6,8.9
208,Dukla,2613,9.2,10.0
209,Iwonicz-Zdrój,2136,9.6,9.6
210,Dębica,2793,9.8,8.3
211,Kalwaria Pacławska,1580,7.0,8.8
212,Sanok,1890,8.7,10.0
213,Ustrzyki Dolne,2190,9.4,8.4
214,Sanok,3164,9.5,9.7
215,Dębica,4200,9.7,9.7
216,Polańczyk,3052,8.0,9.9
217,Cisna,3405,9.6,9.6
218,Średnia Wieś,2520,9.1,9.7
219,Solina,7588,9.3,9.7
220,Komańcza,3035,9.6,9.9
221,Polańczyk,4442,9.3,8.0
222,Czarna,4571,8.9,9.2
223,Uherce Mineralne,4200,8.3,9.3
224,Rymanów-Zdrój,2940,9.8,9.8
225,Uherce Mineralne,2898,9.6,10.0
226,Iwonicz-Zdrój,2001,9.4,8.0
227,Mielec,1966,9.0,9.2
228,Horyniec Zdrój,2210,9.3,8.5
229,Łańcut,2779,9.5,9.3
230,Lubaczów,2243,8.3,9.9
231,Krosno,3108,8.6,10.0
232,Przemyśl,3890,10.0,9.8
233,Przemyśl,2590,8.6,10.0
234,Krosno,3500,9.8,9.8
235,Sanok,4900,9.9,9.2
236,Krosno,2023,9.9,10.0
237,Wetlina,3276,9.5,9.8
238,Ustrzyki Dolne,2106,9.7,8.4
239,Bezmichowa Górna,3780,9.8,8.8
240,Ustrzyki Dolne,3178,9.8,9.0
241,Rzeszów,3057,8.3,9.9
242,Sanok,2100,9.3,9.9
243,Ustrzyki Dolne,4648,9.2,9.6
244,Cisna,4595,9.6,9.4
245,Cisna,4760,9.9,9.5
246,Iwonicz-Zdrój,2118,8.3,8.8
