,City,Cost,Rating,Comfort
0,Pyrzowice,7560,8.7,9.1
1,Tapkowice,2590,8.8,8.9
2,Kroczyce,3045,8.3,8.1
3,Istebna,4760,8.4,8.4
4,Ustroń,6510,8.7,8.5
5,Dąbrowa Górnicza,5544,8.7,8.9
6,Milówka,3500,8.2,8.3
7,Piasek,5140,8.9,9.1
8,Istebna,5680,8.4,8.3
9,Jaworzno,3850,8.3,8.4
10,Bytom,3920,8.8,9.0
11,Sosnowiec,2255,7.8,8.5
12,Kroczyce,5050,8.5,9.0
13,Będzin,2596,7.8,8.5
14,Ustroń,3711,8.0,8.5
15,Bielsko-Biała,3325,8.8,8.3
16,Jaworzno,2268,8.8,8.6
17,Cieszyn,2180,8.4,9.1
18,Katowice,3920,8.7,8.0
19,Międzybrodzie Bialskie,3766,8.5,8.7
20,Rybnik,4550,9.1,8.9
21,Szczyrk,5040,8.1,9.7
22,Wisła,2856,8.6,8.0
23,Woźniki,4914,7.8,8.4
24,Będzin,3290,8.7,8.7
25,Gliwice,5576,9.7,8.8
26,Glinka,5238,8.1,9.0
27,Wisła,2856,8.3,9.0
28,Katowice,3170,8.6,9.1
29,Pyrzowice,4760,8.6,8.6
30,Chorzów,4842,9.3,8.7
31,Koniaków,4554,8.9,8.9
32,Brenna,7598,8.7,9.1
33,Ustroń,9470,7.6,8.8
34,Racibórz,3073,8.6,8.7
35,Czeladź,13270,8.7,8.8
36,Racibórz,2233,8.8,9.5
37,Czeladź,4080,8.8,9.8
38,Niegowa,5180,8.5,8.4
39,Gliwice,6400,8.8,9.5
40,Wisła,6436,9.1,8.6
41,Międzybrodzie Bialskie,4564,9.2,9.2
42,Katowice,8066,9.4,9.3
43,Wisła,6325,8.7,8.6
44,Dzibice,2524,9.8,8.6
45,Glinka,3822,8.6,9.3
46,Tychy,5390,9.2,8.6
47,Cieszyn,2737,8.8,9.7
48,Wisła,10696,8.5,9.0
49,Tarnowskie Góry,3780,8.6,8.1
50,Tychy,6503,8.8,9.6
51,Wisła,10696,8.5,8.7
52,Tarnowskie Góry,3780,9.5,8.5
53,Pietrzykowice,3150,8.7,9.0
54,Chorzów,5314,8.3,9.4
55,Wisła Mała,3220,9.4,8.7
56,Zabrze,4026,8.6,9.4
57,Szczyrk,7070,8.3,8.7
58,Zebrzydowice,2800,8.8,8.1
59,Łaziska Górne,5446,9.3,8.8
60,Rogoźnik,3365,8.4,8.4
61,Katowice,2516,9.4,9.1
62,Chorzów,2330,8.0,9.1
63,Ustroń,5026,8.6,8.0
64,Katowice,2660,8.1,8.3
65,Szczyrk,7723,8.6,8.9
66,Częstochowa,3975,8.3,8.1
67,Gliwice,4886,8.9,9.2
68,Roszków,4283,9.0,8.9
69,Chorzów,3389,7.9,9.6
70,Katowice,5150,8.2,8.9
71,Pyrzowice,6020,8.9,9.8
72,Ostrów,4050,7.9,8.3
73,Tychy,5635,9.3,10.0
74,Ujsoły,3059,8.9,9.4
75,Ostrów,3770,9.4,9.2
76,Żywiec,4550,8.8,9.1
77,Pierzchno,1890,9.8,8.8
78,Żory,3974,8.2,9.0
79,Ustroń,7236,9.9,9.2
80,Szczyrk,2897,9.1,8.4
81,Katowice,7926,9.0,8.2
82,Ogrodzieniec,14311,9.0,9.1
83,Żory,4846,8.9,8.4
84,Czeladź,4200,8.8,8.7
85,Lubliniec,5180,9.0,8.5
86,Pyskowice,4186,8.4,8.4
87,Chorzów,2975,8.1,8.0
88,Gliwice,3766,8.9,8.8
89,Mszana,3080,8.5,9.7
90,Katowice,4870,8.3,8.8
91,Ustroń,2764,8.3,9.1
92,Katowice,5392,7.2,8.0
93,Pszczyna,3360,8.2,8.8
94,Cieszyn,2740,8.2,9.7
95,Sosnowiec,3892,8.9,8.8
96,Częstochowa,1680,9.8,8.9
97,Ustroń,3780,8.8,8.1
98,Szczyrk,2585,8.7,9.2
99,Goczałkowice-Zdrój,2590,8.2,8.5
100,Gliwice,5950,8.9,9.2
101,Częstochowa,1680,9.8,8.5
102,Ustroń,3780,8.8,8.7
103,Szczyrk,2585,8.9,9.2
104,Goczałkowice-Zdrój,2590,8.0,8.4
105,Wodzisław Śląski,3815,9.1,8.3
106,Rybnik,3165,8.4,8.2
107,Bielsko-Biała,2184,9.2,9.2
108,Korbielów,6020,8.3,8.7
109,Katowice,3687,8.6,9.7
110,Lubliniec,2522,9.4,8.3
111,Lubliniec,2520,8.6,8.0
112,Milówka,3540,8.3,9.7
113,Korbielów,2450,8.2,9.4
114,Gliwice,2940,9.1,9.4
115,Gliwice,4390,8.7,9.5
116,Katowice,2646,9.6,9.7
117,Ustroń,4060,8.3,8.8
118,Bytom,2905,8.4,8.1
119,Szczyrk,2337,6.1,9.5
120,Olsztyn,3360,9.6,8.7
121,Cieszyn,4128,9.1,9.0
122,Częstochowa,2947,9.3,8.9
123,Gliwice,3060,9.4,9.2
124,Żarki,2100,9.0,8.0
125,Szczyrk,3549,8.9,10.0
126,Międzybrodzie Bialskie,7206,8.1,9.8
127,Rajcza,2600,9.5,8.6
128,Zabrze,3544,8.5,8.3
129,Węgierska Górka,2590,9.0,8.8
130,Wisła,5205,8.6,9.6
131,Cieszyn,3010,7.5,9.2
132,Szczyrk,8529,9.1,9.4
133,Gliwice,2040,7.8,8.4
134,Katowice,5724,9.9,8.7
135,Wodzisław Śląski,4340,9.6,9.2
136,Szczyrk,5102,8.4,9.8
137,Przyłęków,12025,8.4,9.1
138,Żory,4718,9.1,8.9
139,Węgierska Górka,6860,9.7,8.9
140,Zarzecze,3786,9.1,8.0
141,Jaworzynka,2520,9.4,9.5
142,Kamesznica,2970,8.3,9.6
143,Ustroń,8654,8.6,8.7
144,Ustroń,5040,7.2,9.2
145,Gliwice,3640,9.0,9.5
146,Dąbrowa Górnicza,4970,9.7,9.8
147,Jaworzno,2744,8.9,8.8
148,Katowice,3235,8.7,9.3
149,Pszczyna,2730,8.8,9.9
150,Wisła,5278,8.0,9.0
151,Krzyżanowice,1927,9.5,9.2
152,Czechowice-Dziedzice,2240,9.5,9.1
153,Świętoszówka,2520,8.5,9.1
154,Węgierska Górka,2590,9.2,9.7
155,Szczyrk,3252,7.8,8.4
156,Mikołów,4620,9.4,8.3
157,Korbielów,2380,9.8,8.2
158,Katowice,1453,8.8,9.1
159,Szczyrk,5950,9.3,8.6
160,Żabnica,2412,9.7,8.7
161,Racibórz,2940,9.0,9.5
162,Bielsko-Biała,3360,9.3,8.8
163,Szczyrk,5013,8.8,9.3
164,Zabrze,2101,8.7,9.5
165,Szczyrk,2164,9.6,8.3
166,Bytom,4060,8.3,9.2
167,Szczyrk,6343,8.1,9.1
168,Bielsko-Biała,2587,8.4,8.8
169,Jaworzno,3360,9.4,9.6
170,Wodzisław Śląski,4480,8.9,9.1
171,Istebna,3368,8.8,9.6
172,Gliwice,2744,9.4,8.4
173,Szczyrk,2306,8.8,8.2
174,Ruda Śląska,3500,9.3,9.1
175,Szczyrk,3500,9.4,9.7
176,Racibórz,2520,8.1,9.7
177,Bielsko-Biała,3248,9.3,8.7
178,Zabrze,2820,7.8,8.3
179,Wodzisław Śląski,4480,7.6,9.1
180,Szczyrk,2184,8.8,8.3
181,Katowice,1453,8.7,9.6
182,Katowice,2456,9.5,8.7
183,Bytom,4060,8.7,9.6
184,Świętochłowice,1960,9.6,8.4
185,Szczyrk,3252,8.3,8.5
186,Szczyrk,6343,8.4,9.1
187,Gliwice,2827,9.4,9.0
188,Jaworzno,3360,9.7,8.1
189,Istebna,3368,9.6,8.2
190,Gliwice,2744,8.8,9.5
191,Bierna,4333,8.2,9.2
192,Bielsko-Biała,2587,8.7,8.9
193,Ruda Śląska,3500,8.8,8.8
194,Bielsko-Biała,2800,7.9,8.7
195,Katowice,10500,9.5,9.7
196,Brenna,2800,6.9,9.3
197,Lubliniec,3598,8.0,8.5
198,Istebna,2433,9.6,9.4
199,Bielsko-Biała,2240,8.3,8.6
200,Mysłowice,3733,8.2,9.1
201,Korbielów,5950,8.9,9.4
202,Katowice,3140,8.9,8.3
203,Chorzów,9578,8.3,8.7
204,Gliwice,5840,8.2,9.0
205,Lubliniec,5950,9.6,8.3
206,Katowice,2098,9.3,8.3
207,Cieszyn,4470,9.4,8.1
208,Korbielów,6762,8.7,8.7
209,Szczyrk,3633,8.7,8.4
210,Brenna,5962,9.8,9.5
211,Katowice,1816,9.1,8.8
212,Brenna,2926,8.7,9.3
213,Żabnica,4298,8.9,9.6
214,Katowice,4284,8.5,9.5
215,Ustroń,2940,9.1,9.3
216,Tychy,1796,9.6,8.5
217,Kroczyce,6020,8.2,9.4
218,Katowice,2842,7.0,8.6
219,Łebki,2058,8.6,9.6
220,Szczyrk,4837,9.1,9.1
221,Częstochowa,1470,8.4,9.0
222,Siemianowice Śląskie,8258,7.6,8.9
223,Kamesznica,2030,8.4,9.8
224,Tarnowskie Góry,4424,8.1,9.9
225,Żory,3220,8.4,8.9
226,Tarnowskie Góry,4242,8.4,8.6
227,Katowice,2780,9.7,9.0
228,Dębowiec,3220,8.4,9.6
229,Zabrze,3500,7.9,9.1
230,Wisła,7875,9.0,9.7
231,Ustroń,8616,9.4,9.8
232,Katowice,11770,9.4,8.9
233,Katowice,9266,9.3,8.0
234,Bielsko-Biała,2390,8.8,8.6
235,Tychy,2992,9.3,8.6
236,Wisła,2093,8.4,8.9
237,Pszczyna,8400,9.6,9.0
238,Korbielów,2771,9.0,8.9
239,Katowice,5903,9.2,9.0
240,Wisła,3577,9.1,8.7
241,Kłobuck,3500,9.7,9.4
242,Szczyrk,2125,7.4,8.2
243,Ustroń,2548,9.9,8.3
244,Ujsoły,2450,8.9,9.4
245,Szczyrk,2061,8.5,8.4
246,Kamesznica,8400,8.8,8.9
247,Szczyrk,2216,9.4,9.2
248,Ogrodzieniec,4340,9.0,9.0
249,Katowice,3635,7.9,8.2
250,Bielsko-Biała,2390,7.6,9.4
251,Kłobuck,3500,9.7,9.5
252,Laliki,2371,9.7,9.1
253,Żory,3220,9.1,9.0
254,Rybnik,4480,8.2,9.1
255,Ujsoły,2450,8.5,9.2
256,Ustroń,2548,8.4,9.6
257,Rajcza,1362,8.9,9.8
258,Ogrodzieniec,4340,8.8,8.1
259,Katowice,3233,8.9,8.4
260,Szczyrk,1988,9.2,8.4
261,Katowice,3190,7.0,8.7
262,Wisła,1920,8.7,8.9
263,Istebna,1960,9.4,8.7
264,Częstochowa,1470,8.1,8.7
265,Brenna,4088,8.6,8.7
266,Tarnowskie Góry,2355,9.2,8.3
267,Częstochowa,3250,8.3,9.5
268,Bytom,2933,9.2,9.7
269,Szczyrk,5900,9.1,8.7
270,Tychy,5040,9.2,8.1
271,Wisła,4580,8.2,8.9
272,Istebna,3827,9.3,8.4
273,Szczyrk,2196,9.4,8.4
274,Żywiec,3923,8.9,8.9
275,Cieszyn,3500,8.0,9.7
276,Wisła,5425,7.5,8.7
277,Bielsko-Biała,7180,7.7,8.3
278,Przybynów,2330,8.9,8.7
279,Gliwice,3500,8.9,9.8
280,Bielsko-Biała,3332,9.3,9.1
281,Szczyrk,3484,7.7,9.3
282,Lubliniec,4186,9.5,9.5
283,Tarnowskie Góry,1750,9.6,9.6
284,Olsztyn,2660,8.2,9.2
285,Bielsko-Biała,4060,8.3,8.1
286,Wisła,3150,8.6,9.2
287,Częstochowa,2730,8.8,9.4
