,City,Cost,Rating,Comfort
0,Skwierzyna,1680,8.8,8.8
1,Niesulice,2274,8.8,9.1
2,Radzyń,3633,7.8,9.2
3,Nowa Sól,1604,9.1,9.0
4,Słubice,1764,7.8,8.0
5,Słubice,2327,8.9,8.3
6,Gorzów Wielkopolski,2236,7.9,8.7
7,Łagów,1569,8.3,8.6
8,Żary,1120,8.7,9.7
9,Babimost,1304,8.6,8.7
10,Drezdenko,3179,9.6,9.1
11,Jesionka,1218,8.6,9.5
12,"Centrum, Zielona Góra",2012,9.0,8.5
13,Kostrzyn nad Odrą,1492,7.5,8.3
14,Gorzów Wielkopolski,1801,9.4,8.6
15,Gorzów Wielkopolski,2485,8.3,9.3
16,Łęknica,2700,8.4,9.3
17,Radzyń,2626,8.8,8.4
18,Słońsk,1766,9.1,8.6
19,Łagów,4310,7.6,8.4
20,"Centrum, Zielona Góra",1519,9.2,8.7
21,Olszyna,1546,8.5,8.5
22,Witnica,980,7.5,8.7
23,Lubniewice,3969,8.4,8.9
24,Strzelce Krajeńskie,1260,7.8,8.6
25,Lubiatów,1688,8.0,8.4
26,Świebodzin,1530,8.4,8.6
27,Łęknica,2208,7.0,8.8
28,Szprotawa,2520,8.8,9.4
29,Słońsk,1495,8.2,8.0
30,Torzym,1260,8.7,9.4
31,Torzym,1260,7.6,9.5
32,Międzyrzecz,1575,8.8,8.1
33,Żary,1680,8.7,9.6
34,Olszyna,840,8.2,9.2
35,"Centrum, Zielona Góra",2179,8.6,8.2
36,Brody,1260,8.0,8.8
37,Kostrzyn nad Odrą,770,7.2,8.6
38,Nowa Sól,1183,8.9,9.2
39,Gorzów Wielkopolski,1739,9.4,9.3
40,Gorzów Wielkopolski,1087,7.8,8.1
41,Gorzów Wielkopolski,1462,9.3,9.7
42,Żary,1400,9.3,9.5
43,Słubice,2030,8.1,8.8
44,Zielona Góra,1852,9.5,9.1
45,"Centrum, Zielona Góra",2695,8.9,8.4
46,Świebodzin,1330,8.1,9.3
47,Lubniewice,4214,8.8,8.9
48,Gorzów Wielkopolski,1050,6.6,8.6
49,Szprotawa,770,8.5,9.1
50,Gorzów Wielkopolski,1050,6.6,8.5
51,"Centrum, Zielona Góra",2695,8.9,9.4
52,Żary,1330,7.1,9.3
53,Słubice,980,6.7,9.4
54,"Centrum, Zielona Góra",2136,9.3,8.9
55,Gorzów Wielkopolski,1720,7.8,9.7
56,Zielona Góra,1345,9.6,8.1
57,Torzym,1610,9.2,8.2
58,Kostrzyn nad Odrą,1260,7.7,8.4
59,"Centrum, Zielona Góra",1606,8.7,9.7
60,Zielona Góra,1798,9.1,8.0
61,Ośno Lubuskie,1400,8.4,8.6
62,"Centrum, Zielona Góra",1295,9.2,9.6
63,Żary,1575,7.8,8.6
64,Międzyrzecz,1400,8.7,9.5
65,Żary,1263,8.6,9.2
66,Lubrza,2032,9.0,8.9
67,Danków,1418,8.7,8.1
68,Zielona Góra,2233,9.1,8.1
69,Gubin,1750,9.1,9.7
70,Niesulice,3500,9.3,9.2
71,Gorzów Wielkopolski,1642,8.7,8.7
72,Nowa Sól,1260,9.8,9.5
73,Lubniewice,2142,7.9,9.6
74,Rzepin,1743,8.1,9.6
75,Gubin,1505,8.7,9.0
76,Międzyrzecz,2100,9.6,8.6
77,Zielona Góra,2577,7.9,8.6
78,Żagań,2100,8.5,8.8
79,Dąbie,819,9.7,9.5
80,Zielona Góra,2401,8.5,8.6
81,Gorzów Wielkopolski,2318,9.3,8.0
82,Nowa Sól,1120,9.2,8.1
83,Zielona Góra,2607,8.2,9.3
84,Niesulice,3772,7.6,9.8
85,Gorzów Wielkopolski,1050,8.2,9.5
86,Mostki,1323,9.4,9.0
87,Zabór,3011,8.9,9.0
88,Kostrzyn nad Odrą,2940,8.4,9.5
89,Gorzów Wielkopolski,2053,7.9,9.2
90,Słubice,1400,9.3,8.2
91,Brzeźnica,1820,9.5,9.5
