,City,Cost,Rating,Comfort
0,"Wola, Warszawa",1127,8.5,8.4
1,"Wola, Warszawa",525,8.6,8.7
2,Nowy Dwór Mazowiecki,1645,8.9,9.0
3,"Włochy, Warszawa",2444,8.8,9.0
4,Przasnysz,1832,9.2,9.4
5,"Wola, Warszawa",3281,9.2,9.5
6,Sobienie Szlacheckie,2727,8.2,8.3
7,Gostynin,1260,8.0,8.4
8,Płock,2133,8.4,8.1
9,Radom,980,8.0,8.7
10,"Śródmieście, Warszawa",2428,8.0,8.6
11,Leszno,1848,8.6,9.6
12,Radom,1085,8.5,8.1
13,Zatory,1514,9.4,8.5
14,"Wola, Warszawa",1733,7.1,8.7
15,Ciechanów,1295,8.1,9.0
16,Krzyżówka,1694,8.5,8.3
17,Ożarów Mazowiecki,2474,8.5,8.6
18,Żelazowa Wola,3150,9.2,9.0
19,Konstancin-Jeziorna,1750,8.4,9.2
20,Serock,2800,8.3,8.4
21,"Śródmieście, Warszawa",2894,8.7,9.5
22,Wilga,2219,9.3,9.5
23,Leszno,1330,8.4,8.6
24,"Wola, Warszawa",2769,9.3,8.6
25,"Wola, Warszawa",2769,9.3,9.1
26,Klembów Kościelny,1365,8.6,9.0
27,Siedlce,1176,8.6,8.8
28,"Śródmieście, Warszawa",2141,9.0,9.4
29,Józefów,3029,8.6,8.6
30,"Ochota, Warszawa",2984,8.5,8.2
31,"Śródmieście, Warszawa",3869,9.1,9.4
32,Ołtarzew,1988,8.6,9.0
33,Dalnia,1260,8.4,8.6
34,"Śródmieście, Warszawa",2230,9.1,8.2
35,Ostrów Mazowiecka,1190,7.1,9.3
36,"Włochy, Warszawa",2736,8.6,9.5
37,"Włochy, Warszawa",2337,8.4,9.3
38,"Śródmieście, Warszawa",2010,8.2,8.8
39,Altanka,3250,9.3,8.2
40,"Włochy, Warszawa",2515,9.1,9.3
41,"Włochy, Warszawa",2649,9.1,8.8
42,"Śródmieście, Warszawa",2573,8.7,8.4
43,Żyrardów,1440,8.0,8.9
44,"Mokotów, Warszawa",2447,7.9,9.3
45,Ząbki,2646,9.1,9.3
46,Łochów,3635,8.5,8.2
47,Nowy Dwór Mazowiecki,1400,7.9,9.3
48,"Śródmieście, Warszawa",1796,8.3,8.4
49,"Śródmieście, Warszawa",3849,8.6,8.8
50,"Mokotów, Warszawa",2322,9.0,8.2
51,"Mokotów, Warszawa",2544,9.1,9.6
52,"Śródmieście, Warszawa",2394,8.2,9.2
53,Radom,525,9.3,9.8
54,"Włochy, Warszawa",1881,8.3,8.7
55,Sochaczew,2863,8.6,8.7
56,Nowy Dwór Mazowiecki,2023,8.1,9.6
57,"Wola, Warszawa",3794,9.5,9.0
58,"Śródmieście, Warszawa",3372,8.9,8.8
59,Radom,1217,9.7,9.6
60,"Włochy, Warszawa",1950,8.6,9.2
61,Mszczonów,1488,8.7,9.6
62,Ciechanów,1365,8.1,9.3
63,"Śródmieście, Warszawa",3846,9.3,9.2
64,Magdalenka,1540,8.8,9.7
65,Gaj,1120,8.8,8.4
66,"Mokotów, Warszawa",2158,9.3,8.4
67,"Wawer, Warszawa",2350,8.8,9.1
68,"Mokotów, Warszawa",2263,9.1,9.7
69,"Wola, Warszawa",2536,8.9,8.8
70,"Ochota, Warszawa",2353,8.9,8.7
71,"Wola, Warszawa",3485,9.4,9.2
72,Gorzewo,2653,8.5,8.6
73,"Śródmieście, Warszawa",1638,8.4,9.6
74,Serock,3671,8.7,8.4
75,"Wola, Warszawa",3485,9.4,8.4
76,Gaj,1120,8.8,8.1
77,"Śródmieście, Warszawa",2228,8.5,8.8
78,"Wola, Warszawa",3341,8.9,8.5
79,"Wola, Warszawa",2184,8.2,8.8
80,"Śródmieście, Warszawa",3846,9.3,9.0
81,Gorzewo,2653,8.5,9.5
82,"Śródmieście, Warszawa",1638,8.4,8.9
83,Piaseczno,1260,8.3,9.5
84,"Ursynów, Warszawa",1925,8.6,9.4
85,Nowy Dwór Mazowiecki,2340,8.2,9.2
86,Długosiodło,4566,8.7,8.9
87,Siedlce,1680,8.8,8.7
88,Mińsk Mazowiecki,1379,9.3,8.4
89,Skrzeszew,4350,9.1,9.3
90,Siedlce,1533,9.3,9.0
91,"Praga Północ, Warszawa",2198,9.1,8.7
92,"Mokotów, Warszawa",2112,8.9,9.4
93,Raszyn,1533,9.0,9.3
94,Wołomin,1190,7.5,9.7
95,Sierpc,1400,8.7,8.2
96,Piaseczno,3045,8.3,8.4
97,"Śródmieście, Warszawa",4052,9.0,9.5
98,Ciechanów,1470,9.0,9.3
99,Siedlce,1120,8.6,9.1
100,"Śródmieście, Warszawa",3525,9.1,8.7
101,"Śródmieście, Warszawa",4072,9.0,9.4
102,Książenice,1254,9.8,9.4
103,Wyszków,1680,8.1,9.2
104,Przasnysz,672,8.3,8.9
105,Antonie,975,9.3,9.0
106,Raszyn,2030,9.2,8.0
107,Ciechanów,882,9.2,8.9
108,Łomianki,1960,8.9,8.9
109,"Włochy, Warszawa",2981,9.0,9.7
110,"Wola, Warszawa",2481,9.1,8.3
111,Płońsk,1015,7.7,8.7
112,Mszczonów,3850,9.1,8.7
113,"Śródmieście, Warszawa",793,7.8,9.2
114,Nowy Dwór Mazowiecki,1260,7.7,9.3
115,"Wola, Warszawa",2247,8.5,9.1
116,Serock,1734,9.0,8.6
117,"Włochy, Warszawa",1570,8.1,9.4
118,Konstancin-Jeziorna,3387,8.7,8.8
119,Warka,8085,8.7,8.7
120,"Śródmieście, Warszawa",1701,8.0,9.1
121,Popielżyn Dolny,3000,9.6,8.9
122,Płońsk,1365,8.2,8.8
123,Góra Kalwaria,1420,8.6,9.1
124,"Śródmieście, Warszawa",2280,8.5,8.8
125,Mszczonów,3850,9.1,9.4
126,Iły,2409,9.5,9.0
127,"Praga Południe, Warszawa",1943,8.8,8.8
128,"Ochota, Warszawa",1805,8.6,8.7
129,"Mokotów, Warszawa",2130,9.1,8.0
130,"Śródmieście, Warszawa",2984,8.3,8.9
131,Góra Kalwaria,1420,8.6,8.8
132,"Śródmieście, Warszawa",3259,8.9,10.0
133,"Wola, Warszawa",3722,8.4,8.2
134,"Mokotów, Warszawa",1712,8.6,8.1
135,"Ursynów, Warszawa",2309,8.9,8.8
136,Płock,840,8.7,8.0
137,"Śródmieście, Warszawa",3970,9.1,8.8
138,"Wola, Warszawa",2642,8.8,9.5
139,"Wola, Warszawa",2499,8.5,8.7
140,"Śródmieście, Warszawa",2280,8.5,8.7
141,Nadarzyn,1616,8.1,8.8
142,"Ochota, Warszawa",1483,8.0,8.4
143,"Ursynów, Warszawa",2916,8.7,9.4
144,Płock,1950,7.7,8.1
145,Wilga,2326,8.5,9.1
146,"Mokotów, Warszawa",2457,10.0,9.0
147,"Śródmieście, Warszawa",3532,7.9,8.8
148,Mory,2176,8.0,8.9
149,"Śródmieście, Warszawa",2596,8.7,8.5
150,"Ochota, Warszawa",1483,8.0,8.8
151,"Śródmieście, Warszawa",2755,8.7,8.6
152,"Śródmieście, Warszawa",4611,9.3,8.9
153,Warka,1883,8.4,9.1
154,Góra Kalwaria,1050,8.7,9.1
155,"Praga Północ, Warszawa",1890,8.7,9.1
156,Julianów,1285,6.9,8.4
157,Kajetany,1855,8.3,8.0
158,"Ochota, Warszawa",2105,8.0,8.6
159,Radom,948,9.2,9.3
160,"Wola, Warszawa",4102,7.9,8.0
161,"Wola, Warszawa",1949,9.1,9.3
162,Pruszków,840,9.2,9.6
163,Jadów,2802,8.9,9.3
164,Mława,770,8.6,8.4
165,Radom,750,8.8,9.7
166,"Włochy, Warszawa",1626,8.7,8.0
167,Zielonka,1575,8.5,8.1
168,Mszczonów,3145,7.6,8.2
169,Pionki,1197,7.8,9.5
170,Radom,1015,8.8,9.1
171,Radom,1470,8.9,8.0
172,Ostrów Mazowiecka,1540,8.8,9.1
173,"Włochy, Warszawa",2148,7.4,8.0
174,"Włochy, Warszawa",2008,8.9,8.6
175,Sierpc,1418,7.6,9.2
176,"Włochy, Warszawa",2148,8.3,9.0
177,"Śródmieście, Warszawa",2088,8.2,9.0
178,Ostrołęka,770,8.1,8.6
179,Michałowice,1827,8.5,9.3
180,"Śródmieście, Warszawa",704,9.1,8.1
181,Nieporęt,2321,8.1,9.1
182,"Śródmieście, Warszawa",6350,8.0,8.3
183,"Śródmieście, Warszawa",1505,8.9,8.6
184,Błonie,910,7.4,9.5
185,"Włochy, Warszawa",2304,9.5,9.5
186,Chustki,1244,7.4,9.2
187,Brochów,1126,9.5,9.1
188,"Wola, Warszawa",411,8.4,8.0
189,Janówek,4130,7.9,9.5
190,Bronisze,2142,9.9,9.1
191,Sulejówek,998,8.0,8.7
192,Przasnysz,1330,7.9,8.9
193,"Śródmieście, Warszawa",2365,7.1,8.4
194,"Bielany, Warszawa",1779,8.0,8.0
195,"Śródmieście, Warszawa",1890,9.4,9.2
196,Ostrołęka,875,9.0,9.1
197,Klaudyn,1120,8.0,9.0
198,"Wola, Warszawa",2575,9.0,8.4
199,"Śródmieście, Warszawa",2590,8.0,8.0
200,"Wola, Warszawa",2575,8.5,8.9
201,"Śródmieście, Warszawa",2590,8.7,9.0
202,"Wola, Warszawa",1496,8.9,8.5
203,Otwock,2549,9.0,8.2
204,"Włochy, Warszawa",1624,8.6,9.0
205,"Śródmieście, Warszawa",626,9.0,9.2
206,Dobrzyków,2200,8.5,9.4
207,"Śródmieście, Warszawa",4690,9.0,9.1
208,Siedlce,1197,8.2,9.1
209,"Bielany, Warszawa",2199,8.6,9.2
210,Węgrów,910,7.7,9.6
211,Zegrze,2476,9.5,8.2
212,Wielogóra,980,9.0,8.0
213,Nur,964,9.1,9.2
214,"Śródmieście, Warszawa",4686,8.9,8.2
215,Płock,3213,8.1,8.1
216,"Włochy, Warszawa",2484,9.7,8.0
217,Nadarzyn,1610,9.0,9.2
218,Kruczy Borek,6469,7.5,8.7
219,"Wola, Warszawa",2643,8.7,8.4
220,Szydłowiec,1190,8.9,9.0
221,Pomiechówek,2100,8.4,8.3
222,"Śródmieście, Warszawa",953,7.5,8.8
223,Bronisze,2142,7.7,8.9
224,"Ursynów, Warszawa",2371,9.1,8.7
225,Kozienice,1400,9.0,8.2
226,Marki,1859,9.1,9.2
227,"Wola, Warszawa",2643,7.5,9.1
228,Sochaczew,1517,8.2,8.1
229,"Ursynów, Warszawa",1478,7.4,8.9
230,"Włochy, Warszawa",2025,7.5,8.0
231,"Mokotów, Warszawa",1827,8.2,8.8
232,Błonie,931,8.8,9.7
233,Jabłonna,1365,9.1,8.2
234,Chlewiska,5475,8.3,8.9
235,Wierzbica,5190,8.4,10.0
236,Siedlce,1400,8.9,8.2
237,Raszyn,1260,7.9,8.1
238,"Wola, Warszawa",4303,9.2,8.9
239,Pruszków,1120,9.7,8.2
240,Kozienice,1260,9.1,9.3
241,Różanów,15187,8.7,8.1
242,Siedlce,1323,9.1,10.0
243,Grójec,1820,9.6,8.8
244,Pokrzywnica,2660,7.5,8.9
245,Żyrardów,2920,8.2,9.4
