,City,Cost,Rating,Comfort
0,Piwniczna,1225,9.0,9.1
1,Zakopane,1977,9.4,9.4
2,Szaflary,2054,9.3,9.2
3,Krynica-Zdrój,435,8.2,9.1
4,Zakopane,917,8.9,8.8
5,Poronin,628,9.1,8.6
6,Krynica-Zdrój,2474,8.6,9.4
7,Zakopane,854,7.9,9.3
8,"Stare Miasto, Kraków",1829,9.2,8.8
9,"Stare Miasto, Kraków",2677,7.4,9.6
10,Wieliczka,1260,7.4,9.5
11,Zakopane,1274,9.4,9.2
12,Poronin,1120,8.4,9.3
13,Balice,2252,9.3,9.4
14,Kościelisko,3007,9.5,9.7
15,Tylicz,1470,9.1,9.5
16,Klimkówka,4620,9.4,8.7
17,Przyszowa,2196,9.3,9.9
18,Konina,1084,9.6,9.3
19,Poronin,2554,9.5,9.7
20,Nowy Targ,1120,8.7,9.3
21,Szaflary,1750,9.9,8.8
22,Zakopane,2712,9.2,8.9
23,Szaflary,2087,9.6,9.6
24,Wola Kalinowska,4643,9.6,9.5
25,Nowy Targ,1264,8.7,9.6
26,Wieliczka,1540,8.9,8.4
27,Krynica-Zdrój,2543,9.4,8.9
28,Białka Tatrzańska,4627,9.3,8.8
29,Krynica-Zdrój,3757,9.1,9.1
30,Zgłobice,920,8.5,8.5
31,Zabierzów,3808,8.9,8.1
32,Tarnów,1897,8.7,8.3
33,Krynica-Zdrój,4108,9.0,9.4
34,Szczawnica,2220,8.5,9.3
35,Tarnów,1435,8.0,9.6
36,Nowy Targ,693,8.4,8.1
37,Szczawnica,3556,9.4,9.2
38,Białka Tatrzańska,2224,9.2,8.9
39,"Stare Miasto, Kraków",3068,9.3,8.0
40,Lanckorona,2253,8.1,8.8
41,Muszyna,2118,9.0,9.4
42,Bańska,1749,9.1,8.0
43,Ojców,1874,8.3,9.0
44,Tarnów,2478,8.6,9.3
45,Szczawnica,2390,9.3,8.9
46,Biały Dunajec,1211,7.9,8.9
47,"Stare Miasto, Kraków",3227,8.7,9.1
48,"Krupówki, Zakopane",3252,9.1,9.3
49,Nowy Targ,1256,8.8,9.6
50,Nowy Targ,1256,8.8,9.2
51,Bukowina Tatrzańska,1690,9.1,9.3
52,"Stare Miasto, Kraków",3435,9.0,8.7
53,Białka Tatrzańska,2142,9.5,9.1
54,Kościelisko,3733,9.1,9.2
55,Szczawnica,2842,9.1,9.5
56,Sułkowice,1120,8.6,9.2
57,Zakopane,4060,8.8,8.9
58,Nowy Sącz,960,9.3,8.5
59,"Grzegórzki, Kraków",2330,9.1,8.8
60,Zawoja,1810,9.1,9.6
61,Tarnów,1330,8.9,8.8
62,Zakopane,4037,8.5,8.2
63,Szczawnica,1098,9.0,9.5
64,Gdów,1732,9.6,9.0
65,Krynica-Zdrój,1318,8.3,9.3
66,Gdów,1410,9.1,9.5
67,"Stare Miasto, Kraków",2211,8.1,9.3
68,"Krowodrza, Kraków",2111,9.2,9.4
69,Zawoja,2321,9.0,8.9
70,Białka Tatrzańska,2926,9.1,9.3
71,"Krupówki, Zakopane",3535,9.4,8.8
72,"Podgórze, Kraków",3288,9.1,9.6
73,"Stare Miasto, Kraków",6706,9.2,9.4
74,Sąspów,4125,9.1,8.6
75,Kraków,3575,9.0,9.0
76,Szczawnica,2243,8.6,9.9
77,Białka Tatrzańska,2800,9.5,9.3
78,"Stare Miasto, Kraków",2990,9.0,9.1
79,Kościelisko,2448,8.7,8.7
80,Zawoja,869,9.0,9.4
81,Czerwienne,3566,10.0,8.7
82,"Łagiewniki, Kraków",1928,9.2,9.3
83,Wieliczka,2395,8.8,9.3
84,Białka Tatrzańska,2520,8.9,8.9
85,Murzasichle,2101,8.0,8.9
86,Gródek nad Dunajcem,6213,9.2,8.9
87,Mszana Dolna,2254,8.8,9.8
88,Zator,4190,9.2,9.3
89,Wieliczka,2616,9.1,9.3
90,Białka Tatrzańska,2358,8.7,8.6
91,Witów,547,9.2,9.3
92,Michałowice,638,7.2,8.6
93,"Krupówki, Zakopane",4391,8.9,9.1
94,Zawoja,3120,9.5,8.9
95,Kluszkowce,1288,9.5,9.1
96,"Grzegórzki, Kraków",2228,9.0,9.5
97,Wola Kalinowska,1874,8.7,9.6
98,Zakopane,2943,9.3,9.5
99,Witów,948,8.6,9.4
100,Bukowina Tatrzańska,2240,9.2,8.7
101,Kluszkowce,5441,9.0,9.7
102,Groń,3512,9.4,9.5
103,Krościenko,1544,9.3,8.8
104,Kluszkowce,4312,9.5,8.9
105,"Grzegórzki, Kraków",1795,9.1,8.7
106,Gorlice,3381,9.3,9.0
107,Zakopane,2434,8.8,9.4
108,Chochołów,2800,9.6,8.9
109,"Dębniki, Kraków",4783,9.2,9.0
110,Zakopane,2408,8.7,9.7
111,Kościelisko,1287,9.1,8.7
112,Ząb,1558,8.9,8.8
113,Białka Tatrzańska,2660,9.1,8.7
114,Zakopane,4725,9.3,9.3
115,"Grzegórzki, Kraków",2162,8.7,8.6
116,"Podgórze, Kraków",2854,8.8,9.0
117,Bukowina Tatrzańska,2730,9.6,8.6
118,Szczawnica,2453,8.6,8.6
119,Krzeszów Dolny,1558,8.5,9.0
120,Szczawnica,4207,8.8,9.9
121,Bukowina Tatrzańska,2729,9.0,8.9
122,"Dębniki, Kraków",2070,8.5,8.3
123,Zawoja,1350,9.2,8.8
124,Bukowina Tatrzańska,2260,8.5,9.0
125,"Dębniki, Kraków",2050,8.5,9.6
126,Zawoja,1350,9.2,9.1
127,Zakopane,1363,7.9,8.8
128,Pcim,1264,9.9,9.7
129,"Podgórze, Kraków",1982,8.6,9.2
130,Racławice,2600,8.0,9.0
131,Tarnów,1464,8.8,8.7
132,Poronin,2205,8.8,9.7
133,"Stare Miasto, Kraków",5967,9.3,8.9
134,Białka Tatrzańska,1750,9.1,8.0
135,Krynica-Zdrój,2559,8.7,9.8
136,"Stare Miasto, Kraków",2982,9.4,9.5
137,Małe Ciche,2054,9.3,8.9
138,Zator,3073,9.1,8.9
139,Zakopane,2296,8.6,9.3
140,Aleksandrowice,1489,7.2,9.4
141,Suche,3890,9.7,8.9
142,"Grzegórzki, Kraków",2387,8.7,8.9
143,Wieliczka,1624,8.1,9.4
144,Bukowina Tatrzańska,1133,9.7,9.8
145,Zakopane,3353,9.2,9.5
146,Jurgów,3451,9.1,9.4
147,"Podgórze, Kraków",2327,9.2,9.2
148,Zakopane,1344,9.1,9.3
149,Zakopane,3930,9.2,9.3
150,Wieliczka,2231,8.9,9.8
151,Krynica-Zdrój,2057,9.0,9.3
152,Zakopane,1764,9.4,9.3
153,Bukowina Tatrzańska,1294,9.7,9.2
154,Brzegi,1500,9.3,8.7
155,Białka Tatrzańska,1625,9.2,8.8
156,Szczawnica,2922,9.2,8.9
157,Białka Tatrzańska,1120,9.3,9.5
158,Murzasichle,889,9.1,9.1
159,"Stare Miasto, Kraków",2795,9.7,9.4
160,Czorsztyn,12067,9.3,8.0
161,Zator,4502,9.5,8.9
162,Witów,1109,9.2,8.6
163,Muszyna,1583,8.5,8.4
164,"Stare Miasto, Kraków",2226,9.1,8.9
165,Poronin,1719,8.9,9.2
166,Zakopane,3164,7.5,9.1
167,"Grzegórzki, Kraków",1583,9.5,9.5
168,Kościelisko,4824,8.8,9.4
169,"Stare Miasto, Kraków",2772,8.9,9.5
170,Kościelisko,6700,7.8,9.3
171,"Stare Miasto, Kraków",2962,9.0,9.3
172,Rabka,1281,8.6,8.8
173,Szczawnica,3228,8.2,9.6
174,Krynica-Zdrój,2677,8.6,9.3
175,Tarnów,1578,8.9,8.7
176,"Dębniki, Kraków",2755,8.8,9.6
177,"Stare Miasto, Kraków",2808,9.3,9.6
178,Białka Tatrzańska,1312,8.0,8.3
179,"Krupówki, Zakopane",1804,9.1,9.4
180,"Stare Miasto, Kraków",2804,9.6,9.6
181,Czarna Góra,859,9.5,9.1
182,Raba Wyżna,840,9.0,9.4
183,Murzasichle,2034,8.8,8.8
184,Małe Ciche,1615,9.4,9.0
185,Rożnów,1069,9.5,9.1
186,Krościenko,1295,8.8,8.8
187,Zakopane,2674,9.5,9.7
188,Kościelisko,2247,9.6,8.9
189,Ząb,2376,8.2,9.6
190,"Stare Miasto, Kraków",2570,9.3,9.3
191,Michałowice,2183,9.4,9.2
192,Zakopane,2316,8.8,9.2
193,"Stare Miasto, Kraków",3037,9.1,8.8
194,"Stare Miasto, Kraków",3013,8.7,9.3
195,Brzesko,1225,9.0,9.4
196,Oświęcim,1960,9.0,8.6
197,Ponice,724,9.1,9.5
198,Sromowce Niżne,2049,9.7,9.9
199,Kościelisko,7000,8.9,8.5
200,Kościelisko,2304,9.6,8.9
201,Czarna Góra,543,9.0,9.5
202,Murzasichle,2034,9.6,8.7
203,Łopuszna,1473,9.4,8.1
204,Czarna Góra,1203,8.2,9.7
205,Sękowa,644,8.8,9.1
206,Wadowice,1996,9.1,9.2
207,"Łagiewniki, Kraków",2434,9.2,8.6
208,Zakopane,3190,8.5,9.4
209,Bukowina Tatrzańska,1382,9.5,9.8
210,"Krupówki, Zakopane",10204,9.8,9.3
211,Szaflary,9639,8.8,8.7
212,Szczawnica,2192,8.9,9.7
213,Szaflary,1159,9.4,9.2
214,Białka Tatrzańska,1753,8.3,8.6
215,Krynica-Zdrój,3111,8.0,9.1
216,"Stare Miasto, Kraków",2186,9.2,9.8
217,Kościelisko,4651,9.1,9.3
218,Poronin,1921,9.1,8.7
219,Kościelisko,2929,8.7,9.8
220,Koniówka,1691,9.2,8.6
221,Białka Tatrzańska,2007,9.8,9.9
222,Inwałd,5419,9.1,9.5
223,"Podgórze, Kraków",2762,8.6,9.5
224,"Nowa Huta, Kraków",2351,9.2,9.6
225,Kościelisko,4651,9.1,9.8
226,Kościelisko,2929,8.7,8.4
227,Koniówka,1691,9.1,9.2
228,Poronin,1921,9.8,9.3
229,Inwałd,5419,9.1,9.0
230,"Podgórze, Kraków",2935,8.6,9.5
231,"Nowa Huta, Kraków",2351,7.8,9.5
232,Poronin,1321,9.8,9.6
233,Poronin,1813,8.5,9.7
234,"Stare Miasto, Kraków",1986,9.7,9.0
235,Zubrzyca Górna,1176,9.3,8.3
236,Zakopane,3053,9.4,9.7
237,Szczawnica,1495,7.7,9.2
238,"Prądnik Biały, Kraków",1750,9.7,8.0
239,Ciche,1707,9.7,8.7
240,Zakopane,2534,8.8,8.8
241,Huba,634,9.1,9.4
242,Zakopane,3005,9.5,10.0
243,Bukowina Tatrzańska,2145,8.6,9.4
244,"Stare Miasto, Kraków",2724,9.6,9.2
245,Groń,6112,9.2,9.1
246,Kościelisko,3730,9.5,9.2
247,Kościelisko,3430,9.6,9.3
248,Poronin,1916,8.9,9.0
249,Tarnów,1400,8.5,9.0
