,City,Cost,Rating,Comfort
0,Opole,1147,9.1,9.1
1,Szczedrzyk,1419,8.7,8.5
2,Szydłowice,1506,9.3,9.3
3,Opole,1348,7.7,8.7
4,Opole,1543,8.4,8.9
5,Opole,2373,8.7,8.6
6,Gorz,1242,8.5,9.2
7,Opole,2623,9.0,8.4
8,Prudnik,1339,8.3,9.4
9,Kolonowskie,1603,9.4,8.3
10,Moszna,4280,8.6,8.5
11,Opole,1428,8.3,9.2
12,Opole,2898,9.1,8.4
13,Krapkowice,1470,8.6,8.9
14,Jemielnica,1085,8.8,8.5
15,Nysa,819,8.3,8.7
16,Kędzierzyn-Koźle,1935,8.7,9.6
17,Nysa,1540,9.4,9.2
18,Kluczbork,1260,9.1,8.6
19,Namysłów,980,8.5,9.3
20,Głubczyce,924,9.3,8.9
21,Brzezie,1295,8.3,9.0
22,Brzeg,1496,9.0,9.3
23,Stare Siołkowice,994,8.8,9.3
24,Paczków,1344,8.8,9.0
25,Paczków,1344,8.8,8.5
26,Grodziec,3528,7.5,8.5
27,Jarnołtówek,1127,8.4,8.3
28,Nysa,1190,7.9,9.0
29,Kluczbork,1365,8.3,8.3
30,Turawa,1470,8.3,8.1
31,Nysa,1463,9.1,8.2
32,Strzelce Opolskie,1190,8.4,9.3
33,Ścibórz,1101,8.1,9.1
34,Walidrogi,972,8.0,8.1
35,Strzelce Opolskie,1050,8.3,9.0
36,Nysa,2450,9.0,8.4
37,Głuchołazy,1540,9.3,8.8
38,Brzeg,1435,7.7,9.1
39,Głuchołazy,2266,8.4,9.0
40,Jarnołtówek,840,7.4,8.2
41,Lipniki,689,9.0,9.1
42,Góra Świętej Anny,630,8.6,8.5
43,Nysa,1470,8.8,9.6
44,Opole,1470,7.9,9.4
45,Bogacica,1113,6.6,8.6
46,Gogolin,1540,9.0,9.3
47,Nysa,1680,8.9,8.4
48,Nysa,567,8.1,8.1
49,Opole,1428,9.0,8.8
50,Byczyna,1755,8.7,8.7
51,Głuchołazy,744,9.2,8.4
52,Brzeg,1830,7.1,8.2
53,Pawłowiczki,1330,9.3,8.9
54,Kwatoniów,869,8.6,8.7
55,Kędzierzyn-Koźle,1260,9.4,8.9
56,Otmuchów,1260,8.3,9.0
57,Głubczyce,964,8.2,9.0
58,Kędzierzyn-Koźle,1285,8.9,8.4
59,Opole,1204,8.9,8.3
60,Opole,427,8.3,8.5
61,Głuchołazy,891,8.3,9.0
62,Otmuchów,1400,9.0,8.4
63,Brzeg,1120,6.8,8.3
64,Strzelce Opolskie,1610,8.7,8.7
65,Mechnica,574,8.6,8.3
66,Opole,707,7.7,8.2
67,Opole,1458,9.0,8.4
68,Nysa,1675,9.1,9.1
69,Opole,2100,8.4,9.1
70,Góra Świętej Anny,940,8.3,8.8
71,Nysa,2850,8.5,9.4
72,Opole,970,9.0,8.6
73,Jarnołtówek,2100,8.4,8.6
74,Murów,1008,8.3,8.5
75,Góra Świętej Anny,870,8.9,9.8
76,Opole,935,8.2,8.8
77,Jarnołtówek,2100,8.3,9.2
78,Olesno,1478,8.2,9.3
79,Prudnik,1190,8.1,8.9
80,Brzeg,902,9.1,9.6
81,Biała,1078,9.1,8.7
82,Opole,1428,8.7,8.9
83,Opole,920,9.7,9.3
84,Nysa,4200,8.7,9.3
85,Chrząstowice,1085,8.6,8.7
86,Chróścice,637,8.5,8.5
87,Niemodlin,1050,9.7,9.0
88,Raszowa,980,9.0,9.2
89,Murów,1008,10.0,8.7
90,Ligota Zamecka,4011,9.5,8.8
91,Lubiatow,1400,7.8,8.6
92,Opole,945,8.8,9.5
93,Dobrzeń Wielki,718,9.5,8.7
94,Nysa,3900,8.7,9.8
95,Namysłów,1480,6.5,8.9
96,Opole,1705,9.0,9.6
97,Opole,2800,9.3,10.0
98,Nysa,2163,9.3,9.6
99,Skorochów,3059,8.6,8.5
100,Nysa,1813,9.0,8.7
101,Kędzierzyn-Koźle,2010,9.0,8.4
102,Łubniany,715,9.2,10.0
103,Głogówek,1809,7.5,9.4
104,Dębska Kuźnia,1575,8.8,8.5
105,Nysa,3741,9.1,8.3
106,Prudnik,875,7.7,10.0
107,Głogówek,1431,8.6,9.2
108,Opole,1890,9.5,9.0
109,Centawa,703,8.6,8.2
110,Głuchołazy,1120,9.8,9.6
111,Olesno,3010,9.0,8.5
112,Opole,2100,9.6,8.6
113,Opole,1750,9.7,9.2
114,Paczków,2079,9.6,9.9
115,Czarkowice,1050,7.9,10.0
116,Góra Świętej Anny,1950,8.4,9.2
117,Głuchołazy,1792,8.7,8.1
118,Głuchołazy,1386,7.0,8.8
119,Kędzierzyn-Koźle,1470,8.2,8.4
120,Kędzierzyn-Koźle,2730,9.5,9.0
121,Opole,1596,9.3,9.4
122,Paczków,1050,8.4,8.4
123,Opole,1253,7.9,9.4
124,Głogówek,1780,9.7,8.5
125,Opole,2221,9.2,9.2
126,Kędzierzyn-Koźle,2730,9.5,8.7
127,Kędzierzyn-Koźle,3430,8.0,9.0
128,Opole,3658,7.0,10.0
129,Głogówek,1431,9.7,9.9
