,City,Cost,Rating,Comfort
0,Łomża,1220,7.5,8.8
1,Supraśl,902,8.9,9.8
2,Tykocin,2004,9.9,9.5
3,Hajnówka,3156,9.1,9.0
4,Łomża,1190,8.9,8.9
5,Narewka,1834,8.9,8.6
6,Łomża,980,8.7,9.0
7,Białystok,1075,7.8,9.5
8,Rajgród,2151,8.9,9.3
9,Zelwa,2087,9.6,10.0
10,Sejny,1739,9.5,9.3
11,Niemirów,5013,10.0,8.2
12,Sokółka,1352,9.1,9.4
13,Sejny,707,8.4,9.1
14,Augustów,910,7.8,9.6
15,Białowieża,1644,9.4,9.6
16,Białystok,1673,8.9,8.1
17,"Old Town, Białystok",2325,9.4,8.1
18,Kaletnik,2254,9.6,9.1
19,Oszkinie,1569,8.4,9.8
20,Bielsk Podlaski,1264,8.1,8.5
21,Bielsk Podlaski,1540,8.9,9.4
22,Hajnówka,2411,9.6,8.7
23,Łuka,1256,8.3,8.7
24,"Old Town, Białystok",2781,9.1,9.6
25,Supraśl,2160,7.5,9.0
26,Werstok,902,9.1,8.7
27,Białowieża,1610,9.0,8.5
28,Kaletnik,2254,9.6,9.0
29,Suwałki,2800,9.1,9.2
30,Białystok,2447,8.6,8.7
31,Augustów,1625,8.3,9.2
32,Kruszyniany,3170,8.9,9.1
33,"Old Town, Białystok",2318,8.9,8.4
34,Drohiczyn,910,8.7,9.5
35,Białowieża,3134,9.2,8.3
36,Wiżajny,716,9.3,8.3
37,Tykocin,2240,8.7,9.1
38,"Old Town, Białystok",1643,9.3,9.6
39,Bakałarzewo,708,8.5,9.5
40,Wólka Nadbużna,2190,9.1,9.3
41,"Old Town, Białystok",1995,8.9,8.2
42,Serwy,3514,9.2,9.7
43,Suwałki,2800,9.3,8.4
44,Łomża,1323,9.3,9.5
45,Dzierwiany,2019,8.2,9.8
46,Suwałki,1720,8.3,9.6
47,Białystok,2558,9.5,9.1
48,Białystok,873,8.3,9.1
49,Łazy,2061,9.7,9.8
50,Supraśl,3005,9.9,9.2
51,Białowieża,973,9.7,9.1
52,Łomża,1260,8.8,9.0
53,Komaszówka,2100,9.6,8.7
54,Mielnik,1920,9.9,9.5
55,Białowieża,1575,9.4,8.8
56,Białystok,917,9.2,9.3
57,Augustów,5530,9.0,8.6
58,Goniądz,1120,8.7,8.4
59,Białowieża,5600,9.6,8.4
60,Walne,980,8.0,8.9
61,Białystok,1435,8.6,9.4
62,Białystok,1470,9.1,9.1
63,Kolno,1740,8.5,8.7
64,Białystok,869,8.5,9.4
65,Sejny,980,8.2,8.5
66,Czerlonka,898,9.4,9.3
67,Łomża,1330,9.4,8.6
68,Wólka Ratowiecka,4011,9.5,9.1
69,Wysokie Mazowieckie,1098,8.6,8.7
70,"Old Town, Białystok",1650,9.3,9.4
71,Augustów,1050,8.7,8.5
72,Mońki,959,9.2,9.3
73,Białowieża,4426,8.4,9.1
74,Białystok,1604,8.9,8.6
75,Wysokie Mazowieckie,1098,8.6,8.2
76,"Old Town, Białystok",1650,9.3,9.3
77,Augustów,1050,8.7,8.6
78,Mońki,959,9.2,9.5
79,Białystok,1604,8.9,8.4
80,Białowieża,4426,8.4,8.5
81,Supraśl,2303,8.0,8.2
82,Augustów,1009,9.2,8.1
83,Choroszcz,1400,8.9,8.7
84,Siemiatycze,1050,9.4,9.2
85,Łomża,2030,8.3,9.4
86,Goniądz,1470,8.5,8.4
87,Kukle,1337,8.6,9.6
88,Białystok,1330,8.0,9.8
89,Rosochaty Róg,1386,8.1,9.8
90,Goniądz,560,8.8,8.2
91,Smolany Dąb,700,9.4,10.0
92,Płaska,1960,8.9,9.0
93,Gawrych Ruda,2464,8.5,8.2
94,Siemiatycze,7084,9.6,9.7
95,Mielnik,1920,9.9,9.2
96,"Old Town, Białystok",1890,9.7,8.4
97,Łomża,858,8.8,9.0
98,Siemiatycze,945,9.6,9.0
99,Glinnik,2956,9.5,9.7
100,Białowieża,1077,9.0,8.8
101,"Old Town, Białystok",1707,9.5,9.8
102,Białowieża,1106,9.2,9.3
103,Drohiczyn,840,8.7,9.7
104,Wysokie Mazowieckie,2450,8.6,9.2
105,Siemiatycze,1155,8.9,9.2
106,Supraśl,1225,9.9,9.1
107,Wroceń,1540,9.1,9.5
108,Kiermusy,2834,9.8,9.1
109,Grodzisk,2533,9.4,8.1
110,Sokółka,1800,9.7,10.0
111,Łomża,1183,9.5,8.0
112,Białowieża,1260,9.1,9.1
113,Wizna,1513,7.7,8.9
114,Augustów,3145,8.9,9.0
115,Dubicze Cerkiewne,728,9.6,8.2
116,"Old Town, Białystok",2198,8.8,9.3
117,Supraśl,1120,8.5,8.9
118,Wysokie Mazowieckie,5700,9.5,8.6
119,Augustów,4612,7.7,9.7
120,Złotoria,1750,9.0,9.2
121,Klepacze,4187,9.2,9.2
122,Trześcianka,1183,9.2,9.0
123,Supraśl,770,8.6,9.4
124,Supraśl,1120,9.0,8.8
125,Suwałki,2240,8.7,9.5
126,Białystok,981,8.6,8.4
127,Wysokie Mazowieckie,973,9.5,8.7
128,Dubicze Cerkiewne,1542,6.9,9.5
129,Krynki,780,9.2,8.2
130,Sokółka,1050,9.1,8.3
131,Budy,1393,9.2,9.0
132,Borsuki,1050,9.5,9.8
133,Białowieża,2961,9.0,9.6
134,Suwałki,1008,8.1,9.4
135,Jabłońskie,1050,9.0,10.0
136,Białowieża,1066,9.2,9.3
137,Białowieża,840,8.8,8.3
138,Białystok,2197,8.6,9.8
139,Białystok,1540,9.2,9.7
140,Narewka,1050,9.0,9.6
141,Policzna,936,9.5,9.4
142,Przełomka,840,8.9,9.3
143,Białowieża,784,9.2,9.4
144,Supraśl,1425,9.7,9.5
145,Trześcianka,1680,10.0,9.3
146,Milejczyce,1717,9.5,10.0
147,Hajnówka,1170,10.0,8.9
148,Goniądz,910,9.5,9.2
149,Bielsk Podlaski,1260,8.0,9.3
150,Supraśl,1425,9.7,8.2
151,Bereżyszcze,3720,9.7,8.2
152,Trześcianka,1680,10.0,8.8
153,Milejczyce,1717,9.5,8.8
154,Goniądz,910,9.5,8.9
155,Suwałki,1757,8.0,9.2
156,Szypliszki,709,8.3,8.7
157,Szymki,6762,9.1,8.9
158,Augustów,1709,9.2,10.0
159,Rajgród,1127,9.4,8.8
160,Hajnówka,1170,10.0,9.4
161,"Old Town, Białystok",1375,8.8,9.4
162,Augustów,4915,9.1,9.9
163,"Old Town, Białystok",1564,9.3,8.8
164,Białystok,1260,7.8,9.6
165,Hajnówka,1077,8.4,9.4
166,Choroszcz,1071,8.3,10.0
167,Białowieża,3836,8.6,9.1
168,Leszczewek,1008,9.0,9.6
169,Białowieża,944,9.1,8.5
170,Augustów,1598,9.4,9.6
171,Białowieża,1276,7.7,8.8
172,Michałowo,3360,6.6,8.8
173,Szypliszki,560,8.6,8.8
174,Lipniak,840,9.1,9.5
175,Białowieża,790,7.7,9.0
176,Białowieża,1276,10.0,9.7
177,Goniądz,1895,7.5,9.2
178,Szypliszki,798,7.5,9.6
179,Michałowo,3360,8.6,8.7
180,Łomża,994,9.4,8.1
181,Białowieża,3836,6.6,9.5
182,Supraśl,1960,9.4,8.8
183,Szypliszki,560,9.8,8.8
184,"Old Town, Białystok",1707,7.5,9.7
185,Dubicze Cerkiewne,3011,7.9,9.3
186,Danowskie,6300,9.1,8.8
187,Łomża,788,9.7,9.3
188,Krasnopol,770,9.3,8.7
189,Turośl,5796,10.0,8.8
190,Supraśl,2646,9.6,9.5
191,Hajnówka,1680,9.4,9.6
192,Kruszewo,700,8.8,8.0
193,Augustów,2349,9.7,9.2
194,Drohiczyn,847,8.8,9.1
195,Żubrówka,980,8.4,8.1
196,"Old Town, Białystok",2748,8.9,9.5
197,Supraśl,1960,9.7,8.6
198,"Old Town, Białystok",831,8.7,9.7
199,Piertanie,4200,9.6,10.0
200,Czechy,1663,9.1,8.1
201,Klewinowo,9771,9.5,9.0
202,Goniądz,2755,9.0,8.0
203,Białystok,1643,8.5,9.6
204,Jeleniewo,1000,9.4,9.3
205,Kruszyniany,1190,8.4,8.9
206,Wiżajny,910,8.8,9.4
207,"Old Town, Białystok",1633,9.6,8.8
208,Supraśl,1960,9.2,8.1
209,"Old Town, Białystok",2748,9.0,8.7
210,Białystok,1818,9.4,9.5
211,Wroceń,1680,8.7,9.1
212,Mikolajewo,1421,7.8,8.6
213,Supraśl,1653,9.2,9.2
214,Białystok,1750,9.4,8.9
215,Augustów,1470,9.6,8.4
216,Czeremcha,490,8.1,9.9
217,Hajnówka,1386,9.3,9.8
218,Białystok,1066,9.2,9.3
219,Łomża,840,8.8,8.8
220,Pogorzelce,490,9.5,9.5
221,Augustów,1280,7.6,9.7
222,Goniądz,1190,7.6,8.2
223,Białowieża,1750,8.8,8.2
224,Tykocin,9702,9.8,8.9
225,Suwałki,1120,10.0,9.0
226,Sucha Rzeczka,881,8.5,8.7
227,Płaska,2450,9.3,10.0
228,Policzna,3306,8.3,8.0
229,Wiżajny,910,9.4,9.2
230,Dolistowo,1694,8.2,9.7
231,Kiermusy,1995,9.3,8.3
232,Krasnopol,840,7.3,9.2
233,"Old Town, Białystok",1141,9.0,9.9
234,"Old Town, Białystok",1489,9.3,10.0
235,Rajgród,1980,8.1,8.0
236,Augustów,771,8.9,9.1
237,Hajnówka,1638,8.0,8.5
238,Rybaki,647,8.4,8.3
239,Krzywe,1008,8.7,9.3
240,Białystok,1039,9.7,9.1
241,Szypliszki,898,9.2,8.7
242,Białystok,1750,8.4,8.7
243,Korycin,3116,9.3,8.3
244,Hajnówka,1596,8.9,8.9
245,Augustów,3879,8.5,9.4
246,Hajnówka,1540,9.8,9.3
247,Bargłów Kościelny,2163,9.8,9.1
248,"Old Town, Białystok",1135,9.5,8.4
249,Augustów,3708,8.9,8.7
250,Białystok,1232,9.8,9.4
251,Perlejewo,2021,9.4,8.8
252,Krzywe,1008,8.4,9.1
253,Siemiatycze,2443,8.2,9.8
254,Milejczyce,1836,9.0,8.5
255,"Old Town, Białystok",1447,9.0,8.4
256,Zabłudów,1295,8.9,9.6
257,Mikolajewo,2121,9.7,9.7
258,Białystok,1465,8.3,8.4
259,Suchowola,964,9.0,9.4
260,Białystok,2275,9.8,8.6
261,Kiermusy,1995,8.3,8.1
262,Białowieża,1850,9.3,8.6
263,Tykocin,2205,9.9,9.8
264,"Old Town, Białystok",1043,9.5,8.4
265,Hajnówka,1540,8.0,8.4
266,Dubicze Cerkiewne,2268,9.2,9.4
267,Tykocin,1251,8.6,8.6
268,Narewka,1071,8.3,8.6
269,Jaminy,680,9.5,9.8
270,Michałowo,735,9.3,9.1
271,Sokółka,1190,8.7,10.0
272,Borsuki,1400,8.0,9.3
273,Augustów,1779,8.7,9.5
274,Augustów,1890,8.3,9.1
275,"Old Town, Białystok",948,9.2,9.7
276,Augustów,1890,9.7,8.6
277,Hajnówka,1610,9.2,9.3
278,Białowieża,820,9.5,9.4
279,Bokiny,2714,8.7,9.4
280,"Old Town, Białystok",1425,9.1,9.3
281,Krejwińce,1540,9.3,8.5
282,Raczki,2083,8.1,8.4
283,Czerwonki,1121,9.0,9.3
284,Podmacharce,1610,9.1,8.6
285,Augustów,2409,9.7,8.3
286,Augustów,917,8.6,9.5
287,Zabuże,2330,8.0,8.4
288,Supraśl,2203,9.5,9.3
289,Sejny,1190,9.8,8.6
290,Płaska,1134,8.1,8.3
291,Suwałki,2275,8.6,9.5
292,Tykocin,2205,9.2,9.5
293,Wizna,1162,8.6,9.4
294,Krynki,803,8.3,8.3
295,"Old Town, Białystok",1633,8.6,10.0
296,Białystok,1555,9.8,9.9
297,Białystok,990,8.0,10.0
298,"Old Town, Białystok",1400,8.1,10.0
299,Mikolajewo,1359,8.6,9.0
300,Płaska,1134,9.2,10.0
301,Wizna,1162,8.6,8.6
302,Krynki,803,8.6,8.1
303,"Old Town, Białystok",1633,9.8,9.3
304,Białystok,1555,9.2,8.5
305,"Old Town, Białystok",1400,9.0,8.3
306,Mikolajewo,1359,9.4,9.4
307,"Old Town, Białystok",2625,9.3,9.5
308,Hajnówka,1361,9.4,9.5
309,Zambrów,1377,9.7,9.8
310,Hajnówka,1820,8.6,9.4
311,Goniądz,432,9.5,9.4
312,Łuka,3150,9.2,8.4
313,Ploski,1638,9.5,9.8
314,Łapicze,1481,9.2,9.5
315,Raczki,840,9.3,8.8
316,Bryzgiel,1680,8.7,9.4
317,Białystok,1643,8.5,8.3
318,"Old Town, Białystok",1489,9.6,8.8
319,Białystok,1215,8.8,8.3
320,Suwałki,887,8.4,9.2
321,Wólka Nadbużna,5460,9.2,9.5
322,Mońki,688,8.5,8.9
323,"Old Town, Białystok",1215,9.6,8.8
324,Augustów,2254,8.8,9.4
325,Suwałki,887,8.4,9.4
326,Wólka Nadbużna,5460,9.2,8.3
327,Mońki,688,9.5,9.4
328,"Old Town, Białystok",1215,9.4,9.4
329,Augustów,2604,9.0,8.7
330,Hajnówka,2083,10.0,9.4
331,Tykocin,2100,9.7,10.0
332,Michałowo,3360,10.0,8.7
333,Soce,3285,9.8,8.8
334,Wajków,4187,8.7,8.3
335,Supraśl,2023,9.0,9.0
336,Sidra,3059,8.7,9.3
337,Mielnik,2154,8.3,9.4
338,Białowieża,1686,9.4,8.0
339,Milejczyce,2065,8.5,9.5
340,Białowieża,1680,8.3,8.7
341,"Old Town, Białystok",1447,9.2,9.4
342,Białystok,1564,9.6,9.9
343,Suwałki,1680,7.1,8.8
344,"Old Town, Białystok",1447,9.5,9.2
345,"Old Town, Białystok",1295,9.6,8.9
346,Łozice,3510,9.4,9.5
347,Białystok,755,9.2,8.8
348,Augustów,2121,8.2,9.1
349,Hajnówka,2030,9.9,9.5
350,"Old Town, Białystok",1693,9.6,9.5
351,"Old Town, Białystok",1295,7.7,9.1
352,Serwy,4536,7.2,9.2
353,Serwy,3444,8.8,8.9
354,Hajnówka,3213,9.3,9.5
355,Kaletnik,840,8.8,8.4
356,Augustów,1050,9.3,8.4
357,Grajewo,770,7.6,8.6
358,Narew,1488,8.2,8.6
359,Pogorzelce,1252,9.6,8.9
360,Przejma Wysoka,2753,9.2,9.5
361,Buda Ruska,1792,9.1,9.9
362,Białystok,1190,9.1,9.4
363,Sokółka,1386,9.9,9.3
364,Filipów,2695,9.5,8.0
365,Białystok,2103,8.4,10.0
366,Popiołki,3180,9.0,9.0
367,Narewka,3150,9.5,8.9
368,Dubicze Cerkiewne,1610,9.0,9.6
369,Białystok,1868,9.6,10.0
370,Rajgród,1344,9.7,9.8
371,Augustów,3511,8.8,10.0
372,Wiżajny,3465,8.8,8.2
373,Lipsk,385,8.4,9.2
374,Białystok,2279,9.0,8.1
375,Fornetka,3442,9.5,9.7
376,Białystok,1435,9.0,8.9
377,Narew,1488,8.3,9.0
378,Rajgród,1344,9.2,10.0
379,Białystok,1426,9.0,9.2
380,Białowieża,3516,9.6,10.0
381,Augustów,3511,9.9,8.8
382,Białystok,1190,8.8,9.2
383,Białowieża,3516,8.6,10.0
384,Lipsk,385,9.4,8.7
385,Białystok,2279,9.2,9.1
386,Rybnik,2543,8.9,9.8
387,"Old Town, Białystok",1488,9.6,8.7
388,Siemianówka,3500,9.4,10.0
389,Białystok,1473,9.5,9.7
390,Hajnówka,2318,9.2,10.0
391,Augustów,1377,9.8,8.9
392,Wroceń,3150,9.1,8.1
393,Hajnówka,2100,9.5,8.9
394,Tykocin,3500,8.9,9.7
395,"Old Town, Białystok",1235,6.8,9.0
396,Czarna Białostocka,841,8.9,8.6
397,Pawłówka,869,8.3,10.0
398,"Old Town, Białystok",1994,8.6,10.0
399,Białowieża,1190,8.9,10.0
400,Bakałarzewo,630,9.5,10.0
401,Białowieża,1190,9.7,9.0
402,Sztabin,1010,9.5,8.5
403,Zaścianki,630,9.3,8.9
404,Augustów,1853,8.0,9.3
405,"Old Town, Białystok",1994,9.5,9.2
406,Augustów,2611,9.1,9.3
407,Wiżajny,3465,8.8,9.5
408,Suwałki,1975,9.5,8.5
409,Białystok,1242,9.9,9.2
410,Wiżajny,952,9.5,8.4
411,Augustów,1921,9.5,9.5
412,Łomża,3213,8.1,8.9
413,Płaska,1820,9.4,9.5
414,Łomża,2059,8.7,8.9
415,Smolniki,4200,9.8,9.7
416,Sucha Rzeczka,3098,9.0,8.3
417,Giby,2036,8.7,9.6
418,Sucha Wieś,700,10.0,10.0
419,Grajewo,1400,9.8,9.6
420,Augustów,2591,9.0,8.4
421,Hajnówka,1190,8.8,10.0
422,Płaska,2100,9.3,9.9
423,Wiżajny,2800,10.0,9.4
424,Białystok,1850,9.1,9.8
425,Suwałki,2070,9.0,8.8
426,Czarna Białostocka,841,9.0,9.2
427,Supraśl,2926,9.8,10.0
428,Supraśl,1050,8.5,10.0
429,Narewka,2285,9.8,10.0
430,Białowieża,1190,9.6,8.2
431,Szepietowo,8978,9.7,8.2
432,Białystok,1345,8.7,8.0
433,Korycin,819,7.7,9.9
434,Białystok,1400,8.0,9.6
435,Siemianówka,4193,8.9,9.4
436,Klewinowo,1662,9.8,9.7
437,Łuka,2730,9.1,10.0
438,Augustów,1876,9.0,9.4
439,Sucha Rzeczka,3964,9.7,9.7
440,"Old Town, Białystok",2550,7.3,10.0
441,Suwałki,616,10.0,9.6
442,Białystok,1270,9.7,10.0
443,Wiżajny,840,7.3,9.4
444,Białystok,1538,10.0,9.3
445,Supraśl,1040,7.5,9.5
446,Budy,1540,8.4,9.5
447,Suwałki,1770,8.5,9.7
448,"Old Town, Białystok",1019,8.4,8.5
449,Giby,4214,9.1,10.0
450,Suwałki,1770,9.4,8.2
451,"Old Town, Białystok",1019,7.2,9.8
452,Giby,4214,9.4,8.6
453,Białystok,910,9.1,10.0
454,Czarna Wieś,700,9.6,8.8
455,Suwałki,700,8.5,9.4
456,Augustów,2423,9.7,9.6
457,Rutka Tartak,459,9.0,10.0
458,Białowieża,1270,9.4,8.8
459,"Old Town, Białystok",1393,8.9,9.4
460,Nowogród,910,7.7,9.6
461,Płaska,2835,9.4,10.0
462,Augustów,2191,9.1,9.3
463,Rospuda,3500,9.6,9.5
464,Augustów,1540,8.8,8.0
465,Jurowlany,3024,7.8,9.2
466,Walne,6300,8.9,8.8
467,Płaska,4400,9.3,9.1
468,Sztabin,1504,10.0,10.0
469,Rajgród,2114,9.4,8.5
470,Łomża,2450,8.9,8.5
471,Popiołki,3180,8.9,9.6
472,Suwałki,1400,10.0,9.0
473,Białowieża,770,9.9,9.8
474,Augustów,1289,9.4,8.9
475,Siemiatycze,560,9.5,9.1
476,Trześcianka,1309,8.8,10.0
477,Białystok,1700,9.1,8.7
478,Białystok,1853,10.0,8.8
479,Dolistowo,1155,10.0,9.6
480,Radziłów,1617,10.0,8.9
481,Cimanie,1667,8.0,9.0
482,"Old Town, Białystok",1345,8.3,8.9
483,Białystok,1573,7.8,10.0
484,Giby,3500,9.8,9.3
485,Augustów,1009,9.5,10.0
486,Leszczewek,1764,7.7,10.0
487,Szepietowo,8978,9.4,8.7
488,Raczki,1487,8.4,8.7
489,"Old Town, Białystok",2083,9.7,9.8
490,Suwałki,1400,9.3,9.9
491,Białystok,1850,7.7,9.2
492,Białystok,1180,9.4,10.0
493,Białystok,1813,8.4,9.0
494,Białystok,2083,9.7,9.2
495,Augustów,1989,9.3,9.0
496,Białystok,1300,9.7,8.3
497,Augustów,3171,9.9,9.4
498,Siemianówka,2793,9.2,8.6
499,Narew,2194,7.8,10.0
500,Augustów,1989,9.3,8.7
501,Białystok,1300,9.6,8.9
502,Augustów,3171,9.5,9.5
503,Siemianówka,2793,8.8,8.3
504,Narew,2194,9.4,8.7
505,Morgowniki,840,9.0,8.9
506,Suwałki,1503,9.7,8.9
507,Białystok,2300,8.6,8.9
508,Augustów,1289,9.6,8.5
509,"Old Town, Białystok",1853,8.8,9.6
510,Wiżajny,1680,9.5,9.9
511,Stanisławowo,4032,8.0,9.3
512,Radziucie,4359,8.9,9.5
513,Białystok,942,9.6,8.8
514,Płaska,2346,9.2,9.7
515,Rosochaty Róg,1820,9.8,9.2
516,Suwałki,896,8.9,9.4
517,"Old Town, Białystok",1397,9.6,9.5
518,Augustów,2471,9.2,8.9
519,"Old Town, Białystok",1796,9.2,9.5
520,Giby,2984,9.3,9.2
521,Wiżajny,910,8.1,9.6
522,Dubiny,1892,9.6,8.8
523,Białystok,1314,7.8,8.8
524,"Old Town, Białystok",4600,9.3,8.7
525,Augustów,3591,9.0,9.6
526,Wiżajny,910,9.0,9.0
527,Dubiny,1892,10.0,9.2
528,Białystok,1314,8.2,9.8
529,"Old Town, Białystok",4600,9.0,9.8
530,Jeleniewo,1225,9.3,8.7
531,Hołny Mejera,1260,9.2,8.8
532,Augustów,2261,9.6,9.3
533,Augustów,1596,9.1,8.7
534,Suwałki,2835,9.4,9.4
535,"Old Town, Białystok",1080,10.0,9.3
536,"Old Town, Białystok",1530,9.0,8.7
537,Białowieża,2851,8.8,9.6
538,Białystok,1713,9.7,8.7
539,"Old Town, Białystok",1254,9.5,8.4
540,Białystok,1420,8.8,8.2
541,Smolniki,3850,9.2,9.2
542,Łapy,6167,9.4,9.8
543,Augustów,1120,7.9,9.7
544,Białystok,2745,10.0,9.5
545,"Old Town, Białystok",1640,9.8,8.2
546,Białystok,1260,9.8,8.2
547,Białystok,1805,10.0,10.0
548,Giby,1224,9.0,8.3
549,Białowieża,770,9.1,9.2
550,Szostakowo,2180,9.5,9.7
551,Białystok,2543,9.6,8.9
552,Łomża,980,9.4,8.7
553,Zamczysk,1372,10.0,9.5
554,Gawrych Ruda,4823,8.8,8.7
555,Giby,1190,9.1,10.0
556,Kleszczele,1416,9.6,10.0
557,Rutka Tartak,4302,8.4,9.1
558,"Old Town, Białystok",1764,9.1,9.3
559,Białystok,1823,8.3,8.9
560,Augustów,4696,9.8,8.3
561,Giby,1224,9.1,8.2
562,Macharce,892,9.5,10.0
563,Białystok,1538,6.2,9.6
564,Białystok,1473,9.6,10.0
565,Białowieża,3566,8.4,9.5
566,Białystok,1780,8.7,9.9
567,Białystok,1950,9.0,9.4
568,Suwałki,1183,9.0,9.6
569,Królowy Most,3518,9.0,9.3
570,Białystok,1450,8.9,9.0
571,Białystok,1673,8.7,9.4
