,City,Cost,Rating,Comfort
0,Nowy Zyzdrój,2748,7.3,8.7
1,Olsztyn,2723,8.7,9.6
2,Lidzbark Warmiński,4419,9.8,9.7
3,Ryn,1473,9.6,9.1
4,Ruciane-Nida,856,8.0,9.1
5,Pisz,1232,8.0,8.6
6,Ostróda,4165,8.3,8.9
7,Elbląg,2803,8.9,9.2
8,Olsztyn,1672,8.5,9.4
9,Stare Jabłonki,3654,8.7,9.4
10,Olsztyn,2539,8.9,8.3
11,Olsztyn,8128,9.2,9.1
12,Olsztyn,4393,9.2,8.1
13,Bartoszyce,1043,8.3,9.5
14,Ostróda,3031,9.0,8.1
15,Spychowo,3500,9.2,8.6
16,Frombork,2720,9.3,9.1
17,Nowe Guty,2394,8.3,8.7
18,Kromerowo,4141,8.7,9.3
19,Dorotowo,3038,8.9,8.2
20,Ostróda,1354,8.0,9.5
21,Olsztyn,2004,8.5,8.2
22,Kiemiany,3864,9.4,8.6
23,Ruciane-Nida,4806,8.0,8.5
24,Mikołajki,6154,9.2,9.8
25,Ruciane-Nida,4806,8.0,8.8
26,Ostróda,2174,8.4,9.5
27,Elbląg,1040,7.3,8.4
28,Mrągowo,3976,8.3,8.6
29,Bartoszyce,1159,9.8,8.4
30,Dąbrówno,2109,8.9,9.1
31,Olsztyn,2695,9.3,9.0
32,Olsztyn,2391,8.3,9.2
33,Klekotki,2823,8.5,9.0
34,Ryn,2128,8.3,9.4
35,Bartoszyce- Galiny,4508,9.2,9.1
36,Olsztyn,2539,8.9,10.0
37,Ruś,700,9.1,8.0
38,Mikołajki,5690,8.9,9.4
39,Giżycko,1716,9.4,9.3
40,Giżycko,3347,8.9,8.2
41,Idzbark,2761,10.0,9.1
42,Elbląg,1428,7.9,9.0
43,Majdy,2746,8.1,9.6
44,Giżycko,3863,9.3,8.0
45,Olsztyn,2549,9.1,8.5
46,Kadyny,2769,8.2,8.7
47,Mikołajki,4946,8.8,8.7
48,Pasłęk,1352,8.6,9.2
49,Woryty,5443,9.6,9.0
50,Święta Lipka,2765,8.9,8.0
51,Morąg,2190,8.4,8.9
52,Ełk,1073,7.7,9.0
53,Rydzewo,5152,8.7,9.7
54,Węgorzewo,2318,8.9,8.2
55,Biskupiec,4508,9.3,8.6
56,Braniewo,973,9.2,9.6
57,Tumiany,2520,8.3,8.3
58,Wiartel,5204,8.6,9.0
59,Butryny,837,9.1,8.7
60,Woryty,5690,9.4,8.7
61,Giżycko,2190,8.3,8.9
62,Mikołajki,4213,8.6,8.4
63,Lidzbark Warmiński,4419,9.8,9.8
64,Elbląg,840,8.1,8.4
65,Prażmowo,2030,9.3,8.3
66,Elbląg,1295,9.0,9.3
67,Tolkmicko,1290,8.6,8.8
68,Czarnówka,6031,9.0,8.7
69,Olsztyn,1400,8.6,8.7
70,Ruciane-Nida,4073,9.8,8.4
71,Zalewo,1323,8.3,8.9
72,Bisztynek,1037,8.4,8.4
73,Mrągowo,4177,9.4,8.3
74,Lidzbark Warmiński,840,9.0,8.8
75,Elbląg,1295,9.0,8.6
76,Tolkmicko,1290,8.6,8.6
77,Zalewo,1323,8.3,8.4
