,City,Cost,Rating,Comfort
0,"Stare Miasto, Poznań",724,8.3,8.1
1,"Nowe Miasto, Poznań",1260,7.9,8.1
2,Piła,1330,8.2,8.1
3,Górzno,1260,8.2,8.5
4,Sieraków,2607,8.5,9.5
5,Swarzędz,1904,9.1,9.0
6,Piła,1727,8.7,8.5
7,Ślesin,1890,7.4,9.2
8,Tarnowo Podgórne,1862,8.5,9.0
9,Nowy Tomyśl,1468,9.1,8.7
10,Kalisz,1820,8.9,9.6
11,"Stare Miasto, Poznań",360,7.9,8.2
12,Brdów,1100,8.7,9.0
13,"Stare Miasto, Poznań",2028,9.4,8.2
14,Gniezno,1225,7.8,9.3
15,Zduny,1417,8.9,9.1
16,Ostrów Wielkopolski,952,8.4,8.5
17,"Stare Miasto, Poznań",1503,9.0,8.9
18,Puszczykowo,3130,8.9,8.8
19,Września,1095,8.5,8.9
20,Leszno,1521,8.6,9.0
21,Gniezno,1540,8.7,8.9
22,Leszno,1827,8.8,9.0
23,Nowy Tomyśl,1966,8.7,8.8
24,Swarzędz,1610,8.9,8.6
25,Nowy Tomyśl,1966,8.7,9.1
26,Swarzędz,1449,8.7,8.7
27,"Stare Miasto, Poznań",1417,8.6,8.1
28,Gostyń,1095,9.0,9.7
29,Jarocin,1239,8.8,9.1
30,Ostrów Wielkopolski,1024,7.6,9.2
31,Pleszew,1260,8.4,8.8
32,Wągrowiec,1095,9.7,8.1
33,Piła,837,9.1,8.8
34,Brzeźno,772,9.3,8.1
35,"Stare Miasto, Poznań",1422,8.6,9.3
36,Ostrów Wielkopolski,1043,8.1,8.4
37,Wilczyn,2525,9.3,9.1
38,Ostrzeszów,1050,7.9,9.4
39,Września,842,9.3,8.8
40,Brodowo,700,7.4,8.9
41,Świętne,2491,7.2,9.4
42,Września,837,8.5,8.8
43,"Stare Miasto, Poznań",3091,9.1,9.4
44,"Grunwald, Poznań",1855,9.3,9.3
45,"Wilda, Poznań",2243,8.9,8.8
46,Sierosław,1393,8.8,8.8
47,Nekla,1479,9.2,9.1
48,Koło,1656,8.6,8.7
49,Śrem,1330,9.2,8.2
50,Koło,1656,8.8,8.0
51,Czmoń,1175,8.8,9.2
52,Złotów,1253,8.6,8.3
53,Śrem,1330,9.5,8.9
54,Kalisz,1643,8.4,8.5
55,"Stare Miasto, Poznań",2220,8.1,9.3
56,Wieleń,1460,8.0,9.1
57,"Jeżyce, Poznań",1187,8.0,9.7
58,Kalisz,1042,9.0,9.1
59,Kępno,1680,8.2,9.2
60,"Wilda, Poznań",1933,8.7,9.1
61,"Grunwald, Poznań",1603,8.4,9.8
62,"Grunwald, Poznań",1275,9.0,9.2
63,"Stare Miasto, Poznań",2675,8.9,9.0
64,"Stare Miasto, Poznań",1615,9.7,8.6
65,Kalisz,1346,9.3,8.4
66,Chrzypsko Wielkie,1352,9.2,9.8
67,Leszno,1540,9.4,9.0
68,Śrem,1048,9.8,9.2
69,Piła,2452,9.0,9.5
70,"Stare Miasto, Poznań",1631,8.6,8.6
71,"Stare Miasto, Poznań",2837,8.4,8.4
72,"Stare Miasto, Poznań",1993,8.5,8.9
73,Komorowo,1675,9.8,8.9
74,"Grunwald, Poznań",1067,8.6,8.7
75,Piła,2452,9.0,9.7
76,"Stare Miasto, Poznań",2837,9.3,9.2
77,"Stare Miasto, Poznań",1590,8.4,8.9
78,Kostrzyn,1900,8.5,9.3
79,"Stare Miasto, Poznań",1968,8.6,9.0
80,Komorowo,1675,9.0,9.2
81,"Grunwald, Poznań",1067,7.3,9.0
82,Zbąszyń,1393,8.8,9.0
83,Gniezno,665,9.7,8.9
84,"Stare Miasto, Poznań",1086,9.1,9.3
85,Gołuchów,1085,8.9,9.3
86,Kwiejce,1899,9.3,8.9
87,"Stare Miasto, Poznań",2344,8.0,8.3
88,Leszno,1295,9.1,9.7
89,Fałkowo,907,8.8,8.7
90,Kościan,1680,8.8,9.5
91,Chodzież,1330,8.5,9.3
92,"Jeżyce, Poznań",2233,8.7,8.0
93,Kórnik,1395,9.0,8.0
94,"Jeżyce, Poznań",4424,9.0,8.7
95,Suchy Las,1754,8.0,9.4
96,Kalisz,2205,8.8,8.6
97,"Stare Miasto, Poznań",2377,8.4,8.6
98,"Grunwald, Poznań",1248,9.7,9.1
99,"Stare Miasto, Poznań",1726,8.7,9.3
100,Kalisz,1225,9.5,8.1
101,Pniewy,2116,7.4,8.8
102,Środa Wielkopolska,1720,9.2,8.0
103,Śrem,1610,7.9,9.3
104,Kuźnica Zbąska,1377,8.1,8.2
105,"Nowe Miasto, Poznań",1602,8.7,9.6
106,Ostrów Wielkopolski,1095,9.2,9.4
107,"Stare Miasto, Poznań",1269,8.7,8.5
108,"Stare Miasto, Poznań",1181,8.5,8.9
109,Gostyń,1323,8.9,9.8
110,Suchy Las,1393,9.3,8.7
111,Chodzież,1120,8.0,9.4
112,"Nowe Miasto, Poznań",1891,8.8,8.5
113,Ostrów Wielkopolski,1533,8.2,8.9
114,Przeźmierowo,1593,9.3,8.1
115,Wieleń Północny,438,8.3,9.8
116,Stare Miasto,1120,9.5,8.3
117,"Stare Miasto, Poznań",1686,9.3,8.7
118,Budzyń,910,8.7,8.5
119,Górnica,929,8.8,8.3
120,Krotoszyn,1330,9.8,9.1
121,Biskupice,700,8.6,9.0
122,Śrem,1370,9.3,8.3
123,Kórnik,2521,8.7,8.6
124,Szamotuły,1750,8.8,8.8
125,Krotoszyn,1330,8.5,8.1
126,Biskupice,700,9.8,9.8
127,Śrem,1370,8.2,9.4
128,Debrzno,2753,8.6,8.1
129,Kórnik,2521,9.0,9.4
130,Grodzisk Wielkopolski,1533,8.4,8.4
131,Szamotuły,1750,9.3,8.0
132,Józefów,2236,8.1,8.2
133,Stęszew,1200,8.7,8.2
134,Gostyń,1170,8.2,8.0
135,Licheń,1540,8.3,8.4
136,"Grunwald, Poznań",1983,8.6,8.4
137,Międzychód,3990,8.8,8.1
138,Przeźmierowo,1575,7.8,8.7
139,"Grunwald, Poznań",1301,9.7,8.2
140,"Grunwald, Poznań",1598,9.2,8.6
141,"Grunwald, Poznań",1780,8.0,8.9
142,Jarocin,2660,9.4,9.3
143,Kościan,1890,7.9,9.7
144,Przeźmierowo,1793,8.4,8.8
145,Czarnków,1330,8.1,9.6
146,Konin,1064,8.0,8.0
147,Pleszew,910,8.0,8.5
148,Koszuty,1050,8.1,9.1
149,Konin,1950,8.5,8.5
150,Konin,1950,8.4,9.0
151,Pobiedziska,903,7.8,9.2
152,Piła,1183,8.7,9.5
153,Pleszew,910,8.3,8.5
154,Przeźmierowo,1540,8.4,8.6
155,Tarnowo Podgórne,1540,9.0,9.2
156,Środa Wielkopolska,1050,7.0,9.0
157,Stare Miasto,5445,9.2,9.0
158,"Grunwald, Poznań",944,9.6,8.7
159,Bolechowo-Osiedle,402,7.6,8.0
160,Leszno,1400,8.7,9.2
161,Chodzież,1101,9.3,8.5
162,Wolsztyn,910,8.1,8.5
163,Turek,831,8.4,8.3
164,Koźmin,1260,9.1,8.3
165,Turek,1225,8.4,9.1
166,Kwilcz,2882,7.0,8.3
167,Września,1120,8.8,9.6
168,Kórnik,1750,9.0,9.3
169,Boszkowo,2118,9.3,8.0
170,Budzyń,2380,8.2,10.0
171,"Stare Miasto, Poznań",1285,8.6,8.7
172,"Grunwald, Poznań",1931,9.0,9.3
173,Ostrów Wielkopolski,1400,9.2,8.6
174,Ślesin,980,9.0,8.6
175,"Stare Miasto, Poznań",1285,8.5,9.1
176,Konin,1400,7.9,9.4
177,Leszno,840,9.1,9.1
178,"Stare Miasto, Poznań",1994,8.7,9.7
179,Jarocin,2940,8.3,9.5
180,"Stare Miasto, Poznań",1613,7.9,8.5
181,Leszno,1120,8.5,8.7
182,Police Mostowe,1253,7.9,9.4
183,"Grunwald, Poznań",1673,7.6,8.1
184,Gniezno,1514,7.3,9.2
185,"Jeżyce, Poznań",1325,8.1,8.9
186,"Stare Miasto, Poznań",1067,8.9,8.7
187,Konin,837,8.2,9.1
188,Konin,1463,9.8,9.8
189,Zakrzewo,2856,9.0,9.4
190,"Nowe Miasto, Poznań",1191,8.2,10.0
191,Poznań,1631,10.0,9.1
192,Środa Wielkopolska,1428,8.6,8.3
193,"Grunwald, Poznań",3925,8.9,9.0
194,Wąsowo,3046,8.5,8.0
195,Piła,2011,8.5,9.8
196,"Stare Miasto, Poznań",1797,8.9,9.6
197,Wieleń,1470,9.1,8.6
198,Kościan,1680,9.1,10.0
199,Brenno,1701,9.7,8.0
200,"Nowe Miasto, Poznań",1191,9.3,8.4
201,Kórnik,4106,8.3,8.7
202,Leszno,1605,8.8,8.3
203,Ostrów Wielkopolski,2240,9.5,8.3
204,"Stare Miasto, Poznań",3984,7.3,8.1
205,Police Mostowe,1253,8.0,9.5
206,Chodzież,1260,9.0,8.4
207,Wągrowiec,897,8.8,9.1
208,Konin,1463,8.7,8.6
209,Antonin,980,9.2,9.5
210,Kępno,1610,7.2,9.9
211,"Stare Miasto, Poznań",1530,9.7,8.2
212,"Grunwald, Poznań",1222,9.6,8.2
213,Konin,1483,10.0,8.8
214,Lipno,455,8.8,9.3
215,Wieleń,3570,8.3,10.0
216,Łowyń,3920,8.9,9.0
217,Wijewo,3010,8.0,9.8
218,Śrem,1421,9.5,8.6
219,"Stare Miasto, Poznań",1865,9.5,9.0
220,Stare Miasto,1120,8.6,8.8
221,Konin,800,9.2,9.0
222,"Jeżyce, Poznań",1325,8.0,9.0
223,"Stare Miasto, Poznań",1177,8.2,9.0
224,Szamotuły,980,8.8,9.2
225,"Jeżyce, Poznań",1325,8.1,8.6
226,"Stare Miasto, Poznań",2383,8.4,8.9
227,"Stare Miasto, Poznań",2088,7.8,8.4
228,Piła,899,6.4,9.9
229,"Stare Miasto, Poznań",1190,9.4,9.7
230,"Stare Miasto, Poznań",1438,8.6,9.1
231,Chodzież,1260,8.8,8.5
232,"Jeżyce, Poznań",1533,8.8,8.1
233,Bojanowo,1400,9.4,9.8
234,Murowana Goślina,980,9.9,8.5
235,Wolsztyn,998,8.3,9.0
236,Pobiedziska,1071,8.3,9.7
237,Promno,580,8.3,8.6
238,"Grunwald, Poznań",2367,9.3,8.3
239,Sieraków,1680,10.0,8.9
240,Sieraków,2534,8.7,9.0
241,Maniewo,1750,9.7,9.7
242,Gniezno,1190,8.5,9.1
243,Janikowo,980,8.8,9.2
244,Oborniki,1260,7.7,8.1
245,Kalisz,1452,8.7,9.8
246,Piła,1047,8.9,8.4
247,Kępno,1848,8.9,8.5
248,Leszno,1443,9.1,9.0
249,Gniezno,1428,8.9,8.9
250,"Wilda, Poznań",984,8.5,9.7
251,Łuszczewo,1883,8.8,9.0
252,Stęszew,1777,8.5,8.6
253,Kalisz,1673,9.9,8.5
254,"Jeżyce, Poznań",1033,9.4,9.6
255,Smyczyna,1540,8.7,8.2
256,"Stare Miasto, Poznań",2169,8.5,8.7
257,"Wilda, Poznań",1437,7.6,9.7
258,"Stare Miasto, Poznań",1218,8.1,9.2
259,Buk,1683,8.5,8.9
260,Maniewo,1820,9.6,8.8
261,Gniezno,1470,8.2,9.4
262,Powidz,5637,7.1,9.6
263,"Stare Miasto, Poznań",406,8.9,8.0
264,Kalisz,1050,9.7,9.4
265,Będlewo,1470,8.0,8.0
266,Zaniemyśl,1396,8.7,9.3
267,Tarnowo Podgórne,3220,8.3,9.7
268,"Stare Miasto, Poznań",1800,8.8,8.1
269,Rawicz,1505,9.1,9.4
270,"Stare Miasto, Poznań",1518,9.4,8.4
271,Piła,1400,8.7,10.0
272,Ostrowite,1646,7.6,9.3
273,Sieraków,707,8.1,8.6
274,"Grunwald, Poznań",1233,9.0,8.8
275,"Stare Miasto, Poznań",1218,8.5,9.6
276,Smyczyna,1540,9.6,9.7
277,Gniezno,1470,8.5,9.8
278,Powidz,5637,8.2,8.9
279,Kalisz,1050,8.9,8.7
280,Będlewo,1470,8.9,9.2
281,Września,1680,9.7,8.9
282,Zaniemyśl,1396,8.9,8.2
283,Tarnowo Podgórne,3220,8.0,9.2
284,Buk,1683,7.7,9.2
285,"Stare Miasto, Poznań",1800,8.7,8.3
286,"Stare Miasto, Poznań",1518,8.5,8.5
287,Kalisz,945,9.4,9.4
288,Piła,1400,8.0,8.6
289,Kalisz,1673,8.8,9.1
290,Ostrowite,1646,9.7,9.7
291,Rawicz,1120,9.3,8.8
292,Sieraków,707,9.2,8.7
293,"Stare Miasto, Poznań",406,8.9,8.9
294,Gniezno,2318,7.7,9.1
295,Wągrowiec,1050,9.2,8.3
296,Chrzypsko Wielkie,1960,9.7,8.6
297,Wągrowiec,910,8.1,8.7
298,Piła,1400,9.5,9.0
299,Jaszkowo,1400,8.1,9.3
300,"Stare Miasto, Poznań",952,7.9,8.1
301,Kalisz,1463,9.2,9.3
302,Leszno,1695,9.3,8.1
303,Konin,1680,8.1,8.7
304,Sierosław,1470,9.2,9.3
305,Kiszkowo,1960,8.2,8.8
306,Golina,1260,8.0,9.6
307,Przeźmierowo,1050,10.0,8.2
308,Leszno,1953,7.6,9.5
309,Września,1449,8.9,9.4
310,Boszkowo,2800,8.6,8.1
311,Powidz,2000,8.3,8.0
312,Wronki,1680,9.7,8.6
313,"Wilda, Poznań",530,9.7,8.4
314,Piła,1047,9.7,9.7
315,Konin,1120,8.8,9.4
316,Palędzie,1338,8.5,8.2
317,Owińska,1323,7.0,8.5
318,Oborniki,1260,9.1,8.5
319,Piła,1750,8.8,8.7
320,Leszno,1953,8.1,9.2
321,Konin,1540,9.5,9.1
322,"Stare Miasto, Poznań",4927,9.1,9.4
323,"Jeżyce, Poznań",1807,8.2,9.4
324,Podrzewie,1400,8.6,8.2
325,Wronki,3670,9.4,9.2
326,"Stare Miasto, Poznań",4927,7.9,8.9
327,Turek,870,8.9,9.3
328,Leszno,2015,9.2,9.5
329,Pobiedziska,1050,7.6,8.7
330,"Nowe Miasto, Poznań",1865,9.5,10.0
331,"Stare Miasto, Poznań",1810,8.7,8.2
332,Strzałkowo,980,8.5,8.7
333,Przeźmierowo,1050,9.1,8.8
334,Leszno,1779,8.5,9.2
335,Podstolice,2153,7.0,8.1
336,"Wilda, Poznań",1463,8.4,9.1
337,Chodzież,1540,8.7,9.2
338,Nekla,2770,8.7,9.4
339,"Jeżyce, Poznań",1807,6.9,9.2
340,Tarnowo Podgórne,1953,8.7,8.8
341,Leszno,1862,9.4,8.2
342,Trzcianka,2100,8.4,10.0
343,"Stare Miasto, Poznań",1134,9.4,9.8
344,Ostrzeszów,1540,8.4,8.8
345,"Stare Miasto, Poznań",455,8.7,9.7
346,Bytyń,644,9.1,9.5
347,"Jeżyce, Poznań",1794,8.7,8.6
348,Trzcianka,2233,9.4,9.7
349,"Wilda, Poznań",980,8.1,8.4
350,Trzcianka,2233,8.4,10.0
351,"Wilda, Poznań",980,9.5,8.7
352,Konin,1217,9.4,9.2
353,Ostrzeszów,1176,8.0,9.4
354,Wolsztyn,1673,7.7,10.0
355,Kobyla Góra,1743,8.0,9.2
356,Wolsztyn,1176,8.6,9.3
357,Okonek,347,8.5,9.0
358,Złotów,1995,9.7,8.9
359,"Jeżyce, Poznań",1275,8.1,9.0
360,Piła,1323,9.4,8.7
361,Kalisz,1260,9.0,8.3
362,Piła,1393,8.6,9.0
363,"Jeżyce, Poznań",1596,8.4,8.7
364,Wargowo,1470,8.4,8.3
365,Leszno,1953,7.4,8.3
366,Września,840,9.1,9.8
367,Konin,1670,8.9,9.6
368,Chrzypsko Wielkie,3642,9.4,8.0
369,"Stare Miasto, Poznań",1810,7.4,9.8
370,Turek,1505,9.2,8.1
371,"Stare Miasto, Poznań",1397,8.7,8.6
372,"Stare Miasto, Poznań",1644,9.0,8.6
373,Kalisz,840,9.1,9.0
374,"Stare Miasto, Poznań",1729,9.3,9.8
375,Gniezno,1508,9.4,8.9
376,"Stare Miasto, Poznań",1602,7.7,9.4
377,"Grunwald, Poznań",2769,9.5,8.8
378,Leszno,1317,8.8,9.0
379,Chrzypsko Wielkie,3642,10.0,8.7
380,"Nowe Miasto, Poznań",1413,8.3,9.6
381,Międzychód,2590,8.8,9.4
382,Pakosław,1001,9.5,9.1
383,Kalisz,1260,9.0,8.8
384,Stare Miasto,1386,8.6,8.7
385,Stare Miasto,1120,9.0,8.6
386,Baranowo,1219,9.1,9.9
387,Plewiska,1470,9.5,8.8
388,Kujan,1610,6.9,8.5
389,Wronki,1400,6.0,8.2
390,Brenno,3150,9.1,10.0
