,City,Cost,Rating,Comfort
0,Kołobrzeg,3448,8.9,9.3
1,Międzyzdroje,2204,6.5,8.0
2,Mielno,2366,8.7,8.7
3,Bobolin,2125,7.6,8.6
4,Międzyzdroje,1864,8.6,8.7
5,Kołobrzeg,1638,8.7,8.1
6,Szczecin,973,7.3,9.4
7,Międzywodzie,2644,7.6,8.9
8,Darłowo,1135,9.0,9.2
9,Dźwirzyno,1946,8.0,9.4
10,Chłopy,1721,7.9,9.6
11,Mielno,1038,8.5,8.4
12,Mielno,2100,9.6,9.0
13,Kołobrzeg,1438,7.5,8.8
14,Jarosławiec,8809,8.7,9.5
15,"Dzielnica Uzdrowiskowa, Kołobrzeg",7316,9.0,8.7
16,"Śródmieście, Kołobrzeg",4012,9.2,8.6
17,Stargard,2313,9.2,8.7
18,Trzęsacz,3047,8.1,9.9
19,"Dzielnica Uzdrowiskowa, Kołobrzeg",5061,8.3,9.2
20,Świnoujście,4048,8.4,8.7
21,"Śródmieście, Szczecin",2627,8.3,9.6
22,Pogorzelica,5411,8.1,8.4
23,Darłówko,1732,9.6,8.2
24,"Dzielnica Uzdrowiskowa, Kołobrzeg",3927,8.4,8.4
25,Jarosławiec,4818,8.6,8.2
26,"Dzielnica Uzdrowiskowa, Kołobrzeg",3927,8.4,8.5
27,Kopań,5474,9.7,9.3
28,"Śródmieście, Szczecin",1356,7.0,8.2
29,"Dzielnica Uzdrowiskowa, Kołobrzeg",4521,8.8,8.2
30,Rewal,2727,8.8,8.5
31,Niechorze,5721,9.6,8.2
32,Międzyzdroje,1848,8.4,9.3
33,"Dzielnica Uzdrowiskowa, Kołobrzeg",3888,8.2,9.2
34,Świnoujście,3819,8.2,8.3
35,Świnoujście,3705,8.1,8.8
36,Kołobrzeg,3679,8.2,8.2
37,Gąski,2110,9.3,9.7
38,Ustronie Morskie,4494,7.4,8.2
39,"Śródmieście, Kołobrzeg",2685,8.2,8.5
40,"Śródmieście, Szczecin",1809,8.2,8.2
41,Świnoujście,2587,8.4,9.2
42,Darłowo,1905,8.2,8.3
43,Rewal,1068,7.7,8.6
44,Myślibórz,1050,7.0,8.6
45,Międzywodzie,3111,7.3,8.5
46,Drawsko Pomorskie,1481,9.3,9.7
47,"Śródmieście, Szczecin",1852,9.0,8.8
48,Grzybowo,5752,8.2,9.4
49,Niechorze,3805,9.0,8.0
50,"Śródmieście, Szczecin",1786,8.2,8.9
51,Borne Sulinowo,3864,9.7,8.0
52,Świnoujście,3608,8.4,9.5
53,Świnoujście,2587,8.4,8.9
54,Darłowo,1905,8.2,9.7
55,Myślibórz,1050,7.0,9.0
56,Międzywodzie,2949,7.3,9.5
57,"Śródmieście, Szczecin",1852,9.0,8.9
58,Grzybowo,5752,8.2,8.8
59,Sianożęty,1946,8.9,9.5
60,Pobierowo,1954,8.5,8.3
61,Zieleniewo,980,8.3,9.0
62,Jezierzany,8129,9.6,9.3
63,Niechorze,2389,9.0,8.5
64,"Śródmieście, Szczecin",2437,9.0,8.8
65,Rewal,2093,8.0,9.0
66,Sarbinowo,7074,8.9,9.3
67,Mielenko,1341,7.9,9.4
68,Bobolin,1419,8.5,9.8
69,Niechorze,6032,8.1,9.5
70,"Śródmieście, Szczecin",2320,9.1,8.5
71,Połczyn-Zdrój,1522,8.8,8.4
72,Darłówko,3321,9.6,8.1
73,Grzybowo,4502,9.0,9.3
74,Morzyczyn,6135,9.2,9.4
75,Niechorze,5726,8.7,8.2
76,"Śródmieście, Szczecin",1693,8.6,9.3
77,Łazy,3405,8.1,9.4
78,"Dzielnica Uzdrowiskowa, Kołobrzeg",9944,9.4,9.8
79,Mielno,2873,8.4,9.5
80,Łazy,3150,8.9,8.5
81,"Dzielnica Uzdrowiskowa, Kołobrzeg",3581,7.7,8.1
82,Grzybowo,5279,9.0,9.3
83,"Śródmieście, Szczecin",2321,8.4,9.2
84,"Dzielnica Uzdrowiskowa, Kołobrzeg",6147,8.4,8.2
85,"Prawobrzeże, Szczecin",1164,7.1,8.4
86,Kołobrzeg,2388,8.9,8.4
87,Kołobrzeg,3141,9.1,8.8
88,Czechyń,2782,9.4,8.6
89,Mielenko,2853,9.2,10.0
90,Krąg,1330,7.5,8.6
91,Stargard,1190,9.4,9.1
92,Grzybowo,4900,8.3,9.1
