,City,Cost,Rating,Comfort
0,Katowice,2517,9.7,9.8
1,Porąbka,790,8.7,8.4
2,Dąbrowa Górnicza,515,7.5,9.0
3,Wisła,1134,8.8,8.0
4,Katowice,630,6.6,9.1
5,Katowice,1413,8.0,8.1
6,Pyrzowice,3780,8.7,8.4
7,Kroczyce,1159,8.3,8.9
8,Istebna,2380,8.4,8.5
9,Tapkowice,1064,8.8,8.4
10,Ustroń,1785,8.7,9.1
11,Milówka,1260,8.2,8.9
12,Piasek,1449,8.9,8.3
13,Dąbrowa Górnicza,1674,8.7,8.4
14,Istebna,2420,8.4,9.5
15,Jaworzno,1540,8.3,9.5
16,Piekary Śląskie,3199,9.2,9.0
17,Żarki,840,7.7,9.4
18,Bielsko-Biała,442,8.0,8.6
19,Sosnowiec,848,7.8,9.4
20,Żabnica,1761,9.6,9.0
21,Bytom,1890,8.8,8.7
22,Będzin,884,7.8,8.5
23,Chorzów,1442,9.4,8.5
24,Będzin,1436,8.5,8.7
25,Ustroń,2524,8.0,8.6
26,Chorzów,1442,9.4,8.5
27,Brenna,3062,8.9,9.1
28,Woźniki,1918,8.6,8.0
29,Kroczyce,2005,8.5,8.7
30,Będzin,1260,7.8,8.8
31,Katowice,1615,8.4,8.7
32,Szczyrk,2600,8.6,9.7
33,Rybnik,1575,8.6,9.5
34,Cieszyn,666,8.8,9.2
35,Szczyrk,3339,9.1,8.4
36,Wisła,1204,8.1,8.9
37,Istebna,1953,9.0,8.7
38,Chorzów,1526,8.6,8.2
39,Gliwice,1460,8.5,9.2
40,Glinka,2619,9.7,9.2
41,Katowice,2202,9.2,8.2
42,Tychy,1813,7.6,8.2
43,Racibórz,1546,8.8,8.9
44,Katowice,1430,8.3,8.8
45,Ustroń,1428,8.0,8.8
46,Gliwice,2140,8.7,9.8
47,Racibórz,1617,8.7,9.1
48,Ustroń,3360,8.4,9.0
49,Częstochowa,2320,9.2,8.7
50,Częstochowa,2320,9.2,8.4
51,Mszana,1540,8.1,9.1
52,Ustroń,3360,8.4,9.6
53,Czeladź,1877,8.8,9.3
54,Gliwice,2295,8.5,8.6
55,Racibórz,1533,7.6,8.7
56,Bytom,2100,8.8,8.6
57,Wisła,3454,9.4,9.8
58,Zwardoń,280,8.3,8.2
59,Racibórz,1323,9.1,8.6
60,Koniaków,4190,9.3,8.1
61,Wisła,2742,8.8,8.4
62,Dzibice,1377,8.7,9.1
63,Ustroń,3597,8.7,9.1
64,Zabrze,2184,9.4,8.3
65,Szczyrk,1910,9.1,9.2
66,Tychy,2262,8.6,8.7
67,Szczyrk,2800,8.6,8.3
68,Czeladź,5635,8.6,9.1
69,Żory,2443,9.8,9.0
70,Gliwice,1400,8.1,9.7
71,Tarnowskie Góry,1820,8.5,8.4
72,Wisła Mała,980,8.3,8.4
73,Ustroń,1081,8.5,8.5
74,Chorzów,1359,9.0,8.1
75,Chorzów,1359,9.0,8.8
76,Pyrzowice,3010,8.2,10.0
77,Ujsoły,3059,9.3,9.7
78,Katowice,1188,8.4,8.9
79,Bielsko-Biała,1680,8.4,9.3
80,Roszków,1671,8.9,9.2
81,Chorzów,1773,8.7,8.7
82,Pietrzykowice,2065,9.5,8.0
83,Ustroń,1081,8.5,8.7
84,Gliwice,1922,8.3,8.8
85,Zebrzydowice,1050,8.3,9.4
86,Szczyrk,2155,8.0,9.0
87,Racibórz,1501,8.6,8.1
88,Szczyrk,2378,9.9,9.0
89,Pszczyna,2065,9.6,9.4
90,Pierzchno,560,8.8,8.0
91,Wisła,5265,8.8,9.5
92,Cieszyn,1211,9.2,9.1
93,Zwardoń,280,8.3,9.0
94,Bielsko-Biała,2016,8.4,10.0
95,Katowice,1683,7.9,8.6
96,Katowice,1232,8.6,9.2
