,City,Cost,Rating,Comfort
0,Niewierz,2461,8.5,8.5
1,Golub-Dobrzyń,3920,8.9,8.9
2,Inowrocław,4606,9.2,9.3
3,Ciechocinek,3646,8.2,8.4
4,Inowrocław,2940,9.0,8.8
5,Ciechocinek,4746,9.2,9.2
6,Ciechocinek,4160,8.0,8.3
7,Ciechocinek,4495,9.1,9.4
8,Inowrocław,4283,8.4,8.6
9,Bydgoszcz,2624,8.5,8.7
10,"Stare Miasto, Toruń",3040,8.0,8.9
11,Ciechocinek,3720,8.9,8.7
12,"Stare Miasto, Toruń",4840,8.7,8.8
13,Toruń,4700,8.7,9.0
14,Żnin,12510,9.0,9.5
15,Bydgoszcz,4598,9.2,8.6
16,Bydgoszcz,1883,7.2,8.6
17,Tryszczyn,2170,7.6,9.4
18,"Stare Miasto, Toruń",3850,8.6,9.2
19,Włocławek,3640,8.6,8.9
20,Wielki Głęboczek,14400,9.2,8.2
21,Wądzyn,3289,9.5,9.0
22,Wąbrzeźno,4046,8.6,9.3
23,Inowrocław,5026,8.2,8.6
24,Toruń,8120,8.8,8.4
25,Chełmno,2981,8.2,8.7
26,Ciechocinek,5976,9.0,9.1
27,Ciechocinek,4000,8.7,9.3
28,Bydgoszcz,3608,8.5,9.0
29,Samociążek,2520,8.8,9.4
30,Nakło nad Notecią,6720,8.8,9.3
31,Warlubie,8470,9.1,8.6
32,Turzno,10355,8.7,9.3
33,Gniewkowo,4660,9.1,8.0
34,Brodnica,2868,9.3,9.1
35,"Stare Miasto, Toruń",3274,8.1,8.8
36,"Stare Miasto, Toruń",4200,8.8,9.3
37,Sępólno Krajeńskie,2520,8.8,8.7
38,Szubin,2870,8.2,8.6
39,Grudziądz,3220,7.6,9.6
40,Bydgoszcz,4550,8.8,8.4
41,Kruszyn,3360,7.9,9.2
42,"Stare Miasto, Toruń",4692,8.8,8.8
43,Grudziądz,3820,9.2,9.1
44,Brzoza,2240,8.6,8.4
45,Bydgoszcz,3486,8.4,9.1
46,Bydgoszcz,2394,9.3,9.6
47,Bydgoszcz,2926,8.4,9.6
48,Bydgoszcz,4226,8.9,8.8
49,Bydgoszcz,2730,7.4,8.9
50,Cierpice,3360,8.9,8.4
51,"Stare Miasto, Toruń",4180,9.1,9.1
52,Grudziądz,4480,8.5,9.6
53,Toruń,2968,9.1,9.7
54,Bydgoszcz,2394,9.3,9.2
55,"Stare Miasto, Toruń",5916,9.4,9.4
56,"Stare Miasto, Toruń",3920,8.7,8.7
57,Bydgoszcz,4554,8.7,8.7
58,Łabiszyn,3920,8.2,8.4
59,Kamieńczyk Dezerta,3824,9.4,9.1
60,Ciechocinek,3044,9.8,9.0
61,"Stare Miasto, Toruń",3978,7.9,8.9
62,Świedziebnia,3365,9.9,9.9
63,Wielki Głęboczek,13600,9.2,9.4
64,"Stare Miasto, Toruń",3774,9.4,9.7
65,Grudziądz,6580,8.7,8.0
66,"Stare Miasto, Toruń",3630,8.9,9.8
67,Włocławek,4760,8.1,8.3
68,Chełmża,2520,9.1,8.7
69,Radziejów,1820,7.7,8.2
70,"Stare Miasto, Toruń",6020,8.9,8.8
71,"Stare Miasto, Toruń",3013,7.9,8.2
72,"Stare Miasto, Toruń",5865,8.6,8.8
73,Skępe,2310,7.1,8.2
74,Inowrocław,2520,9.8,9.1
75,Bydgoszcz,7541,9.3,8.8
76,Bydgoszcz,3646,9.6,8.7
77,Toruń,3416,8.0,9.4
78,Chełmno,3906,9.6,8.7
79,Ciechocinek,4040,8.3,8.1
80,Bydgoszcz,3640,8.7,9.2
81,Toruń,2206,7.9,8.7
82,Bydgoszcz,3676,8.1,8.1
83,Okoniny Polskie,1694,9.2,9.3
84,Bydgoszcz,2618,8.1,8.8
85,"Stare Miasto, Toruń",7200,8.3,9.3
86,Inowrocław,3123,8.3,9.4
87,Biskupin,2184,6.7,9.0
88,Włocławek,2380,9.1,9.8
89,Toruń,2599,8.9,8.1
90,"Stare Miasto, Toruń",5009,8.8,9.5
91,Inowrocław,2808,9.2,8.6
92,Bydgoszcz,6720,8.5,9.2
93,Raciąż,1680,8.7,9.5
94,Bydgoszcz,1764,8.0,8.7
95,Mały Dólsk,3570,9.2,8.9
96,Aleksandrów Kujawski,3360,8.8,9.3
97,Grudziądz,1890,8.2,9.3
98,Solec Kujawski,3024,9.2,8.4
99,Ciechocinek,4654,8.8,8.0
100,Bydgoszcz,2330,9.2,9.8
101,Ciechocinek,4654,8.8,9.3
102,Niemcz,2450,6.7,8.3
103,Biskupin,2184,9.0,8.7
104,Włocławek,4606,9.7,9.0
105,"Stare Miasto, Toruń",5026,8.2,8.7
106,Solec Kujawski,3024,9.5,9.2
107,Wycinki,5810,8.3,9.1
108,Solec Kujawski,2800,9.0,8.4
109,Bydgoszcz,2040,9.5,8.8
110,Ciechocinek,2723,8.8,9.3
111,"Stare Miasto, Toruń",3122,9.1,8.7
112,"Stare Miasto, Toruń",4960,9.2,9.2
113,Golub-Dobrzyń,4532,9.5,9.0
114,Mgowo,2906,8.4,8.7
115,Bydgoszcz,3920,8.1,8.7
116,Włocławek,4186,9.6,9.6
117,Bukowiec,3518,9.2,9.7
118,Bydgoszcz,2506,8.0,8.9
119,Tuchola,3500,8.8,9.2
120,Ciechocinek,2882,8.7,8.9
121,Rypin,3220,8.7,9.3
122,Małe Leżno,2294,8.7,9.4
123,Brodnica,5606,9.3,8.3
124,Żnin,3220,9.3,9.9
125,Wielgie,2372,8.3,9.4
126,"Stare Miasto, Toruń",3348,9.1,9.1
127,"Stare Miasto, Toruń",3960,7.0,9.1
128,Włocławek,2268,8.8,9.6
129,Sępólno Krajeńskie,2520,8.7,9.1
130,Brodnica,5606,9.1,9.4
131,Tleń,4620,9.1,9.7
132,Inowrocław,2036,8.8,8.1
133,"Stare Miasto, Toruń",3541,7.9,9.2
134,Grudziądz,1817,8.4,8.3
135,"Stare Miasto, Toruń",7606,9.6,9.3
136,"Stare Miasto, Toruń",3506,9.7,8.4
137,Toruń,3171,8.9,9.5
138,"Stare Miasto, Toruń",2260,9.1,9.8
139,Brodnica,3360,9.5,9.3
140,Lipinki,3057,9.3,9.5
141,"Stare Miasto, Toruń",2443,9.4,8.3
142,"Stare Miasto, Toruń",5587,8.4,8.0
143,Skępe,2730,9.7,9.3
144,Koronowo,1986,9.4,8.2
145,"Stare Miasto, Toruń",7142,6.9,9.3
146,Lubień Kujawski,1540,9.1,8.3
147,Minikowo,3360,9.2,8.7
148,"Stare Miasto, Toruń",2287,9.5,8.5
149,"Stare Miasto, Toruń",3182,9.2,9.0
150,"Stare Miasto, Toruń",2228,9.4,9.3
151,Toruń,3210,9.7,9.6
152,"Stare Miasto, Toruń",4050,8.6,8.7
153,Mstowo,2694,9.0,9.3
154,Śliwice,4235,8.4,8.0
155,Skępe,2730,9.4,8.6
156,Inowrocław,1777,8.3,8.8
157,Bydgoszcz,3520,9.6,9.7
158,"Stare Miasto, Toruń",2779,9.9,8.3
159,"Stare Miasto, Toruń",2751,7.9,9.0
160,Bydgoszcz,2136,9.2,9.1
161,"Stare Miasto, Toruń",4374,9.5,10.0
162,"Stare Miasto, Toruń",2876,8.0,9.2
163,"Stare Miasto, Toruń",2162,8.3,9.7
164,Golub-Dobrzyń,3214,9.3,9.1
165,Inowrocław,3920,8.2,8.8
166,Inowrocław,2236,9.2,8.1
167,Toruń,3090,8.4,9.7
168,Bydgoszcz,4550,8.8,9.5
169,Wierzchy,2398,8.5,8.8
170,Toruń,4662,8.8,8.8
171,Toruń,2896,9.2,8.7
172,Bydgoszcz,2037,9.4,9.7
173,Chełmno,1890,8.6,9.8
174,Wielki Głęboczek,4620,9.6,8.9
175,"Stare Miasto, Toruń",2520,7.9,9.0
176,Bydgoszcz,2050,8.7,8.8
177,"Stare Miasto, Toruń",2220,8.7,9.7
178,Brzozie,3640,9.7,9.0
179,"Stare Miasto, Toruń",3500,8.3,8.1
180,Bydgoszcz,1540,9.1,8.8
181,Toruń,3783,9.3,9.2
182,Toruń,3696,8.5,10.0
183,Brodnica,2463,9.0,8.6
184,Toruń,2918,9.6,8.0
185,"Stare Miasto, Toruń",2506,8.9,9.2
186,"Stare Miasto, Toruń",3416,8.7,9.2
187,Grabowiec,2808,8.0,9.7
188,Nowe,2086,9.5,9.8
189,Gąsawa,2499,9.3,9.5
190,"Stare Miasto, Toruń",2192,8.9,8.5
191,Chełmno,2800,8.7,8.0
192,Inowrocław,2695,8.8,9.9
193,Bydgoszcz,2905,9.5,9.9
194,Zbrachlin,3402,8.0,8.3
195,"Stare Miasto, Toruń",2964,9.6,8.0
196,Brodnica,1999,8.8,9.0
197,Bydgoszcz,1540,9.4,8.7
198,Obory,2906,8.9,8.1
199,Ciechocinek,3220,9.8,8.3
200,Toruń,4525,9.4,9.6
201,Obory,2906,8.3,9.2
202,"Stare Miasto, Toruń",2380,8.1,9.6
203,Bydgoszcz,3010,8.9,9.6
204,Chełmno,2800,7.8,8.3
205,Toruń,2786,9.2,8.3
206,"Stare Miasto, Toruń",2248,9.9,9.4
