,City,Cost,Rating,Comfort
0,Lublin,2564,8.7,8.8
1,Lublin,5592,9.0,9.3
2,Lublin,5000,8.5,8.3
3,"Stare Miasto, Lublin",3628,9.6,9.7
4,Lublin,3630,8.1,8.3
5,Chełm,2030,8.3,8.2
6,"Stare Miasto, Lublin",4631,8.6,8.6
7,Kraśnik,3080,8.6,8.6
8,Chełm,2240,8.3,8.2
9,Chełm,2940,7.9,9.0
10,Biłgoraj,3640,9.0,9.2
11,Zwierzyniec,1995,7.8,8.6
12,Tomaszów Lubelski,3780,9.2,8.8
13,Okuninka,5005,8.4,8.9
14,Horbów,2730,8.8,8.8
15,Hrubieszów,2100,8.9,9.2
16,Hrubieszów,3920,8.7,9.4
17,Biłgoraj,1648,9.2,9.1
18,Lublin,3056,9.1,9.4
19,Janów Podlaski,8700,8.9,8.2
20,Leśna Podlaska,5040,9.2,9.6
21,Tomaszów Lubelski,4978,8.4,9.6
22,Jedlanka Stara,2667,9.6,8.1
23,Krasnobród,3311,9.4,8.7
24,Susiec,7048,7.8,8.2
25,Hrubieszów,3430,8.7,9.3
26,Kock,2800,8.3,9.5
27,Biała Podlaska,2306,9.2,10.0
28,Tomaszów Lubelski,4746,9.6,9.6
29,Lublin,5300,9.8,10.0
30,Nielisz,3150,9.6,8.1
31,Krasnobród,3311,9.7,9.0
32,Biłgoraj,1369,8.2,8.5
33,Biłgoraj,3570,9.1,8.2
34,Puławy,3290,8.6,9.4
35,Zamość,4452,8.2,8.6
36,Krasnystaw,3080,8.5,8.3
37,Puławy,2100,8.6,9.1
38,Międzyrzec Podlaski,3920,8.4,9.6
39,Parczew,3290,9.0,8.6
40,Łęczna,1456,9.5,8.9
41,Firlej,2716,9.0,8.0
42,Firlej,2436,8.6,9.6
43,Biała Podlaska,3360,8.7,8.9
44,Radzyń Podlaski,2226,8.0,8.0
45,Biłgoraj,2450,9.5,9.5
46,Zamość,4830,7.7,8.0
47,Krężnica Jara,1606,8.9,9.8
48,Biała Podlaska,4060,8.0,8.0
49,Świdnik,2800,7.7,8.4
50,Krężnica Jara,1606,9.4,8.4
51,Lublin,2420,8.1,9.8
52,Nielisz,2023,8.0,8.3
53,Lachówka Duża,2218,9.6,8.4
54,Biłgoraj,2250,8.0,8.9
55,Krasnystaw,1374,8.7,9.0
56,Świdnik,2800,8.6,8.6
