,City,Cost,Rating,Comfort
0,Szaflary,4463,9.3,9.2
1,Poronin,1386,9.1,8.8
2,Kościelisko,2218,9.3,9.3
3,"Stare Miasto, Kraków",2920,9.2,9.4
4,Zakopane,2296,8.6,8.5
5,Zakopane,4372,8.8,8.8
6,Wieliczka,2660,7.4,9.7
7,Kościelisko,3031,9.6,8.9
8,Zakopane,3136,8.7,8.1
9,Ojców,2075,8.4,9.6
10,Balice,5385,9.3,9.1
11,Ząb,3461,9.3,9.5
12,Kościelisko,3927,9.5,9.1
13,Spytkowice,6580,8.8,9.4
14,Klimkówka,4620,9.4,9.3
15,Tylicz,3542,9.2,9.3
16,Przyszowa,4392,9.3,9.7
17,Konina,3793,9.6,8.7
18,Nowy Targ,2800,8.7,9.5
19,Poronin,3118,9.5,9.9
20,Szaflary,3500,9.9,8.8
21,Nowy Targ,2430,8.7,8.8
22,Tarnów,5082,8.7,9.7
23,Szaflary,4342,9.6,8.9
24,Wieliczka,3220,8.9,9.4
25,Szczawnica,5783,9.3,9.6
26,Krynica-Zdrój,9522,9.1,9.3
27,Wola Kalinowska,5382,9.6,9.4
28,Szczawnica,7609,9.4,8.4
29,Zgłobice,2643,8.5,8.9
30,Zabierzów,7000,8.9,9.2
31,Krynica-Zdrój,10611,9.0,9.6
32,Tarnów,2940,9.5,9.6
33,Krynica-Zdrój,3919,9.4,9.6
34,"Stare Miasto, Kraków",6392,9.3,8.3
35,Nowy Targ,2142,8.4,8.9
36,Bańska,3015,9.1,9.2
37,Kościelisko,7190,9.1,9.3
38,Białka Tatrzańska,7966,9.2,8.5
39,Szczawnica,6247,8.5,8.9
40,Tarnów,6111,8.6,8.1
41,Lanckorona,5006,8.1,9.1
42,Muszyna,4311,9.0,8.0
43,Pieskowa Skała,1868,8.5,9.6
44,Białka Tatrzańska,4900,9.5,9.4
45,Gródek nad Dunajcem,14200,9.2,8.0
46,Biały Dunajec,1616,7.8,9.3
47,"Krupówki, Zakopane",9422,9.1,8.9
48,Nowy Targ,2512,8.8,9.3
49,Białka Tatrzańska,6187,9.1,9.3
50,Szczawnica,6333,9.1,9.6
51,Zagórnik,6089,9.7,8.1
52,Tarnów,4123,8.0,9.3
53,Białka Tatrzańska,6187,9.1,8.8
54,Szczawnica,3066,9.0,9.3
55,"Stare Miasto, Kraków",8461,9.0,8.8
56,Gdów,2821,9.1,9.1
57,Bukowina Tatrzańska,2355,9.1,9.6
58,Białka Tatrzańska,4900,9.5,9.0
59,Krynica-Zdrój,4835,8.3,9.6
60,"Stare Miasto, Kraków",8044,8.7,9.1
61,"Krupówki, Zakopane",7476,9.4,9.5
62,Zakopane,9196,8.8,9.0
63,"Grzegórzki, Kraków",4817,9.1,9.4
64,Zawoja,5645,9.0,9.3
65,"Stare Miasto, Kraków",7227,9.0,9.6
66,"Podgórze, Kraków",7360,9.1,8.8
67,Gdów,2634,9.6,8.5
68,Szczawnica,4542,8.6,9.5
69,Zakopane,4079,8.5,9.6
70,"Krowodrza, Kraków",4333,9.2,9.7
71,Białka Tatrzańska,5740,9.5,8.2
72,Zakopane,4740,9.6,9.3
73,"Stare Miasto, Kraków",5034,8.1,9.1
74,Zator,4190,9.2,9.3
75,Bukowina Tatrzańska,2355,9.1,9.6
76,Zator,4190,9.2,9.0
77,Białka Tatrzańska,6370,9.5,8.6
78,Zawoja,1980,9.2,8.7
79,Wola Kalinowska,2306,8.7,8.9
80,Mszana Dolna,4508,8.8,9.3
81,Sromowce Wyżne,2608,9.0,8.7
82,Kluszkowce,2640,9.5,8.9
83,Białka Tatrzańska,5320,9.0,9.1
