,City,Cost,Rating,Comfort
0,"Stare Miasto, Poznań",1546,8.3,8.1
1,Piła,3340,8.2,8.1
2,Swarzędz,4166,9.1,9.5
3,Piła,4704,8.7,9.0
4,Nowy Tomyśl,4060,9.1,9.2
5,Tarnowo Podgórne,4620,8.5,8.5
6,Gniezno,3430,7.8,8.2
7,Kalisz,3920,8.9,9.0
8,Leszno,4192,8.6,8.9
9,Zduny,3606,8.9,9.0
10,Puszczykowo,7128,8.9,9.1
11,"Stare Miasto, Poznań",2320,7.9,8.5
12,Września,3360,8.5,8.8
13,Swarzędz,3976,8.8,8.9
14,Swarzędz,4620,8.9,8.8
15,Gniezno,3080,8.7,8.9
16,Leszno,4900,8.8,9.0
17,Nowy Tomyśl,3933,8.7,8.8
18,Swarzędz,3150,8.7,9.1
19,Gostyń,2834,9.0,8.6
20,"Stare Miasto, Poznań",3246,8.6,8.9
21,Kamińsko,1155,9.0,8.1
22,Pleszew,4060,8.4,8.7
23,Jarocin,2478,8.8,8.1
24,Ostrów Wielkopolski,2646,8.1,9.1
25,Piła,2125,9.1,8.1
26,Ostrzeszów,2660,7.9,9.3
27,Września,1601,9.3,9.6
28,Miedzichowo,4788,9.4,9.7
29,Krotoszyn,3080,9.7,8.4
30,Wągrowiec,2254,8.5,9.2
31,Września,2125,7.6,8.8
32,Ostrów Wielkopolski,2306,9.0,9.4
33,Kępno,3780,9.3,9.2
34,Wilczyn,2454,9.3,9.5
35,"Wilda, Poznań",4486,9.3,9.3
36,Brzeźno,2111,9.2,8.9
37,Września,4520,8.8,8.9
38,Czmoń,4451,8.8,8.2
39,Nekla,4126,9.0,8.0
40,Sierosław,2786,8.0,8.8
41,"Jeżyce, Poznań",2374,7.9,9.4
42,Kalisz,1815,8.8,8.8
43,Zaniemyśl,3591,9.2,8.3
44,Koło,3738,8.6,9.7
45,Śrem,4200,8.2,8.7
46,"Wilda, Poznań",4006,9.7,8.7
47,Kalisz,2029,8.3,9.3
48,Rawicz,3685,8.4,8.5
49,"Stare Miasto, Poznań",4284,9.0,9.1
50,"Stare Miasto, Poznań",5765,8.4,9.0
51,"Grunwald, Poznań",2990,8.9,8.9
52,"Stare Miasto, Poznań",3827,8.6,9.8
53,Miedzichowo,4788,8.8,8.9
54,"Stare Miasto, Poznań",6676,9.8,9.1
55,Leszno,2765,8.7,8.9
56,Piła,2502,9.3,9.2
57,"Grunwald, Poznań",3766,9.0,8.4
58,Chrzypsko Wielkie,2705,9.0,9.7
59,"Stare Miasto, Poznań",3896,7.3,9.2
60,Zaniemyśl,2100,8.5,9.3
61,"Stare Miasto, Poznań",3938,9.7,8.9
62,"Stare Miasto, Poznań",2318,9.1,8.9
63,Komorowo,3940,9.3,9.5
64,Kwiejce,3166,8.0,9.0
65,"Stare Miasto, Poznań",3846,9.0,9.3
66,Fałkowo,2251,8.6,8.7
67,Kościan,3640,9.3,8.5
68,Gniezno,1610,8.5,9.2
69,Zbąszyń,4011,9.0,8.4
70,Piła,2156,8.8,8.7
71,"Jeżyce, Poznań",9701,8.4,8.3
72,Kalisz,5294,8.8,8.9
73,Gołuchów,2730,7.5,8.7
74,"Stare Miasto, Poznań",2892,8.0,8.1
75,"Jeżyce, Poznań",4816,8.4,8.8
76,Kuźnica Zbąska,2753,8.7,8.6
77,"Grunwald, Poznań",2922,8.4,9.3
78,"Grunwald, Poznań",2821,8.8,8.4
79,Kępno,3430,8.6,9.3
80,Kalisz,3150,8.5,9.3
81,Śrem,1790,8.8,9.1
82,Szamotuły,4200,8.5,8.0
83,Debrzno,2753,9.3,9.5
84,Środa Wielkopolska,3800,8.2,9.7
85,Chodzież,2730,9.3,8.0
86,"Stare Miasto, Poznań",2414,9.0,9.4
87,Śrem,4480,8.9,9.4
88,Ostrów Wielkopolski,3766,8.1,9.1
89,"Stare Miasto, Poznań",5376,9.5,9.4
90,"Nowe Miasto, Poznań",4374,9.7,8.7
91,"Stare Miasto, Poznań",4306,8.0,9.4
