,City,Cost,Rating,Comfort
0,"Fabryczna, Wrocław",12825,7.3,8.9
1,"Fabryczna, Wrocław",2116,8.5,10.0
2,"Fabryczna, Wrocław",1975,10.0,8.8
3,"Fabryczna, Wrocław",2550,8.9,9.0
4,"Fabryczna, Wrocław",2025,9.1,9.2
5,"Fabryczna, Wrocław",2547,9.3,9.8
6,"Fabryczna, Wrocław",1808,9.6,9.4
7,"Fabryczna, Wrocław",2051,9.0,8.2
8,"Fabryczna, Wrocław",2139,8.1,8.8
9,"Fabryczna, Wrocław",1533,8.6,8.8
10,"Fabryczna, Wrocław",2276,8.6,9.8
11,"Fabryczna, Wrocław",2276,9.6,8.6
12,"Fabryczna, Wrocław",1540,8.6,8.0
13,"Fabryczna, Wrocław",2117,7.4,9.2
14,"Fabryczna, Wrocław",2117,8.7,8.1
15,"Fabryczna, Wrocław",2299,7.5,8.1
16,"Fabryczna, Wrocław",2546,8.3,8.3
17,"Fabryczna, Wrocław",2447,8.4,10.0
18,"Fabryczna, Wrocław",2519,7.8,8.6
19,"Fabryczna, Wrocław",2669,10.0,9.6
20,"Fabryczna, Wrocław",1960,9.0,9.0
21,"Fabryczna, Wrocław",2505,7.7,9.5
22,"Fabryczna, Wrocław",2111,9.8,9.0
23,"Fabryczna, Wrocław",3286,8.7,9.1
24,"Fabryczna, Wrocław",3543,9.5,9.7
25,"Fabryczna, Wrocław",1006,6.8,8.7
26,"Fabryczna, Wrocław",3188,9.2,8.6
27,"Fabryczna, Wrocław",1960,9.0,10.0
28,"Fabryczna, Wrocław",2434,9.8,9.1
29,"Fabryczna, Wrocław",1555,8.6,8.4
30,"Fabryczna, Wrocław",2029,8.5,8.8
31,"Fabryczna, Wrocław",2220,7.7,10.0
32,"Fabryczna, Wrocław",2597,9.0,9.0
33,"Fabryczna, Wrocław",1250,7.5,9.4
34,"Fabryczna, Wrocław",1760,9.2,9.0
35,Smolec,2093,8.1,8.0
36,"Fabryczna, Wrocław",2972,10.0,9.8
37,"Fabryczna, Wrocław",1343,8.0,9.2
38,"Fabryczna, Wrocław",1921,9.0,9.7
39,"Fabryczna, Wrocław",2021,9.4,8.3
40,"Fabryczna, Wrocław",1043,9.2,9.4
41,"Fabryczna, Wrocław",2324,7.9,9.2
42,"Fabryczna, Wrocław",14800,9.7,9.8
43,"Fabryczna, Wrocław",2765,9.2,9.9
44,"Fabryczna, Wrocław",1694,9.7,9.5
45,"Fabryczna, Wrocław",1402,8.5,10.0
46,"Fabryczna, Wrocław",4143,9.5,8.9
47,"Fabryczna, Wrocław",2238,9.3,9.8
48,"Fabryczna, Wrocław",3835,7.4,10.0
49,"Fabryczna, Wrocław",1950,9.8,8.8
50,"Fabryczna, Wrocław",2298,9.9,10.0
51,"Fabryczna, Wrocław",4695,9.0,8.1
52,"Fabryczna, Wrocław",1560,9.0,9.4
53,"Fabryczna, Wrocław",2208,9.4,8.6
54,"Fabryczna, Wrocław",2392,8.8,8.7
55,"Fabryczna, Wrocław",2099,6.8,9.8
56,"Fabryczna, Wrocław",2255,9.5,10.0
57,"Fabryczna, Wrocław",2339,6.3,10.0
58,"Fabryczna, Wrocław",2314,5.9,9.6
59,"Fabryczna, Wrocław",1144,10.0,10.0
60,"Fabryczna, Wrocław",2289,9.5,9.0
61,"Fabryczna, Wrocław",1144,7.0,9.2
62,"Fabryczna, Wrocław",1144,6.1,8.4
63,"Fabryczna, Wrocław",2193,10.0,9.2
64,"Fabryczna, Wrocław",1965,6.8,8.3
65,"Fabryczna, Wrocław",1412,9.2,8.5
66,"Fabryczna, Wrocław",1599,8.7,9.7
67,"Fabryczna, Wrocław",2043,8.6,8.6
68,"Fabryczna, Wrocław",2166,9.7,9.6
69,"Fabryczna, Wrocław",1943,7.5,9.5
70,"Fabryczna, Wrocław",2036,8.0,9.1
71,"Fabryczna, Wrocław",2886,9.6,9.6
72,"Fabryczna, Wrocław",2166,9.9,9.5
73,"Psie Pole, Wrocław",5429,8.9,9.4
74,"Fabryczna, Wrocław",3765,9.2,9.4
75,"Fabryczna, Wrocław",3602,8.0,9.1
76,"Psie Pole, Wrocław",5394,9.1,8.8
77,"Fabryczna, Wrocław",3191,8.0,8.2
78,"Fabryczna, Wrocław",2835,6.8,8.0
79,"Fabryczna, Wrocław",1593,6.5,9.4
80,"Fabryczna, Wrocław",28560,8.1,8.6
81,"Fabryczna, Wrocław",1953,8.2,9.2
82,"Fabryczna, Wrocław",2250,9.7,9.1
83,"Fabryczna, Wrocław",1852,8.3,9.6
84,"Fabryczna, Wrocław",1144,7.8,8.5
85,"Stare Miasto, Wrocław",1144,9.6,8.6
86,"Stare Miasto, Wrocław",2409,9.2,9.7
87,"Stare Miasto, Wrocław",2034,9.2,8.3
88,"Fabryczna, Wrocław",2631,9.9,9.4
89,"Fabryczna, Wrocław",1275,9.5,8.8
90,"Fabryczna, Wrocław",2299,8.3,10.0
91,Bielany Wrocławskie,2246,7.2,8.8
92,"Stare Miasto, Wrocław",2776,8.8,8.9
93,"Stare Miasto, Wrocław",2652,9.2,9.2
94,"Stare Miasto, Wrocław",2352,9.0,10.0
95,"Stare Miasto, Wrocław",2452,8.0,9.4
96,"Fabryczna, Wrocław",1449,8.8,9.1
97,"Fabryczna, Wrocław",1144,6.9,10.0
98,"Fabryczna, Wrocław",2586,7.0,9.0
99,"Fabryczna, Wrocław",2702,9.7,8.2
100,"Stare Miasto, Wrocław",2964,8.2,9.2
101,"Fabryczna, Wrocław",2058,10.0,8.0
102,"Fabryczna, Wrocław",2256,8.8,9.4
103,"Stare Miasto, Wrocław",2074,9.5,9.0
104,"Stare Miasto, Wrocław",1890,7.2,8.4
105,"Fabryczna, Wrocław",2432,8.5,9.0
