,City,Cost,Rating,Comfort
0,Grudziądz,3290,8.7,8.7
1,Niewierz,1101,8.5,8.5
2,Ciche,2912,8.9,8.9
3,Golub-Dobrzyń,3010,9.2,9.3
4,Inowrocław,1907,8.2,8.4
5,Ciechocinek,1735,9.1,9.4
6,Ciechocinek,2248,9.2,9.2
7,Ciechocinek,2134,9.0,9.0
8,Żnin,3762,8.9,8.9
9,Ciechocinek,2000,8.5,8.7
10,Bydgoszcz,1154,8.0,8.6
11,"Stare Miasto, Toruń",1724,8.6,8.7
12,Włocławek,1352,8.6,8.8
13,Ciechocinek,2732,8.7,8.7
14,Toruń,2240,8.8,9.4
15,"Stare Miasto, Toruń",1892,7.6,9.3
16,Tryszczyn,1015,9.2,8.6
17,Wielki Głęboczek,7388,7.2,8.9
18,Bydgoszcz,1393,9.4,8.2
19,Włocławek,1449,8.3,9.5
20,Chełmno,1475,8.6,8.2
21,"Stare Miasto, Toruń",2139,8.6,9.3
22,Wąbrzeźno,2023,8.2,9.5
23,Inowrocław,2312,9.2,9.0
24,Bydgoszcz,2240,8.2,8.7
25,Inowrocław,2312,9.1,9.0
26,Warlubie,4322,9.2,8.6
27,Bydgoszcz,2240,8.8,9.4
28,Toruń,3680,8.8,8.4
29,Samociążek,1159,8.7,9.2
30,Turzno,3556,8.7,9.0
31,Ciechocinek,1860,9.1,9.3
32,Gniewkowo,2144,8.5,8.0
33,Bydgoszcz,1741,9.3,8.6
34,Brodnica,1935,8.8,9.1
35,Nakło nad Notecią,3125,8.1,8.8
36,"Stare Miasto, Toruń",1637,9.2,8.4
37,Grudziądz,2100,7.7,9.6
38,Grudziądz,1932,8.2,8.7
39,Szubin,1435,8.8,8.6
40,"Stare Miasto, Toruń",2100,8.8,8.4
41,Bydgoszcz,2048,8.6,9.2
42,Brzoza,1417,8.5,9.1
43,Grudziądz,1995,9.4,8.8
44,Bydgoszcz,1197,8.8,9.1
45,"Stare Miasto, Toruń",2111,8.4,8.7
46,Bydgoszcz,1475,8.3,9.1
47,Łabiszyn,1960,7.8,8.5
48,Kruszyn,1546,9.5,8.6
49,"Stare Miasto, Toruń",2749,9.1,9.6
50,"Stare Miasto, Toruń",1804,8.9,9.9
51,Cierpice,1546,9.1,9.2
52,Toruń,1936,8.7,8.4
53,Grudziądz,3290,9.1,9.2
54,Chełmża,1288,8.9,8.9
55,Chełmno,1400,7.7,9.5
56,Radziejów,910,8.5,8.8
57,"Stare Miasto, Toruń",3379,9.4,8.8
58,"Stare Miasto, Toruń",2766,7.4,8.4
59,Bydgoszcz,1260,9.8,8.9
60,Inowrocław,1400,9.2,8.7
61,Wielki Głęboczek,6800,7.8,9.2
62,Kruszyn,1546,8.4,9.7
63,Bydgoszcz,1463,9.1,8.2
64,Ciechocinek,3995,8.7,8.3
65,Bydgoszcz,2030,9.5,9.2
66,Wycinki,5345,8.5,9.7
67,Grudziądz,1410,8.7,8.6
68,"Stare Miasto, Toruń",1831,7.9,8.1
69,"Stare Miasto, Toruń",1854,7.9,8.3
70,Toruń,1103,8.1,9.4
71,Włocławek,2380,8.6,8.7
72,"Stare Miasto, Toruń",2276,8.8,8.2
73,"Stare Miasto, Toruń",1636,9.1,8.1
74,Gąsawa,4833,7.9,8.2
75,"Stare Miasto, Toruń",1538,9.6,9.6
76,Chełmno,1953,8.3,9.0
77,Inowrocław,1562,8.1,9.1
78,Ciechocinek,2315,9.2,8.0
79,Aleksandrów Kujawski,1680,7.8,8.7
80,Inowrocław,1282,9.6,8.9
81,Bydgoszcz,2017,8.7,9.3
82,Bydgoszcz,1820,8.6,9.1
83,Raciąż,840,8.3,8.9
84,Ciechocinek,2020,8.0,9.1
85,Bydgoszcz,882,9.2,9.1
86,Sępólno Krajeńskie,3349,8.8,8.6
87,"Stare Miasto, Toruń",2960,8.1,8.8
88,Bydgoszcz,1191,8.2,8.3
89,Solec Kujawski,1512,8.1,9.3
90,Bydgoszcz,1375,9.5,9.4
91,Zielonka,1740,9.1,9.0
92,Włocławek,2030,9.3,9.4
93,Wielgie,1186,8.0,9.0
94,Toruń,1540,8.8,9.3
95,Grudziądz,840,8.4,9.8
96,Inowrocław,1171,6.9,8.6
97,Biskupin,1120,8.8,8.9
98,Sępólno Krajeńskie,1260,9.4,8.7
99,Kamieńczyk Dezerta,3342,8.4,8.0
100,Inowrocław,1171,9.4,8.1
