,City,Cost,Rating,Comfort
0,Lublin,2516,9.0,9.2
1,Krasnobród,3547,9.0,8.5
2,Lachówka Duża,1020,8.1,8.4
3,Kraśnik,1264,8.7,9.7
4,"Stare Miasto, Lublin",1693,9.6,8.6
5,Biała Podlaska,1712,8.5,8.1
6,Biała Podlaska,1330,8.3,8.3
7,Lublin,1745,8.0,8.6
8,Leśna Podlaska,2512,8.5,8.0
9,Horodło,1170,7.8,8.7
10,Okuninka,2908,8.5,8.9
11,Wąwolnica,1674,9.0,8.9
12,Kazimierzówka,2061,8.8,9.5
13,Lublin,1099,7.3,9.2
14,Chełm,1729,9.3,8.8
15,Lublin,2389,9.1,8.6
16,Guciów,1159,9.1,9.5
17,"Stare Miasto, Lublin",4099,8.6,8.2
18,Kraśnik,5060,9.6,8.2
19,Chełm,1015,8.3,9.3
20,Chełm,1120,8.3,9.3
21,Lublin,2366,9.1,9.3
22,Lublin,2683,9.1,8.6
23,Hrubieszów,2309,9.2,8.6
24,Kraśnik,1540,8.6,9.3
25,Kraśnik,1540,8.6,8.9
26,Uhnin,2576,9.3,9.4
27,Obrocz,1540,9.6,9.6
28,Lublin,2516,9.1,8.7
29,Kazimierz Dolny,1750,9.5,8.6
30,Chełm,1470,7.9,8.6
31,Nałęczów,2289,8.7,9.2
32,Kazimierz Dolny,2749,8.6,9.0
33,Okuninka,3472,8.4,9.2
34,Lublin,2293,9.0,9.4
35,Małaszewicze Duże,1610,9.0,9.0
36,Niemce,4025,9.4,8.8
37,Lublin,2268,9.0,9.4
38,Lublin,3710,8.7,8.8
39,Hrubieszów,1960,8.7,9.2
40,Janów Podlaski,4350,9.1,8.4
41,Lublin,1683,7.9,8.2
42,Horbów,1365,8.8,8.5
43,Tomaszów Lubelski,1890,9.2,9.5
44,Wojcieszków,1159,8.5,9.7
45,Zamość,2450,8.4,8.5
46,Hrubieszów,1260,7.4,8.7
47,Zamość,3940,8.3,9.7
48,Nałęczów,1988,9.3,9.3
49,Zamość,1546,9.7,9.2
50,Zamość,3940,8.3,9.5
51,Kazimierz Dolny,1449,8.9,8.6
52,Zamość,1546,9.7,9.2
53,Kazimierz Dolny,3250,9.3,9.4
54,Włodawa,1481,9.1,8.9
55,Nałęczów,1988,9.3,9.2
56,Lublin,1019,8.6,9.1
57,Zwierzyniec,998,7.8,8.6
58,Hrubieszów,1995,9.0,9.6
59,Tomaszów Lubelski,2122,9.2,9.1
60,Zwierzyniec,1649,8.7,8.4
61,Lublin,1528,9.2,9.4
62,Kazimierz Dolny,2142,9.4,8.9
63,Zamość,1364,8.8,8.2
