,City,Cost,Rating,Comfort
0,Piwniczna,1470,9.0,9.1
1,Szaflary,2054,9.3,9.2
2,Krynica-Zdrój,1327,8.2,9.1
3,Zakopane,917,8.9,8.8
4,Poronin,642,9.1,8.6
5,Krynica-Zdrój,2512,8.6,9.4
6,Zakopane,868,7.9,9.3
7,"Stare Miasto, Kraków",1829,9.2,8.8
8,"Stare Miasto, Kraków",2677,7.4,9.5
9,Wieliczka,1330,7.4,9.2
10,Zakopane,1288,9.4,9.3
11,Poronin,1120,8.4,9.4
12,Kościelisko,3021,9.5,9.7
13,Tylicz,1594,9.1,9.5
14,Klimkówka,4620,9.4,9.3
15,Przyszowa,2196,9.3,9.7
16,Konina,1935,9.6,9.6
17,Poronin,2212,9.5,9.6
18,Zakopane,3023,9.2,8.9
19,Szaflary,2087,9.6,8.5
20,Balice,2607,9.3,9.6
21,Krynica-Zdrój,2581,9.4,9.6
22,Zabierzów,5859,8.9,8.9
23,Szczawnica,3124,8.5,9.0
24,"Stare Miasto, Kraków",3409,9.3,9.3
25,"Stare Miasto, Kraków",3409,9.3,9.3
26,Bańska,1245,9.1,9.4
27,"Stare Miasto, Kraków",3286,8.7,9.3
28,"Krupówki, Zakopane",3736,9.1,8.2
29,"Stare Miasto, Kraków",4041,9.0,9.3
30,Gródek nad Dunajcem,6213,9.2,8.9
31,Białka Tatrzańska,2940,9.1,9.4
32,"Stare Miasto, Kraków",2385,8.1,8.6
33,"Podgórze, Kraków",3288,9.1,9.0
34,Sąspów,4383,9.1,9.3
35,"Stare Miasto, Kraków",3322,9.0,8.9
36,Kościelisko,2462,8.7,9.5
37,Zawoja,1560,9.2,8.8
38,Zakopane,2957,9.3,8.9
39,Kluszkowce,5441,9.0,8.8
40,"Podgórze, Kraków",2521,9.2,8.9
41,"Dębniki, Kraków",4783,8.7,9.8
42,Zakopane,3277,8.7,8.6
43,"Grzegórzki, Kraków",2387,8.7,8.9
44,Brzesko,1540,9.1,9.4
45,Jurgów,3451,9.7,9.6
46,Bukowina Tatrzańska,1855,8.9,8.8
47,Kalwaria Zebrzydowska,980,9.2,9.2
48,Zakopane,1358,9.4,8.9
49,Bukowina Tatrzańska,1294,9.5,9.6
50,Kościelisko,3787,8.8,9.0
51,Mszana Dolna,2016,9.3,9.6
52,Szczawnica,994,9.2,8.8
53,Czorsztyn,1750,9.5,9.6
54,"Stare Miasto, Kraków",5299,8.9,9.2
55,Tarnów,1120,9.5,9.1
56,Limanowa,2226,8.7,8.8
57,Chrzanów,1711,9.3,9.3
58,Olkusz,1399,9.7,9.2
59,Wysowa-Zdrój,1190,8.9,8.6
60,Modlniczka,3043,8.8,8.9
61,Rzezawa,1750,9.2,8.6
62,"Podgórze, Kraków",5943,9.1,9.1
63,Zakopane,3547,9.0,9.7
64,Niedzica-Zamek,840,8.8,9.1
65,"Stare Miasto, Kraków",3261,8.9,9.6
66,Chochołów,1488,9.1,9.6
67,Zakopane,2735,9.7,10.0
68,Wysowa-Zdrój,1353,9.2,8.7
69,Niedzica-Zamek,2100,9.5,9.0
70,Zakopane,3257,9.4,8.7
71,Kościelisko,14141,9.5,8.7
72,Zachełmna,3416,8.7,9.4
73,Nowy Targ,1400,9.0,9.9
74,Stary Sącz,1183,8.7,9.2
75,Nowy Targ,1400,8.9,8.6
76,Kluszkowce,1896,9.3,9.2
77,Poręba Wielka,1607,9.9,9.7
78,Szaflary,1750,9.4,9.5
79,Spytkowice,2100,8.6,9.3
80,"Krowodrza, Kraków",1488,9.7,8.3
81,"Stare Miasto, Kraków",2874,9.7,8.5
82,Wysowa-Zdrój,1190,9.5,8.7
83,Wysowa-Zdrój,1353,7.9,9.1
84,Poronin,2791,9.0,8.8
