,City,Cost,Rating,Comfort
0,Przemyśl,1807,7.0,9.4
1,Mrzygłód,840,9.5,9.1
2,Iwonicz-Zdrój,998,9.2,8.8
3,Rajskie Sakowczyk,3764,8.7,9.2
4,Lutowiska,1848,9.0,8.9
5,Będziemyśl,1861,8.9,8.5
6,Przemyśl,1838,8.2,8.6
7,Czarna,1709,8.6,9.8
8,Mielec,1900,9.6,8.9
9,Polańczyk,1449,9.0,8.3
10,Stalowa Wola,1855,8.2,10.0
11,Przemyśl,1603,6.5,10.0
12,Smerek,1669,9.7,8.1
13,Wetlina,1702,9.9,8.8
14,Radymno,2100,8.1,8.9
15,Sanok,1190,8.8,8.3
16,Lutowiska,4272,8.8,9.1
17,Mielec,2415,8.3,8.0
18,Mielec,1680,9.1,9.7
19,Przemyśl,837,8.2,9.6
20,Łańcut,3843,9.6,10.0
21,Jarosław,2233,9.4,8.8
22,Majdan Zbydniowski,1171,9.9,8.3
23,Jasło,1750,8.7,9.8
24,Jasło,1961,8.5,8.3
25,Ustrzyki Dolne,4202,9.8,8.4
26,Iwonicz-Zdrój,2083,8.5,9.6
27,Jasło,1961,8.4,9.2
28,Iwonicz-Zdrój,2033,9.5,9.3
29,Mielec,1260,7.8,8.8
30,Solina,2366,9.3,9.5
31,Cisna,1092,9.2,8.2
32,Przemyśl,2030,8.6,8.7
33,Łańcut,2520,9.3,8.9
34,Tarnobrzeg,2940,8.2,8.0
35,Stalowa Wola,2030,8.9,8.3
36,Baranów Sandomierski,2729,7.9,8.9
37,Stalowa Wola,1602,8.3,8.4
38,Wola Ociecka,1533,8.0,9.0
39,Przemyśl,1603,8.7,8.8
40,Solina,1414,8.8,8.7
41,Sędziszów Małopolski,1680,8.4,9.3
42,Jasło,1260,9.0,8.2
43,Góra Motyczna,1960,8.7,8.4
44,Lutowiska,2682,8.9,8.9
45,Krasiczyn,2016,7.4,8.4
46,Iwonicz-Zdrój,1883,9.1,9.0
47,Radawa,12600,8.3,8.7
48,Jarosław,1330,8.4,9.4
49,Rzeszów,1765,8.8,8.2
50,Sędziszów Małopolski,1680,8.4,8.4
51,Jasło,1260,9.0,9.3
52,Góra Motyczna,1960,8.9,9.7
53,Krasiczyn,2016,9.4,9.3
54,Dukla,1071,7.4,9.5
55,Iwonicz-Zdrój,1883,8.3,9.2
56,Jarosław,1330,8.4,10.0
57,Rzeszów,1765,9.1,8.8
58,Radawa,6300,9.7,8.8
59,Lesko,2163,9.4,8.4
60,Wetlina,1395,9.5,9.5
61,Polańczyk,3141,8.0,9.9
62,Przemyśl,1225,9.1,8.0
63,Wetlina,3150,10.0,9.4
64,Mielec,1518,8.7,9.4
65,Krosno,1907,7.6,8.8
66,Korczowa,1391,8.8,8.9
67,Jasło,1680,8.8,8.8
68,Lutowiska,1002,9.6,9.2
69,Lesko,3220,9.7,9.6
