,City,Cost,Rating,Comfort
0,"Centrum, Gdańsk",4229,8.8,9.2
1,Władysławowo,2727,9.6,10.0
2,Sopot,2088,8.3,8.7
3,"Dolny Sopot, Sopot",8449,9.1,9.5
4,Władysławowo,1748,8.9,8.5
5,"Przymorze, Gdańsk",2125,8.1,8.0
6,Gdańsk,2346,8.6,9.2
7,Władysławowo,1712,9.3,9.6
8,"Wzgórze Świętego Maksymiliana, Gdynia",2401,9.6,9.6
9,Łeba,1190,8.9,8.8
10,Krynica Morska,2438,8.3,8.2
11,Białogóra,1449,8.4,8.2
12,Jastrzębia Góra,2344,8.4,8.3
13,Władysławowo,1261,8.5,8.9
14,Władysławowo,1477,8.0,8.6
15,Władysławowo,1877,8.6,9.5
16,Karwia,1186,7.4,8.5
17,"Wrzeszcz, Gdańsk",2139,7.2,8.6
18,Jastrzębia Góra,2250,8.8,8.7
19,Łeba,2345,9.6,9.6
20,Łeba,1050,8.7,8.7
21,Zblewo,1400,7.6,8.5
22,Władysławowo,2450,8.8,9.0
23,Chmielno,2346,8.9,8.9
24,Malbork,2559,9.2,9.4
25,"Wzgórze Świętego Maksymiliana, Gdynia",3858,8.7,9.0
26,Rekowo,3011,8.3,9.3
27,"Centrum, Gdańsk",3941,8.8,8.9
28,Gdynia,3496,8.7,8.9
29,"Centrum, Gdańsk",2830,9.2,9.4
30,Jastrzębia Góra,4186,9.1,8.8
31,Jastrzębia Góra,2576,9.4,9.3
32,Łeba,8319,9.0,8.2
33,Gdańsk-Rębiechowo,3886,8.7,8.6
34,Podiazy,4365,9.4,9.2
35,Jurata,5913,8.6,9.9
36,Swarzewo,1585,8.2,9.4
37,"Dolny Sopot, Sopot",13256,8.9,8.0
38,Malbork,2450,8.4,8.8
39,Rumia,1764,8.6,8.7
40,Łeba,3803,9.2,9.3
41,Władysławowo,4997,9.9,8.8
42,Ustka,6415,9.1,9.0
43,Karwia,2978,8.1,8.3
44,Gdynia,1676,8.6,9.1
45,Rumia,2262,8.8,8.4
46,"Śródmieście, Gdynia",3558,9.1,9.3
47,"Jelitkowo, Gdańsk",4080,8.6,8.3
48,Łeba,1665,9.1,8.7
49,Jantar,2479,8.5,9.9
50,Krzeszna,2353,9.1,9.4
51,Jastarnia,4440,8.5,9.1
52,"Centrum, Gdańsk",3905,9.0,8.9
53,Gdynia,1670,8.4,9.0
54,"Centrum, Gdańsk",9822,8.4,9.4
55,Tczew,2088,9.7,9.1
56,Słajszewo,5266,9.3,9.1
57,Kwidzyn,1263,8.9,8.9
58,Żukczyn,1820,9.1,9.2
59,Władysławowo,1963,9.0,8.3
60,"Dolny Sopot, Sopot",3300,7.9,8.1
61,Sominy,1859,9.3,8.1
62,Władysławowo,6198,8.9,8.0
63,Władysławowo,6143,9.4,9.6
64,Gardna Wielka,3449,8.8,8.4
65,"Śródmieście, Gdynia",2889,9.0,9.1
66,Słupsk,1426,8.4,9.3
67,Hel,3509,8.4,9.3
68,Ustka,1613,8.2,8.9
69,Rewa,2310,8.2,8.8
70,Ostrowo,1418,9.3,8.5
71,"Wzgórze Świętego Maksymiliana, Gdynia",3702,8.5,8.7
72,Ustka,3516,9.1,9.1
73,Jastrzębia Góra,2985,9.0,9.2
74,"Centrum, Gdańsk",3881,8.9,9.3
75,Jastarnia,7895,8.9,9.3
76,Gdańsk,2198,8.8,8.9
77,Gdańsk,1750,8.4,9.1
78,Gdańsk,2385,8.8,8.3
79,Starogard Gdański,3010,8.9,8.9
80,"Oliwa, Gdańsk",3254,8.7,8.9
81,"Centrum, Gdańsk",4168,9.1,8.3
82,Władysławowo,4588,9.0,8.5
83,"Centrum, Gdańsk",4118,8.8,8.7
84,"Dolny Sopot, Sopot",13020,8.8,9.1
85,Stężyca,1900,8.2,9.9
86,Chmielno,2622,9.0,9.5
87,Jastrzębia Góra,6812,8.9,8.3
88,"Centrum, Gdańsk",3455,8.7,8.7
89,Krynica Morska,2084,7.7,8.5
90,"Sobieszewo, Gdańsk",4413,8.5,9.0
91,Krynica Morska,3158,8.7,8.5
92,"Dolny Sopot, Sopot",5810,8.8,9.1
93,Hel,5854,9.7,8.3
94,Władysławowo,4288,9.4,8.9
95,Gdynia,2717,8.3,8.3
96,"Centrum, Gdańsk",2759,8.5,9.4
97,"Centrum, Gdańsk",2682,8.7,8.5
98,Krynica Morska,6210,8.9,8.7
99,"Górny Sopot, Sopot",4947,8.9,9.1
100,Łeba,4157,8.8,9.5
101,Stężyca,1900,8.2,8.3
102,Chmielno,2551,8.9,8.7
103,"Centrum, Gdańsk",3455,8.7,9.1
104,Krynica Morska,1728,9.3,8.8
105,Jurata,3634,7.7,8.5
106,"Sobieszewo, Gdańsk",4062,8.5,9.5
107,Krynica Morska,3010,8.7,9.0
108,"Dolny Sopot, Sopot",5810,8.8,8.6
109,Hel,5246,9.4,9.9
110,Gdynia,2289,8.3,8.7
111,"Centrum, Gdańsk",2783,8.5,9.1
112,"Centrum, Gdańsk",2351,9.2,8.8
113,Jastrzębia Góra,1621,8.9,9.6
114,Postołowo,2576,8.7,9.0
115,Krynica Morska,6210,9.5,9.2
