,City,Cost,Rating,Comfort
0,Kołobrzeg,3476,8.9,9.3
1,Międzyzdroje,2220,6.5,8.0
2,Mielno,2439,8.7,8.7
3,Bobolin,2149,7.6,8.6
4,Międzyzdroje,1884,8.6,8.7
5,Kołobrzeg,1666,8.7,8.7
6,Szczecin,1146,7.3,8.1
7,Międzywodzie,2644,7.6,9.4
8,Darłowo,1332,9.0,8.9
9,Dźwirzyno,1960,8.0,9.2
10,Grzybowo,1237,9.1,9.4
11,Mielno,1055,8.5,9.6
12,Mielno,2100,9.6,9.0
13,Kołobrzeg,2526,7.5,8.4
14,Jarosławiec,9591,8.7,9.5
15,"Dzielnica Uzdrowiskowa, Kołobrzeg",7353,9.0,8.8
16,"Śródmieście, Kołobrzeg",4361,9.2,8.7
17,Stargard,2733,9.2,9.0
18,Trzęsacz,3328,8.1,8.9
19,Świnoujście,4086,8.4,8.8
20,"Dzielnica Uzdrowiskowa, Kołobrzeg",5676,8.3,9.5
21,Darłówko,1882,9.6,8.7
22,Pogorzelica,5428,8.1,9.4
23,"Śródmieście, Szczecin",3103,8.3,8.6
24,"Dzielnica Uzdrowiskowa, Kołobrzeg",5686,8.4,9.9
25,Świnoujście,4086,8.4,9.2
26,Sianożęty,4930,8.6,8.9
27,"Śródmieście, Szczecin",3103,8.3,9.6
28,Pogorzelica,4540,8.1,8.7
29,Darłówko,1882,9.6,8.4
30,"Dzielnica Uzdrowiskowa, Kołobrzeg",5379,8.4,8.7
31,"Śródmieście, Szczecin",1785,9.1,8.5
32,Jarosławiec,4838,8.6,8.2
33,"Śródmieście, Szczecin",1506,7.0,8.2
34,Kopań,4950,9.7,9.3
35,"Dzielnica Uzdrowiskowa, Kołobrzeg",4949,8.8,8.2
36,Grzybowo,2915,9.1,8.2
37,Niechorze,6235,9.6,9.3
38,Rewal,2980,8.8,8.2
39,Świnoujście,4197,8.2,8.3
40,Kołobrzeg,3818,8.5,9.3
41,Kołobrzeg,3916,8.2,8.5
42,Świnoujście,3929,8.1,9.2
43,"Śródmieście, Kołobrzeg",3926,8.2,8.8
44,Drawsko Pomorskie,1820,9.3,8.6
45,"Śródmieście, Szczecin",2016,8.2,8.6
46,Ustronie Morskie,4900,7.4,9.7
47,Świnoujście,3646,8.4,8.5
48,Gąski,1960,9.3,9.4
49,Darłowo,2374,8.2,8.0
50,Myślibórz,1400,7.0,8.9
51,Grzybowo,6267,8.2,9.5
52,Drawsko Pomorskie,2100,9.3,8.0
53,Świnoujście,2952,8.4,8.3
54,"Śródmieście, Szczecin",2273,9.0,8.9
55,Niechorze,2403,9.0,9.0
56,Międzywodzie,4543,7.3,9.5
57,Sianożęty,2128,8.9,10.0
58,Pobierowo,1968,8.5,9.4
59,Darłówko,3702,9.6,9.3
60,Zieleniewo,1400,8.3,9.1
61,"Śródmieście, Szczecin",2683,9.0,10.0
62,Rewal,3052,8.0,9.2
63,Sarbinowo,6083,8.9,8.0
64,Morzyczyn,6816,9.2,9.5
65,Bobolin,1937,8.5,8.7
66,Niechorze,6570,8.1,8.9
67,Mielenko,1358,7.9,8.7
68,Świnoujście,3481,8.0,8.8
69,Połczyn-Zdrój,2181,8.8,9.5
70,Grzybowo,4043,9.0,9.0
71,"Śródmieście, Szczecin",2320,9.1,8.7
72,Gościno,3710,10.0,8.4
73,Pogorzelica,3348,9.4,8.9
74,"Śródmieście, Szczecin",1516,7.7,9.5
75,"Śródmieście, Szczecin",1444,9.1,8.8
76,"Śródmieście, Szczecin",2660,8.8,8.7
77,Gościno,3710,10.0,8.3
78,Barlinek,1747,9.2,8.3
79,Świnoujście,4776,8.0,9.2
80,"Dzielnica Uzdrowiskowa, Kołobrzeg",8775,9.4,8.9
81,Międzyzdroje,3199,8.8,9.4
82,Karnice,2142,9.0,8.1
83,Połczyn-Zdrój,2090,8.6,9.3
84,Ustronie Morskie,5673,8.7,9.4
85,Międzyzdroje,3378,9.4,8.4
86,Łazy,2380,8.9,8.4
87,Międzyzdroje,5597,8.4,8.6
88,Międzyzdroje,4104,8.3,10.0
89,Niechorze,6635,8.7,10.0
90,Gąski,5924,9.7,8.6
91,"Śródmieście, Szczecin",1759,8.6,9.1
92,"Dzielnica Uzdrowiskowa, Kołobrzeg",4610,8.5,9.2
93,Łazy,4407,8.1,9.2
94,Świnoujście,3474,8.3,9.5
95,Mielno,2543,8.4,8.3
96,"Dzielnica Uzdrowiskowa, Kołobrzeg",4607,7.7,8.9
97,Międzywodzie,10798,8.9,8.8
98,Dźwirzyno,3822,9.1,9.1
99,Czechyń,3024,9.4,8.9
100,Kołobrzeg,5393,8.1,8.9
101,Międzyzdroje,4040,9.3,9.3
102,"Dzielnica Uzdrowiskowa, Kołobrzeg",3710,9.5,9.1
103,Szczecinek,2205,7.9,8.6
104,Międzywodzie,2670,8.3,9.5
105,Mrzeżyno,6317,8.1,9.1
106,Pobierowo,5429,8.8,8.9
107,Wicie,6329,10.0,8.8
108,Drawno,4988,9.6,9.4
109,"Dzielnica Uzdrowiskowa, Kołobrzeg",5522,8.3,8.4
110,Świnoujście,4684,8.9,8.4
111,Rewal,3673,7.8,8.3
112,Rewal,1603,9.3,8.1
113,Brzeżno,1659,9.2,8.1
114,Stargard,1400,9.4,8.3
115,Jarosławiec,3719,8.1,8.4
116,Świnoujście,8266,8.4,8.7
117,Dąbki,2084,9.1,9.7
118,Rewal,2593,9.0,9.4
119,Sianów,2753,7.6,8.1
120,Darłowo,1570,9.0,9.4
121,Rewal,3185,9.0,9.3
122,Międzyzdroje,8617,8.6,9.3
123,"Dzielnica Uzdrowiskowa, Kołobrzeg",5071,7.1,8.6
124,Niechorze,2678,9.2,9.1
125,"Dzielnica Uzdrowiskowa, Kołobrzeg",5071,7.1,9.4
126,Dźwirzyno,5056,8.4,8.1
127,Dziwnów,4347,9.3,9.3
128,Niechorze,2678,9.2,8.6
129,Pobierowo,2618,8.9,8.4
130,Kołobrzeg,6030,8.7,8.4
131,"Dzielnica Uzdrowiskowa, Kołobrzeg",3710,9.5,9.4
132,Jarosławiec,5923,8.4,8.6
133,"Śródmieście, Szczecin",2012,8.0,9.3
134,Niechorze,4613,8.3,8.0
135,Świnoujście,6387,8.4,8.7
136,Darłówko,1491,7.6,8.7
137,Świnoujście,10356,8.2,8.2
138,Unieście,1219,8.0,8.1
139,Pobierowo,4655,8.6,8.7
140,Rewal,2646,8.9,9.6
141,Ustronie Morskie,2898,9.7,9.3
142,Gościno,2723,9.4,8.6
143,"Śródmieście, Szczecin",1840,7.4,9.1
144,"Śródmieście, Szczecin",1914,7.9,9.2
145,Grzybowo,3906,9.3,9.1
146,Sarbinowo,2659,9.0,8.5
147,Koszalin,2695,9.1,9.4
148,Dziwnówek,2250,8.3,9.1
149,Dąbki,3899,9.3,8.9
150,Gościno,2583,9.4,9.6
151,"Śródmieście, Szczecin",1660,7.4,9.0
152,"Śródmieście, Szczecin",1828,7.9,8.9
153,Sarbinowo,2419,9.0,9.5
154,Stepnica,1280,7.6,9.3
155,Dziwnówek,2250,8.3,8.5
156,Jarosławiec,1003,8.4,9.1
157,Pobierowo,3860,8.9,8.9
158,Grzybowo,3906,9.3,8.4
159,"Dzielnica Uzdrowiskowa, Kołobrzeg",3943,8.3,8.7
160,Koszalin,3150,9.1,9.3
161,Jarosławiec,3189,8.8,9.0
162,Świnoujście,5912,8.3,9.6
163,Sianożęty,3395,8.4,8.7
164,Świnoujście,3913,8.0,9.6
165,Koszalin,3287,8.3,9.3
166,Pobierowo,5309,8.2,8.8
167,"Śródmieście, Szczecin",2195,8.7,9.0
168,Koszalin,2763,9.4,9.3
169,Grzybowo,1673,9.4,9.2
170,Kopań,1617,9.0,9.6
171,Cedynia,2030,7.7,8.4
172,Rusinowo,2577,9.2,8.4
173,Sarbinowo,4898,9.2,8.3
174,Mielno,1859,7.8,9.1
175,"Dzielnica Uzdrowiskowa, Kołobrzeg",6129,8.5,8.2
176,Międzyzdroje,2766,8.7,8.4
177,Pobierowo,4571,9.4,9.5
178,Darłówko,2480,9.2,9.4
179,Szczecinek,3080,9.1,8.6
180,"Śródmieście, Szczecin",2200,9.5,9.4
181,"Śródmieście, Szczecin",2572,8.7,9.4
182,Police,2240,7.8,8.1
183,Stargard,2485,8.7,8.8
184,Rewal,3003,9.4,9.3
185,"Dzielnica Uzdrowiskowa, Kołobrzeg",6870,9.0,9.0
186,Szczecin,2717,8.4,9.0
187,Mielno,3678,8.1,8.1
188,Międzyzdroje,5224,8.9,9.2
189,Cedynia,1880,7.6,8.9
190,Świnoujście,10671,8.4,9.0
191,Jarosławiec,4191,8.7,9.2
192,Ustronie Morskie,4312,8.5,8.0
193,Świnoujście,6026,7.1,9.1
194,Rewal,8435,9.1,9.1
195,Świnoujście,4369,7.8,8.9
196,Mielno,3564,9.1,9.2
197,Świnoujście,5591,7.6,8.3
198,Sianożęty,3278,9.5,8.9
199,Dąbki,4569,8.5,8.8
200,Ustronie Morskie,4312,9.3,8.9
201,Stargard,2373,9.1,9.0
202,Rewal,8435,7.8,8.6
203,Świnoujście,4369,9.1,8.1
204,Dąbki,3245,9.1,9.3
205,Mielno,3114,9.2,8.8
206,Międzywodzie,3111,7.1,8.7
207,Świnoujście,6026,7.6,8.7
208,Świnoujście,5591,9.3,9.6
209,"Dzielnica Uzdrowiskowa, Kołobrzeg",8957,9.5,9.6
210,Sianożęty,2863,8.4,8.5
211,Dąbki,4329,7.5,8.5
212,Mielno,3781,8.3,9.6
213,"Śródmieście, Szczecin",1666,8.1,9.2
214,Świnoujście,3982,9.0,8.5
215,Sarbinowo,3959,8.1,9.2
216,Ustronie Morskie,2968,8.4,8.9
217,Nowogródek Pomorski,1050,9.3,9.7
218,Stepnica,2240,7.7,9.1
219,Rewal,5485,8.0,9.2
220,Stargard,1778,8.9,8.6
