,City,Cost,Rating,Comfort
0,Spała,3220,8.7,8.8
1,Łódź,1300,9.0,9.1
2,"Śródmieście, Łódź",2089,9.2,9.4
3,Inowłódz,1377,9.3,9.5
4,Łódź,1416,8.1,8.6
5,Łódź,1608,8.1,9.5
6,Uniejów,3550,9.2,9.5
7,Łowicz,1435,9.4,8.0
8,Piotrków Trybunalski,1106,8.0,9.1
9,Nieborów,2030,9.1,8.6
10,Kutno,2195,8.5,9.1
11,Wieluń,2030,8.9,9.4
12,Skierniewice,1470,9.7,8.2
13,Wolbórz,1470,8.3,8.6
14,Kutno,1890,8.6,9.0
15,Łowicz,2520,8.8,9.1
16,Osjaków,1680,9.1,8.1
17,Rawa Mazowiecka,1260,7.8,8.0
18,Polichno,1253,8.2,9.1
19,Radomsko,1260,8.0,8.2
20,Konstantynów Łódzki,1246,8.9,9.0
21,Wolbórz,1533,8.1,8.4
22,"Śródmieście, Łódź",1298,8.8,8.4
23,Uniejów,2976,8.4,9.3
24,Stryków,1716,8.5,8.4
25,Uniejów,2170,9.0,8.3
26,Uniejów,3178,8.4,8.9
27,Piotrków Trybunalski,1985,8.4,9.3
28,Radomsko,1540,8.9,9.2
29,Spała,2115,9.2,9.3
30,Radomsko,1750,8.9,8.0
31,Skierniewice,1435,9.2,8.3
32,Łęczyca,2560,7.4,9.6
33,Opoczno,1750,8.2,9.2
34,Wieluń,1260,8.5,8.3
35,Nowostawy Dolne,1400,7.7,8.4
36,Slok,1921,9.6,8.5
37,Dobroń,2367,9.1,8.0
38,Uniejów,3654,8.5,9.3
39,Osowa,1190,8.4,8.8
40,Aleksandrów Łódzki,1463,8.3,8.0
41,Pabianice,2205,7.7,8.6
42,Bełchatów,3135,8.3,8.4
43,Nieborów,1610,9.1,9.1
44,Spała,3150,7.4,8.9
45,Łódź,1915,8.9,9.0
46,"Śródmieście, Łódź",635,6.0,8.4
47,Sokolniki,1499,8.1,9.7
48,Rawa Mazowiecka,1120,7.8,8.6
49,Tuszyn,1743,7.4,8.2
50,Kutno,1995,8.8,9.0
51,Rawa Mazowiecka,973,8.3,8.8
52,Zgierz,1148,8.8,8.5
53,Lućmierz,1393,7.9,8.3
54,Pabianice,3450,7.9,8.5
55,Piotrków Trybunalski,1862,8.8,8.9
56,Piotrków Trybunalski,1610,8.9,8.1
57,Sieradz,1750,8.3,8.9
58,Radomsko,1330,9.7,9.1
59,Zgierz,1710,8.4,9.1
60,"Bałuty, Łódź",10710,8.5,9.4
61,Pabianice,1750,7.7,8.9
62,Aleksandrów Łódzki,863,6.6,9.4
63,"Śródmieście, Łódź",643,9.0,8.5
64,Spała,2064,8.7,9.7
65,Kutno,857,7.9,9.4
66,Wierzchlas,1400,8.3,9.3
67,Sulejów,910,8.2,8.9
68,Piotrków Trybunalski,1680,8.4,8.4
69,Raducki Folwark,980,9.0,8.4
