,City,Cost,Rating,Comfort
0,Sienna,4573,8.6,8.9
1,"Stare Miasto, Wrocław",2835,9.1,9.4
2,Kudowa-Zdrój,2195,8.7,8.7
3,"Śródmieście, Wrocław",4002,8.0,8.7
4,Karłowice,2356,7.4,9.2
5,Stronie Śląskie,2027,9.3,9.2
6,"Krzyki, Wrocław",2793,9.2,9.5
7,Lądek-Zdrój,2724,9.4,8.9
8,Szklarska Poręba,3973,8.8,9.2
9,Bielany Wrocławskie,3207,8.9,8.8
10,Polanica-Zdrój,3624,8.7,8.5
11,"Śródmieście, Wrocław",2736,8.4,8.4
12,Karpacz,1538,7.2,8.8
13,Kostomłoty,1560,6.9,8.2
14,Mysłakowice,4245,8.6,8.2
15,Szklarska Poręba,2595,8.9,9.2
16,Szklarska Poręba,2719,8.3,9.1
17,Wojnowice,2464,8.4,8.7
18,Mysłakowice,3229,9.0,9.5
19,Stare Bogaczowice,2818,9.1,9.2
20,Stronie Śląskie,12846,8.3,8.8
21,"Zieleniec, Duszniki-Zdrój",4935,9.3,9.2
22,Polanica-Zdrój,1681,9.4,9.8
23,Polanica-Zdrój,5008,8.8,8.8
24,Świeradów-Zdrój,8328,8.7,8.2
25,Głuszyca Górna,1601,9.7,8.0
26,Polanica-Zdrój,6306,8.7,9.0
27,"Fabryczna, Wrocław",3906,8.0,9.7
28,Szklarska Poręba,1391,8.3,9.3
29,Świeradów-Zdrój,6646,8.7,8.7
30,Karpniki,3560,9.6,8.5
31,Bolesławiec,4760,9.1,9.1
32,Szklarska Poręba,2602,8.6,8.4
33,Bielany Wrocławskie,3605,8.5,8.3
34,Karpacz,9726,8.8,9.5
35,Świeradów-Zdrój,3748,8.0,9.1
36,"Śródmieście, Wrocław",2138,8.4,9.2
37,Legnica,5600,8.1,8.1
38,Sienna,3117,9.5,9.0
39,Bolesławiec,3980,8.9,9.2
40,Karpacz,9056,8.8,8.9
41,Kamienna Góra,2434,7.5,9.3
42,Jelenia Góra,4060,8.0,9.2
43,Dzierżoniów,2048,8.9,8.1
44,Lądek-Zdrój,3834,9.2,8.7
45,Srebrna Góra,4330,8.8,8.2
46,"Krzyki, Wrocław",8734,9.0,9.5
47,Kłodzko,5331,9.3,9.4
48,Stronie Śląskie,8702,7.9,9.0
49,Karpacz,5447,8.6,8.0
50,"Stare Miasto, Wrocław",3787,8.2,8.4
51,Sosnówka,7433,9.3,8.0
52,Szczytna,2636,9.5,8.7
53,"Stare Miasto, Wrocław",2742,7.3,8.6
54,Podgórzyn,5540,8.9,8.1
55,Wojanów,6675,8.2,9.0
