,City,Cost,Rating,Comfort
0,Ciechocinek,2490,9.8,9.9
1,Niewierz,2092,8.5,8.5
2,Ciechocinek,3839,8.1,8.3
3,Ciechocinek,4244,9.1,9.4
4,Inowrocław,3980,9.2,9.3
5,Ciechocinek,2755,8.2,8.4
6,Ciechocinek,3941,9.2,9.2
7,Inowrocław,4273,8.4,8.6
8,Żnin,4812,9.0,9.0
9,Bydgoszcz,2414,8.5,8.7
10,Ciechocinek,3300,8.9,8.9
11,"Stare Miasto, Toruń",2924,8.0,8.6
12,Włocławek,3156,8.6,8.8
13,Toruń,4760,8.7,8.7
14,"Stare Miasto, Toruń",3708,8.8,9.4
15,Tryszczyn,2135,7.6,8.6
16,Wielki Głęboczek,11592,9.2,9.3
17,Bydgoszcz,2548,7.2,8.9
18,"Stare Miasto, Toruń",3150,8.6,9.2
19,Włocławek,1707,9.4,8.2
20,Chełmno,2581,8.3,9.5
21,Wąbrzeźno,5104,8.6,9.5
22,Wądzyn,3026,9.5,9.2
23,Inowrocław,3529,8.2,9.0
24,Bydgoszcz,4578,9.2,8.7
25,Bydgoszcz,4578,9.2,9.0
26,Wądzyn,3026,9.5,9.3
27,Toruń,7273,8.8,9.4
28,Samociążek,2318,8.8,8.6
29,Turzno,7176,8.7,8.4
30,Ciechocinek,5254,9.0,9.0
31,Gniewkowo,4287,9.1,9.2
32,Ciechocinek,3860,8.7,9.3
33,Bydgoszcz,3453,8.5,8.0
34,Nakło nad Notecią,5880,8.8,8.6
35,Brodnica,2287,9.3,9.1
36,"Stare Miasto, Toruń",3024,8.1,8.8
37,Grudziądz,3540,9.2,8.4
38,Grudziądz,2769,7.7,9.6
39,Szubin,2485,8.2,8.7
40,"Stare Miasto, Toruń",3500,8.8,8.6
41,Bydgoszcz,4550,8.8,8.4
42,Brzoza,1739,8.6,8.1
43,Grudziądz,3815,8.5,9.2
44,Bydgoszcz,2331,9.4,8.8
45,"Stare Miasto, Toruń",4692,8.8,9.1
46,Bydgoszcz,3606,8.4,9.1
47,Łabiszyn,3290,8.3,8.6
48,Bydgoszcz,1130,8.0,9.6
49,Bydgoszcz,4226,8.9,9.9
50,Cierpice,2834,8.9,8.4
51,Toruń,2408,9.1,9.2
52,Skępe,2030,7.1,9.5
53,Chełmża,2190,9.1,8.9
54,"Stare Miasto, Toruń",3874,8.5,8.8
55,"Stare Miasto, Toruń",5848,9.4,8.8
56,Bydgoszcz,2450,7.4,8.4
57,Inowrocław,1960,9.8,8.9
58,Kruszyn,2512,7.8,9.2
59,Bydgoszcz,2716,8.4,9.0
60,Ciechocinek,7861,9.1,9.3
61,Wycinki,5345,9.5,8.7
62,Bydgoszcz,4554,8.7,9.4
63,Grudziądz,2480,8.5,9.6
64,"Stare Miasto, Toruń",3370,8.7,8.2
65,Włocławek,4340,8.1,9.4
66,"Stare Miasto, Toruń",3555,7.9,9.2
67,Toruń,2206,7.9,9.7
68,"Stare Miasto, Toruń",4553,8.6,8.6
69,Gąsawa,9316,9.1,8.3
70,"Stare Miasto, Toruń",5152,8.9,9.4
71,Sępólno Krajeńskie,2170,8.8,8.1
72,"Stare Miasto, Toruń",1886,8.8,8.7
73,Inowrocław,1989,9.2,8.1
74,Ciechocinek,2341,9.7,8.1
75,Inowrocław,2670,8.3,8.2
76,"Stare Miasto, Toruń",1832,7.9,8.2
77,"Stare Miasto, Toruń",3358,9.4,9.0
78,Aleksandrów Kujawski,2870,9.2,8.0
79,Inowrocław,1604,7.8,8.7
80,Bydgoszcz,2591,9.6,8.9
81,Bydgoszcz,3080,8.7,9.1
82,Ciechocinek,4040,8.3,9.1
83,Sępólno Krajeńskie,6698,9.2,9.1
84,Inowrocław,1604,7.7,8.3
85,"Stare Miasto, Toruń",4004,8.8,9.3
86,Raciąż,1680,8.6,8.8
87,Bydgoszcz,1575,8.0,8.7
88,Solec Kujawski,2555,8.2,9.4
89,Bydgoszcz,2215,8.1,8.6
90,Bydgoszcz,3494,8.1,9.4
91,Włocławek,2380,9.1,9.0
92,Toruń,2982,8.0,9.3
93,Grudziądz,1750,8.8,9.0
94,Biskupin,1904,6.9,9.3
95,Inowrocław,1266,8.4,9.8
96,Kamieńczyk Dezerta,3518,9.4,8.7
97,Włocławek,2065,7.0,8.8
98,Grudziądz,1449,7.9,8.1
99,Wielgie,1525,9.3,8.7
100,Wielgie,1525,9.3,8.1
101,Biskupin,1792,8.7,8.9
102,Golub-Dobrzyń,3993,9.2,9.2
103,"Stare Miasto, Toruń",6730,8.3,8.3
104,Bydgoszcz,5345,8.5,8.8
105,Bydgoszcz,3073,9.3,10.0
106,Solec Kujawski,2520,8.3,8.7
107,Śliwice,3430,9.0,8.4
108,Włocławek,4186,9.0,9.5
109,Mgowo,2603,9.5,9.3
110,Małe Leżno,1669,8.7,9.4
111,Bydgoszcz,2506,9.2,9.4
112,Bukowiec,3059,9.6,8.9
113,Rypin,2870,8.7,8.8
114,Grudziądz,1467,7.9,9.6
115,Toruń,2051,8.9,9.1
116,Włocławek,4760,8.0,9.7
117,Brodnica,5255,8.7,9.8
118,Kruszwica,2030,8.5,8.8
119,Inowrocław,1668,9.1,9.4
