,City,Cost,Rating,Comfort
0,Babimost,2817,8.6,8.6
1,Słubice,1960,8.1,8.3
2,Łęknica,3909,8.4,8.3
3,Lubniewice,8540,8.4,8.6
4,Gorzów Wielkopolski,2391,7.8,9.2
5,Strzelce Krajeńskie,2695,9.1,8.1
6,Żary,2972,7.9,8.4
7,Kosarzyn,1152,8.0,8.7
8,Słubice,4076,7.2,8.7
9,Lubiatów,3407,7.0,9.4
10,Kostrzyn nad Odrą,1750,8.4,8.9
11,Łęknica,2213,8.8,8.6
12,Świebodzin,3724,8.7,8.8
13,Szprotawa,5390,9.3,8.1
14,Torzym,2520,7.6,8.4
15,Nowa Sól,3556,8.8,9.2
16,Torzym,3360,8.7,8.2
17,Międzyrzecz,3500,8.9,9.3
18,Żary,1680,8.1,8.1
19,Nowa Sól,2716,8.0,9.5
20,Słubice,4060,8.2,8.8
21,Brody,3080,8.9,8.9
22,Olszyna,1960,8.1,9.3
23,"Centrum, Zielona Góra",6321,7.1,8.6
24,Świebodzin,3360,6.7,8.5
25,Żary,3150,9.3,9.2
26,Słubice,2170,7.8,9.3
27,"Centrum, Zielona Góra",6146,7.7,8.9
28,Gorzów Wielkopolski,4100,9.2,8.0
29,Kostrzyn nad Odrą,3150,8.8,8.1
30,Torzym,3220,7.8,8.3
31,Skwierzyna,4305,8.7,8.7
32,Żary,3969,9.2,8.2
33,Międzyrzecz,3080,8.6,8.7
34,"Centrum, Zielona Góra",2065,8.7,8.0
35,Żary,3013,9.1,8.0
36,Danków,2044,7.8,8.6
37,Nowa Sól,3400,9.1,8.4
38,Słubice,2385,8.7,8.0
39,Gubin,4060,7.9,9.7
40,Nowa Sól,1540,7.8,9.5
41,Niesulice,3500,8.3,8.6
42,Gorzów Wielkopolski,4738,8.7,9.7
43,Rzepin,2793,8.1,8.1
44,Łagów,4186,8.6,9.2
45,Żary,2520,7.9,9.1
46,Gubin,3640,8.3,8.7
47,Jesionka,3381,7.9,9.5
48,Słubice,3640,8.3,9.8
49,Nowa Sól,2202,8.5,8.6
50,Słubice,3640,8.7,8.6
51,Nowa Sól,2202,7.9,8.0
52,Dąbie,2100,9.7,8.1
53,Międzyrzecz,2100,9.3,9.5
54,Żagań,3150,8.5,9.5
55,Lubniewice,4886,9.6,9.5
56,Nowa Sól,2450,8.2,8.6
57,Gorzów Wielkopolski,4893,8.9,8.2
58,Drezdenko,3179,9.0,9.3
