,City,Cost,Rating,Comfort
0,Zakopane,2247,8.6,8.7
1,Zakopane,5222,9.1,9.1
2,Krynica-Zdrój,1781,8.2,9.6
3,Ciche,2192,9.7,8.9
4,Wadowice,2730,9.0,8.4
5,Białka Tatrzańska,1147,8.5,8.1
6,Krynica-Zdrój,1715,8.4,10.0
7,Ratułów,2170,10.0,9.2
8,Krynica-Zdrój,2738,9.1,9.6
9,Balice,5153,9.3,9.5
10,Kościelisko,3883,9.5,9.2
11,Tylicz,3445,9.1,9.3
12,Klimkówka,4620,9.4,9.7
13,Konina,3019,9.6,9.5
14,Poronin,3811,9.5,9.2
15,Szaflary,2692,9.3,8.7
16,Nowy Targ,2520,8.7,9.9
17,Szaflary,2660,9.9,9.7
18,Pieskowa Skała,2029,8.4,9.3
19,Szaflary,4342,9.6,8.8
20,Wola Kalinowska,5216,9.6,8.9
21,Nowy Targ,2575,8.7,9.5
22,Wieliczka,3003,8.9,9.6
23,Białka Tatrzańska,13373,9.3,8.9
24,Krynica-Zdrój,9255,9.1,8.4
25,Zabierzów,6650,8.9,8.8
26,Zgłobice,1652,8.5,8.5
27,Tarnów,4662,8.7,8.3
28,Szczawnica,5344,8.5,9.4
29,Nowy Targ,1449,8.4,9.3
30,Szczawnica,7168,9.4,8.9
31,Białka Tatrzańska,6298,9.2,8.1
32,Bańska,1770,9.1,9.2
33,Lanckorona,3623,8.1,8.0
34,Muszyna,4311,9.0,8.8
35,Ojców,1687,8.3,9.4
36,Tarnów,5880,8.6,8.0
37,Szczawnica,5407,9.3,9.0
38,Biały Dunajec,1211,7.9,9.3
39,"Stare Miasto, Kraków",7655,8.7,9.3
40,"Krupówki, Zakopane",7926,9.1,8.9
41,"Stare Miasto, Kraków",5537,9.0,9.1
42,Nowy Targ,2374,8.8,9.2
43,Bukowina Tatrzańska,1921,9.1,8.7
44,Kościelisko,5792,9.1,9.4
45,Sułkowice,2800,8.6,9.1
46,Gródek nad Dunajcem,13080,9.2,9.2
47,Zakopane,9626,8.8,9.5
48,Nowy Sącz,2177,9.3,8.2
49,"Grzegórzki, Kraków",4817,9.1,8.9
50,"Stare Miasto, Kraków",4851,8.1,9.7
51,Tarnów,3010,8.9,8.5
52,Zakopane,4539,9.6,9.3
53,Zakopane,4065,8.5,8.8
54,Białka Tatrzańska,4640,9.1,9.6
55,Szczawnica,1827,9.0,9.3
56,Gdów,2183,9.6,8.8
57,"Podgórze, Kraków",4632,9.1,9.5
58,Krynica-Zdrój,3783,8.3,9.0
59,Gdów,2821,9.1,9.5
60,"Krowodrza, Kraków",4221,9.2,9.4
61,Zawoja,4608,9.0,9.7
62,"Krupówki, Zakopane",7476,9.4,9.6
63,"Stare Miasto, Kraków",6866,9.0,9.3
64,Kluszkowce,4124,9.7,8.6
65,Kluszkowce,3265,9.5,8.8
66,Kraków,7775,9.0,9.6
67,Kościelisko,2747,8.7,8.9
68,Szczawnica,4542,8.6,9.0
69,Białka Tatrzańska,6230,9.5,9.3
70,Białka Tatrzańska,5306,8.7,9.1
71,Zawoja,1449,9.0,8.7
72,"Łagiewniki, Kraków",4376,9.2,9.3
73,Wieliczka,5240,8.8,9.1
74,Białka Tatrzańska,3780,8.9,8.7
75,"Łagiewniki, Kraków",8170,9.2,9.1
76,Wieliczka,5240,8.8,8.7
77,Białka Tatrzańska,5040,8.9,9.0
78,Szaflary,3168,9.0,9.3
79,Mszana Dolna,4508,8.8,9.3
80,Zawoja,1770,9.2,9.3
81,Zator,4190,9.2,9.8
82,Wieliczka,5277,9.1,8.9
83,Michałowice,1023,7.2,9.8
84,Zakopane,4613,9.3,8.9
85,Limanowa,2422,9.8,9.3
86,"Krupówki, Zakopane",5738,8.9,9.7
