,City,Cost,Rating,Comfort
0,Opole,2305,9.1,9.1
1,Szczedrzyk,3052,8.7,8.5
2,Szydłowice,1840,9.3,9.3
3,Moszna,8560,8.6,8.3
4,Krapkowice,3710,8.6,8.4
5,Nysa,1890,9.4,9.6
6,Kluczbork,3500,9.1,9.2
7,Namysłów,2520,8.5,8.6
8,Kolonowskie,3143,9.3,9.3
9,Brzeg,1662,7.5,8.5
10,Jarnołtówek,3153,8.4,9.4
11,Kluczbork,3605,9.1,8.5
12,Brzeg,5110,7.9,8.7
13,Turawa,2170,7.7,9.0
14,Opole,2950,8.3,9.0
15,Nysa,3416,8.4,8.9
16,Opole,3535,9.1,8.6
17,Ścibórz,1377,8.8,9.2
18,Brzeg,4278,8.7,8.2
19,Strzelce Opolskie,3150,8.5,8.4
20,Opole,4366,9.0,9.1
21,Gorz,3010,8.0,8.1
22,Opole,5456,8.3,8.4
23,Głuchołazy,2660,8.3,9.4
24,Brzeg,2310,9.3,9.1
25,Prudnik,3778,8.4,8.8
26,Jarnołtówek,2065,7.4,9.3
27,Góra Świętej Anny,2450,8.6,8.7
28,Nysa,2660,9.4,8.7
29,Bogacica,2828,6.6,9.0
30,Kolonowskie,3239,9.0,9.4
31,Nysa,1386,8.6,8.6
32,Opole,2867,9.4,9.3
33,Głubczyce,3850,8.8,9.1
34,Skarbimierz Osiedle,2800,8.7,8.4
35,Chrząstowice,2030,8.9,8.4
36,Olesno,3640,7.1,8.1
37,Byczyna,3738,9.3,8.8
38,Kędzierzyn-Koźle,3290,8.6,8.5
39,Otmuchów,3010,9.4,8.9
40,Głubczyce,1503,9.0,8.3
41,Kędzierzyn-Koźle,2285,8.3,8.7
42,Brzeg,6930,8.3,8.5
43,Brzeg,2450,8.2,8.3
44,Opole,3460,8.9,9.1
45,Opole,1393,8.7,8.2
46,Głuchołazy,1890,9.0,8.4
47,Skorochów,4206,8.3,9.1
48,Pawłowiczki,3185,8.9,9.2
49,Mechnica,1644,8.3,9.4
50,Jarnołtówek,4200,8.3,8.6
51,Olesno,1653,8.2,8.6
52,Opole,3402,9.1,8.3
53,Brzeg,2380,8.2,9.4
54,Prudnik,3220,8.1,9.1
55,Nysa,4200,9.1,8.9
56,Biała,1694,9.1,9.6
57,Opole,3017,9.7,8.7
58,Opole,2155,8.7,8.9
59,Opole,6220,8.6,9.6
60,Chróścice,1911,7.9,9.0
61,Niemodlin,1890,9.7,8.4
62,Raszowa,2380,9.1,8.9
63,Pokój,2254,7.8,9.6
64,Głuchołazy,2310,8.8,8.4
65,Opole,2305,9.5,8.9
66,Nysa,3900,8.7,8.6
67,Namysłów,1690,6.5,8.7
68,Opole,2003,9.0,8.6
69,Opole,7000,9.1,9.4
70,Nysa,4676,9.1,8.9
71,Skorochów,3059,8.5,9.9
72,Kędzierzyn-Koźle,1848,9.0,9.3
73,Szczedrzyk,2492,9.1,9.3
74,Turawa,4145,8.5,8.5
75,Skorochów,3059,8.8,9.0
76,Kędzierzyn-Koźle,1848,8.5,8.9
77,Turawa,4145,8.7,9.2
78,Jemielnica,2555,8.7,8.7
79,Kędzierzyn-Koźle,4025,9.5,9.1
80,Kędzierzyn-Koźle,4150,8.7,8.8
81,Niemodlin,1750,9.8,9.8
82,Nysa,2800,9.3,8.6
83,Malnia,3430,9.3,9.5
84,Prószków,2167,9.0,8.7
85,Nysa,2357,9.0,9.8
86,Kędzierzyn-Koźle,2780,8.3,8.9
87,Głogówek,1904,9.2,9.3
88,Dębska Kuźnia,3434,7.5,9.6
89,Brzezie,1392,8.8,10.0
90,Nysa,4630,8.7,9.6
91,Prudnik,2198,9.1,9.2
92,Opole,2595,7.7,8.4
93,Prudnik,1920,9.8,10.0
94,Centawa,1759,8.6,8.8
95,Głuchołazy,2380,9.5,9.4
96,Paczków,2695,8.6,8.5
97,Olesno,2660,9.8,8.3
98,Opole,2800,9.0,9.2
99,Opole,3710,8.8,9.0
100,Paczków,2695,9.6,8.3
101,Czarkowice,2100,9.7,8.2
102,Paczków,2447,9.6,8.5
103,Góra Świętej Anny,2020,7.9,9.2
