,City,Cost,Rating,Comfort
0,Września,1593,9.6,9.5
1,"Stare Miasto, Poznań",1553,8.3,8.1
2,"Nowe Miasto, Poznań",2660,7.9,8.1
3,Piła,3000,8.2,8.1
4,Górzno,3091,8.2,8.5
5,Sieraków,3527,8.5,9.5
6,Swarzędz,4166,9.1,9.0
7,Piła,4438,8.7,8.5
8,Tarnowo Podgórne,4270,8.5,9.2
9,Ślesin,1890,7.4,9.6
10,Nowy Tomyśl,3640,9.1,9.0
11,"Stare Miasto, Poznań",2896,9.4,8.2
12,Kalisz,3920,8.9,8.7
13,"Stare Miasto, Poznań",1549,7.9,9.0
14,Gniezno,2940,7.8,9.3
15,Brdów,2512,8.7,9.1
16,Zduny,3413,8.9,8.5
17,"Stare Miasto, Poznań",2313,9.0,8.9
18,Puszczykowo,6823,8.9,8.8
19,Września,2940,8.5,8.9
20,Leszno,3969,8.6,8.9
21,Gniezno,3080,8.7,9.0
22,Leszno,4480,8.8,9.1
23,Swarzędz,3920,8.9,8.6
24,Nowy Tomyśl,3933,8.7,9.7
25,Gostyń,2512,9.0,8.1
26,"Stare Miasto, Poznań",2946,8.6,9.1
27,Wągrowiec,2254,9.7,9.2
28,Pleszew,3290,8.4,8.1
29,Piła,1996,9.1,8.8
30,Brzeźno,1828,9.3,8.8
31,Ostrów Wielkopolski,2177,7.6,8.7
32,Ostrzeszów,2380,7.9,9.3
33,"Stare Miasto, Poznań",3990,8.6,8.9
34,Wilczyn,2525,9.3,8.8
35,Jarocin,2478,8.8,8.4
36,Września,1191,9.3,9.1
37,Brodowo,1820,7.4,9.4
38,Nekla,3706,8.8,8.6
39,Świętne,2638,7.2,8.1
40,Wojnówko,1548,9.5,9.3
41,Września,1900,8.5,8.7
42,"Stare Miasto, Poznań",3478,9.1,8.2
43,"Wilda, Poznań",4486,9.3,8.0
44,Rawicz,3137,8.2,8.3
45,Ostrów Wielkopolski,2716,8.1,8.9
46,Czmoń,3401,8.8,9.6
47,"Stare Miasto, Poznań",4441,8.4,9.1
48,"Jeżyce, Poznań",2374,8.0,9.1
49,Kalisz,1493,8.0,9.7
50,"Wilda, Poznań",3936,8.2,9.3
51,"Grunwald, Poznań",3626,8.7,8.8
52,Krotoszyn,2800,9.4,9.4
53,"Stare Miasto, Poznań",3680,8.9,9.5
54,Chrzypsko Wielkie,2705,9.3,9.2
55,Kalisz,1687,9.7,9.0
56,"Stare Miasto, Poznań",5783,9.0,8.6
57,Sierosław,2786,8.9,8.8
58,Koło,3525,9.2,8.8
59,Września,4310,9.2,8.4
60,"Stare Miasto, Poznań",3680,9.0,9.2
61,"Stare Miasto, Poznań",6676,8.6,9.7
62,"Stare Miasto, Poznań",5024,8.4,9.8
63,Zaniemyśl,2772,8.8,9.2
64,Śrem,3430,8.6,8.3
65,"Stare Miasto, Poznań",1780,7.3,9.7
66,Wieleń,3546,8.1,9.2
67,Komorowo,3645,8.5,8.5
68,Kępno,3570,9.0,8.9
69,Kwiejce,3166,9.7,8.9
70,Piła,2502,9.8,8.9
71,"Stare Miasto, Poznań",3652,9.1,8.9
72,Licheń Stary,2100,8.7,8.7
73,Pniewy,2705,9.7,9.2
74,"Jeżyce, Poznań",4641,8.8,8.9
75,"Grunwald, Poznań",2027,8.0,9.3
76,"Stare Miasto, Poznań",2734,8.4,9.1
77,"Stare Miasto, Poznań",3059,8.8,8.7
78,Zbąszyń,3136,8.6,9.0
79,Zaniemyśl,2100,9.0,9.3
80,Gniezno,1400,9.0,9.3
81,Gołuchów,2450,8.8,9.5
82,Grodzisk Wielkopolski,3570,9.0,8.8
83,Kuźnica Zbąska,2753,7.4,9.0
84,Leszno,2155,8.9,9.6
85,Kalisz,5170,9.0,8.5
86,"Nowe Miasto, Poznań",4184,8.9,8.9
87,"Stare Miasto, Poznań",2610,8.7,9.0
88,Chodzież,3220,9.1,8.1
89,"Stare Miasto, Poznań",2045,9.3,8.1
90,Fałkowo,1967,9.3,8.4
91,Piła,1976,9.3,8.6
92,Wieleń Północny,1417,8.8,8.7
93,Kórnik,3260,8.8,8.3
94,Łuszczewo,2023,8.0,8.0
95,Górnica,1858,9.5,8.7
96,Józefów,2236,9.0,8.8
97,Suchy Las,3508,8.7,9.5
98,"Grunwald, Poznań",4511,8.7,8.9
99,"Grunwald, Poznań",4223,7.8,9.4
100,"Grunwald, Poznań",4020,7.8,9.3
101,Śrem,3850,8.2,8.6
102,Kościan,3500,8.0,8.6
103,"Grunwald, Poznań",3542,8.6,8.0
104,Kępno,3185,8.7,9.5
105,Kalisz,2800,8.4,8.2
106,Ostrów Wielkopolski,2425,7.9,8.9
107,Środa Wielkopolska,3620,8.7,8.8
108,"Grunwald, Poznań",1774,8.8,9.4
109,Śrem,2065,9.5,8.5
110,"Grunwald, Poznań",2466,9.0,8.9
111,Gostyń,2023,9.2,8.1
112,Ostrów Wielkopolski,3416,9.3,8.3
113,Suchy Las,3136,8.7,9.1
114,Chodzież,2450,8.5,8.3
115,Stare Miasto,2660,8.2,9.4
116,Konin,2093,9.4,8.3
117,Budzyń,2590,8.3,9.5
118,"Stare Miasto, Poznań",3380,8.6,9.2
119,Turek,1900,8.7,9.4
120,Krotoszyn,1960,9.3,8.3
121,Biskupice,1680,8.7,8.1
122,Śrem,1650,8.8,8.0
123,Debrzno,1683,8.5,8.7
124,Grodzisk Wielkopolski,3626,8.2,8.1
125,Gostyń,2598,9.3,8.3
126,Stęszew,2995,8.4,8.2
127,Licheń,1600,8.1,9.1
128,Czarnków,2240,9.4,9.4
129,Międzychód,3990,8.2,9.3
130,Przeźmierowo,3500,8.3,8.7
131,"Grunwald, Poznań",3137,9.3,9.0
132,"Stare Miasto, Poznań",5643,9.1,9.6
133,Kościan,4690,9.2,8.5
134,Gniezno,3156,8.5,8.5
135,Przeźmierowo,3866,8.0,8.5
136,Pobiedziska,2226,8.1,9.5
137,"Stare Miasto, Poznań",1583,7.9,8.7
138,"Stare Miasto, Poznań",4495,8.6,9.2
139,Przeźmierowo,3360,7.8,9.2
140,"Grunwald, Poznań",3696,7.9,9.1
141,Środa Wielkopolska,2625,8.3,8.1
142,Konin,2464,7.9,9.1
143,"Nowe Miasto, Poznań",1835,8.9,8.9
144,Kórnik,4106,9.1,8.0
145,Leszno,3360,9.2,9.6
146,Tarnowo Podgórne,3500,8.7,8.6
147,Budzyń,5460,8.8,8.6
148,Wolsztyn,2450,7.6,9.6
149,Koźmin,2520,9.3,8.5
150,Kwilcz,8106,8.4,8.4
151,Boszkowo,3133,7.0,8.4
152,Ostrów Wielkopolski,1750,8.2,9.1
153,Kórnik,3500,8.4,10.0
154,"Stare Miasto, Poznań",4194,9.3,9.6
155,Cielimowo,2156,8.7,8.5
156,Chodzież,1750,9.0,8.4
157,"Stare Miasto, Poznań",2291,9.0,8.4
158,"Stare Miasto, Poznań",3988,8.8,9.1
159,Konin,3350,8.1,9.3
160,Września,2240,9.1,8.6
161,Krotoszyn,3430,8.9,8.4
162,Jarocin,2940,7.9,9.1
163,Środa Wielkopolska,1666,9.8,8.6
164,"Stare Miasto, Poznań",3683,8.6,8.9
165,Ślesin,3640,8.6,9.1
166,"Stare Miasto, Poznań",4766,9.5,9.4
167,Leszno,2730,8.7,8.6
168,"Stare Miasto, Poznań",1604,8.2,8.7
169,"Grunwald, Poznań",2520,8.6,8.1
170,Promno,1481,8.8,9.5
171,"Grunwald, Poznań",6436,7.3,8.9
172,Konin,3430,8.1,9.7
173,Zakrzewo,2856,9.8,8.5
174,Leszno,2233,9.5,8.5
175,"Stare Miasto, Poznań",4836,8.7,8.6
176,Leszno,2730,8.2,9.2
177,"Stare Miasto, Poznań",2876,8.6,9.2
178,"Grunwald, Poznań",2520,8.8,8.3
179,Promno,1481,7.3,8.9
180,"Grunwald, Poznań",6216,9.0,9.4
181,Konin,3430,8.5,9.1
182,"Grunwald, Poznań",7850,8.2,9.5
183,Kościan,3500,9.2,9.8
184,Konin,4130,8.7,9.5
185,Słupca,1845,8.9,8.3
186,Przeźmierowo,4020,9.2,8.1
187,Gniezno,1882,9.5,8.3
188,Konin,2093,8.5,8.6
189,Wągrowiec,2030,8.8,9.6
190,Brenno,3423,7.8,9.5
191,Ostrów Wielkopolski,2548,9.4,8.2
192,Ostrów Wielkopolski,3304,8.8,9.2
193,Włoszakowice,4620,9.7,9.2
194,"Stare Miasto, Poznań",1658,8.3,8.8
195,Ostrów Wielkopolski,4025,8.2,8.4
196,Police Mostowe,2646,8.5,9.1
197,Poznań,4340,9.0,8.2
198,"Wilda, Poznań",3386,8.9,8.7
199,Kępno,3220,8.3,8.1
200,"Stare Miasto, Poznań",4823,8.8,8.8
201,Stare Miasto,2660,9.7,9.2
202,"Stare Miasto, Poznań",2943,8.7,9.8
203,Wijewo,3300,9.4,9.0
204,Powidz,6554,9.5,8.5
205,Złotów,1890,9.4,10.0
206,"Jeżyce, Poznań",1582,8.4,10.0
207,Szamotuły,2030,7.8,9.0
208,Sieraków,5138,8.3,9.0
209,Bojanowo,2800,6.4,9.0
210,Murowana Goślina,2520,8.8,9.8
211,"Grunwald, Poznań",2466,9.4,8.4
212,Wolsztyn,2030,8.0,9.7
213,Sieraków,3990,9.4,9.1
214,Gniezno,2318,8.3,9.0
215,Ostrowite,3299,9.0,8.2
216,Pobiedziska,2660,9.1,9.2
217,Gniezno,3150,8.7,8.9
218,"Nowe Miasto, Poznań",4250,7.8,9.7
219,"Stare Miasto, Poznań",2600,8.4,8.4
220,Stęszew,2069,9.0,9.1
