,City,Cost,Rating,Comfort
0,Wisła,1792,8.0,8.0
1,Jeleśnia,2627,8.0,8.0
2,Pyrzowice,7560,8.7,9.1
3,Kroczyce,3059,8.3,8.1
4,Istebna,4760,8.4,8.4
5,Milówka,2769,8.2,8.4
6,Dąbrowa Górnicza,4514,8.7,8.9
7,Tychy,5626,8.0,8.1
8,Szczyrk,9174,8.4,8.6
9,Istebna,5226,8.4,8.3
10,Katowice,2807,8.7,8.7
11,Jaworzno,3360,8.3,8.4
12,Sosnowiec,2003,7.8,9.0
13,Bytom,3850,8.8,9.4
14,Biskupice,3150,9.5,8.6
15,Będzin,2261,7.8,9.0
16,Będzin,3150,8.5,8.3
17,Bielsko-Biała,3258,8.8,9.0
18,Sosnowiec,2907,7.5,8.7
19,Międzybrodzie Bialskie,3469,8.7,8.5
20,Ustroń,3235,8.0,8.5
21,Brenna,6124,8.9,8.6
22,Woźniki,4473,8.6,8.5
23,Kroczyce,4750,8.5,9.1
24,Katowice,3800,8.4,8.0
25,Rybnik,3990,8.6,8.7
26,Cieszyn,1605,8.8,8.7
27,Szczyrk,6020,9.1,8.8
28,Będzin,3290,7.8,8.7
29,Wisła,2142,8.1,8.4
30,Szczyrk,6510,8.6,8.9
31,Istebna,3906,9.0,9.5
32,Chorzów,3310,8.6,8.7
33,Gliwice,3636,8.5,8.2
34,Katowice,3560,8.3,8.8
35,Gliwice,4916,8.7,8.9
36,Żabnica,3742,9.6,8.9
37,Ustroń,3801,8.0,8.8
38,Racibórz,2093,8.7,9.8
39,Mszana,2303,8.1,9.0
40,Gliwice,5002,8.5,8.7
41,Międzybrodzie Bialskie,2296,9.2,9.1
42,Czeladź,3754,8.8,8.8
43,Racibórz,2376,7.6,9.8
44,Bytom,4410,8.8,8.1
45,Wisła,5371,9.4,8.7
46,Zwardoń,910,8.3,9.1
47,Koniaków,4190,9.3,8.4
48,Wisła,5512,8.8,9.6
49,Ustroń,8698,8.7,8.6
50,Bytom,4410,8.8,8.7
51,Wisła,5371,9.4,9.1
52,Zwardoń,910,8.3,8.4
53,Wisła Mała,2240,8.3,8.6
54,Wisła,5512,8.8,8.3
55,Ustroń,8146,8.7,8.3
56,Dzibice,2111,8.7,9.1
57,Zabrze,3029,9.4,8.7
58,Tychy,5371,8.6,9.0
59,Szczyrk,5474,8.6,8.4
60,Chorzów,2829,9.0,8.5
61,Ustroń,2463,8.5,8.1
62,Tarnowskie Góry,3710,8.5,8.7
63,Pyrzowice,6440,8.2,8.8
64,Bielsko-Biała,3780,8.4,9.3
65,Roszków,3793,8.9,9.2
66,Katowice,2250,8.4,9.0
67,Chorzów,4879,8.7,9.4
68,Gliwice,4466,8.3,8.0
69,Zebrzydowice,2450,8.3,8.6
70,Szczyrk,5129,8.0,9.2
71,Bielsko-Biała,4550,8.4,9.2
72,Racibórz,2016,8.6,9.1
73,Wisła,12054,8.8,8.8
74,Cieszyn,2044,9.2,9.5
75,Niegowa,5180,8.8,9.1
76,Rogoźnik,3197,9.3,9.1
77,Częstochowa,1449,8.2,8.8
78,Katowice,4340,8.3,8.6
79,Katowice,4600,9.1,8.3
80,Bielsko-Biała,1667,9.1,8.3
81,Żory,4426,9.0,8.7
82,Ustroń,3780,8.9,8.8
83,Glinka,3509,9.8,8.3
84,Cieszyn,2611,9.2,9.2
85,Szczyrk,3027,9.2,8.7
86,Goczałkowice-Zdrój,1596,8.8,9.6
87,Zarzecze,2800,8.7,9.2
88,Szczyrk,2814,8.3,9.2
89,Szczyrk,2596,8.2,9.7
90,Ustroń,7236,8.6,8.1
91,Pyrzowice,3150,8.9,8.4
92,Czeladź,3950,8.3,8.1
93,Gliwice,2800,9.1,9.0
94,Katowice,2394,8.5,8.4
95,Wisła,5403,9.6,9.8
96,Żywiec,2520,9.4,8.4
97,Milówka,2820,9.0,8.7
98,Ogrodzieniec,13710,8.1,9.2
99,Zabrze,2660,9.3,9.6
100,Zbrosławice,1971,8.1,9.7
101,Zabrze,1330,8.0,8.5
102,Rybnik,1661,7.2,8.5
103,Cieszyn,2480,6.1,8.8
104,Cieszyn,3354,8.2,9.7
105,Sosnowiec,3892,8.1,8.8
106,Katowice,2892,8.0,8.4
107,Laliki,2190,8.8,8.2
108,Lubliniec,9100,8.7,8.8
109,Korbielów,1803,9.8,8.5
110,Szczyrk,3910,8.7,8.8
111,Brenna,2568,8.6,8.4
112,Pyskowice,1244,9.1,8.8
113,Lubliniec,2170,9.3,8.2
114,Katowice,5391,9.6,8.5
115,Wisła,3423,8.4,8.9
116,Częstochowa,1921,8.3,9.7
117,Korbielów,4760,8.8,8.8
118,Lubliniec,2522,9.6,9.5
119,Szczyrk,2035,9.1,9.0
120,Bytom,2170,8.3,9.2
121,Jaworzynka,2125,8.2,9.2
122,Gliwice,3490,8.9,9.1
123,Gliwice,4095,8.4,8.0
124,Rajcza,2235,9.1,9.7
125,Korbielów,4760,8.3,9.4
126,Jaworzynka,3993,8.9,9.4
127,Gliwice,3500,8.2,9.5
128,Rajcza,2495,8.3,9.5
129,Gliwice,4095,8.7,8.7
130,Pszczyna,3150,9.5,9.6
131,Krzyżanowice,1690,8.7,8.9
132,Szczyrk,5614,9.4,9.8
133,Katowice,3390,9.2,9.2
134,Zabrze,2405,9.1,8.6
135,Niegowa,1400,9.2,9.6
136,Ustroń,7973,8.9,9.1
137,Istebna,1713,8.4,8.0
138,Wisła,5426,9.6,9.6
139,Olsztyn,2730,9.4,9.0
140,Bielsko-Biała,2236,9.4,8.9
141,Bestwina,2940,9.4,9.4
142,Ustroń,4305,9.4,10.0
143,Szczyrk,2816,8.6,8.1
144,Szczyrk,3325,9.5,8.7
145,Częstochowa,3220,8.9,8.4
146,Szczyrk,3236,9.9,9.1
147,Wodzisław Śląski,2590,9.4,9.4
148,Gliwice,2781,7.5,9.9
149,Celiny,3403,8.4,8.1
150,Gliwice,1915,9.5,9.7
151,Żory,3108,9.0,9.3
152,Częstochowa,2320,7.8,8.0
153,Zabrze,1933,9.4,9.6
154,Wodzisław Śląski,2870,9.0,9.7
155,Katowice,2281,8.6,9.7
156,Cieszyn,2030,9.6,9.3
157,Szczyrk,7607,9.9,9.8
158,Łebki,1707,8.1,9.6
159,Szczyrk,3137,8.5,9.3
160,Zabrze,3544,8.4,8.7
161,Mikołów,4200,8.7,9.8
162,Węgierska Górka,5565,9.2,8.9
163,Szczyrk,6265,9.7,8.3
164,Gliwice,2800,8.4,9.6
165,Szczyrk,5013,9.0,8.8
166,Istebna,3193,9.3,9.6
167,Międzybrodzie Bialskie,7192,8.2,9.5
168,Szczyrk,3149,9.5,9.1
169,Rajcza,1191,9.6,9.3
170,Wisła,2036,9.8,8.3
171,Szczyrk,3478,7.9,9.8
172,Szczyrk,7279,9.3,8.7
173,Przybynów,1785,9.8,9.5
174,Bielsko-Biała,2056,9.6,9.3
175,Ustroń,2757,9.3,9.7
176,Wisła,2778,8.7,9.4
177,Szczyrk,3149,9.7,9.1
178,Brenna,2926,9.0,9.6
179,Pszczyna,2520,8.3,9.1
180,Wisła,3962,9.7,9.3
181,Katowice,3140,8.7,9.5
182,Bielsko-Biała,3617,9.6,8.3
183,Świętochłowice,2250,9.7,9.8
184,Porąbka,2000,8.9,8.7
185,Wisła,6649,9.2,8.1
186,Gliwice,5430,8.2,9.5
187,Wisła,1932,9.8,9.3
188,Katowice,3906,7.9,9.7
189,Żabnica,2227,8.8,9.6
190,Katowice,11770,7.6,9.4
191,Ruda Śląska,3185,7.7,9.1
