,City,Cost,Rating,Comfort
0,"Dzielnica Uzdrowiskowa, Kołobrzeg",7343,9.0,9.2
1,Rogowo,6256,9.0,9.0
2,Pustkowo,5810,9.4,9.4
3,Kołobrzeg,4774,8.2,8.5
4,Sianożęty,4930,8.6,8.9
5,Jarosławiec,5082,8.6,8.5
6,Świnoujście,7921,8.4,9.0
7,Świnoujście,3893,8.2,8.4
8,Międzyzdroje,4155,8.1,8.0
9,Darłówko,4764,9.6,9.7
10,Jezierzany,4665,7.9,9.7
11,Borne Sulinowo,3850,9.7,9.5
12,Stargard,2660,9.4,10.0
13,Spore,2983,10.0,8.2
14,Niechorze,4020,8.3,9.8
15,Mielenko,3158,9.2,9.4
16,Pogorzelica,3540,9.4,9.3
17,Międzyzdroje,5162,7.7,8.3
18,Gąski,5762,9.7,8.9
19,Świnoujście,6834,8.0,9.5
20,Pobierowo,3713,8.9,9.4
21,Jarosławiec,4050,9.5,8.8
22,Grzybowo,5064,9.3,8.6
23,"Śródmieście, Szczecin",3233,8.6,9.3
24,Dziwnówek,7248,8.3,9.3
25,Kołobrzeg,4338,9.1,8.8
26,Sarbinowo,6975,9.2,8.8
27,Kołobrzeg,6275,8.7,9.6
28,Rogowo,3614,8.8,8.8
29,Koszalin,5526,9.4,9.0
30,Pustkowo,5775,8.9,9.6
31,Ińsko,2450,9.0,9.5
32,Dąbki,4618,9.5,9.1
33,Koszalin,4333,9.4,8.7
34,"Śródmieście, Szczecin",3850,8.8,8.5
35,"Śródmieście, Szczecin",3675,8.7,8.6
36,"Śródmieście, Szczecin",2709,7.4,10.0
37,Międzyzdroje,6118,8.3,9.0
38,"Dzielnica Uzdrowiskowa, Kołobrzeg",5350,7.5,8.8
39,Sianożęty,4166,8.4,9.4
40,Rusinowo,3442,9.6,9.4
41,"Śródmieście, Szczecin",3480,8.8,8.1
42,Mielno,7691,8.2,9.4
43,Ińsko,6300,9.2,8.7
44,Pobierowo,7756,9.3,9.2
45,"Śródmieście, Szczecin",2668,7.9,9.0
46,"Dzielnica Uzdrowiskowa, Kołobrzeg",4801,9.2,8.1
47,"Dzielnica Uzdrowiskowa, Kołobrzeg",7464,8.6,9.4
48,"Dzielnica Uzdrowiskowa, Kołobrzeg",6424,9.0,8.7
49,"Śródmieście, Szczecin",4160,8.8,9.2
50,"Śródmieście, Szczecin",2668,7.9,9.0
51,"Dzielnica Uzdrowiskowa, Kołobrzeg",4301,9.2,9.2
52,"Dzielnica Uzdrowiskowa, Kołobrzeg",6664,8.6,8.5
53,"Dzielnica Uzdrowiskowa, Kołobrzeg",6424,9.0,8.8
54,"Śródmieście, Szczecin",4160,8.8,9.0
55,"Śródmieście, Szczecin",2226,7.9,9.5
56,"Śródmieście, Szczecin",2303,9.2,9.0
57,"Dzielnica Uzdrowiskowa, Kołobrzeg",4474,8.3,9.0
58,Dziwnów,6815,8.8,9.1
59,Mrzeżyno,5866,8.9,9.4
60,Kołobrzeg,4934,9.3,9.3
61,"Dzielnica Uzdrowiskowa, Kołobrzeg",4864,8.8,9.8
62,"Dzielnica Uzdrowiskowa, Kołobrzeg",8735,8.5,9.3
63,Ustronie Morskie,6623,9.1,8.6
64,"Dzielnica Uzdrowiskowa, Kołobrzeg",4865,9.5,8.4
65,Rusinowo,2888,9.2,9.3
66,Dziwnówek,4753,9.8,9.1
67,Rewal,3430,8.8,9.3
68,Międzyzdroje,8337,8.8,9.4
69,Goleniów,5586,8.6,8.1
70,Rewal,8470,9.2,8.5
71,Mielno,8605,9.0,10.0
72,"Dzielnica Uzdrowiskowa, Kołobrzeg",3656,9.3,9.5
73,Świnoujście,6351,8.8,9.8
74,Wicie,2915,8.7,8.8
75,Sarbinowo,3457,8.4,8.2
76,Wicie,6359,10.0,9.0
77,Świnoujście,6734,7.6,9.0
78,Świnoujście,2544,7.1,9.3
79,Czaplinek,4127,9.3,8.5
80,Borne Sulinowo,3500,9.6,9.7
81,Międzywodzie,2010,9.0,9.2
82,"Dzielnica Uzdrowiskowa, Kołobrzeg",4400,7.9,8.8
83,Barwice,2570,9.1,9.2
84,Wicie,2656,9.4,9.0
85,Pogorzelica,3776,9.5,8.8
86,Świnoujście,5721,8.5,9.7
87,"Śródmieście, Szczecin",2514,9.5,8.8
88,Gąski,3909,9.4,8.9
89,Darłowo,3500,9.3,8.5
90,Grzybowo,5626,9.0,10.0
91,Międzyzdroje,4257,9.0,8.9
92,Dziwnówek,2730,8.9,9.3
93,Dziwnów,6779,9.4,8.2
94,Jarosławiec,2806,9.0,8.8
95,Mielenko,4738,8.9,8.7
96,"Dzielnica Uzdrowiskowa, Kołobrzeg",3370,8.5,9.1
97,Mrzeżyno,3970,9.1,9.2
98,Gąski,2809,9.0,9.7
99,Trzęsacz,2760,9.3,9.0
100,Jarosławiec,5840,8.1,10.0
101,"Dzielnica Uzdrowiskowa, Kołobrzeg",4113,8.6,9.7
102,Gryfino,2800,8.5,9.6
103,Szczecin,3150,9.0,9.6
104,Jarosławiec,5061,9.3,8.3
105,Nowe Warpno,7124,9.2,9.2
106,Łazy,5985,9.2,8.3
107,Jarosławiec,4053,10.0,8.0
108,"Śródmieście, Szczecin",11730,9.6,9.2
109,Świnoujście,14093,9.5,9.2
110,Goleniów,2730,9.4,9.6
111,Koszalin,3563,8.1,9.5
112,"Śródmieście, Szczecin",2119,9.3,9.8
113,Ustronie Morskie,8860,8.0,8.2
114,Świnoujście,5240,7.9,8.6
115,"Północ, Szczecin",2258,8.7,8.2
116,Świnoujście,5053,9.0,9.0
117,Międzyzdroje,4098,9.5,9.0
118,Drawsko Pomorskie,5240,9.3,9.0
119,Darłowo,5435,9.7,9.5
120,Sianożęty,3911,8.2,8.6
121,Sarbinowo,2039,7.6,9.1
122,Kołczewo,4455,7.9,9.2
123,"Dzielnica Uzdrowiskowa, Kołobrzeg",7740,8.9,8.9
124,"Śródmieście, Szczecin",4230,8.8,8.9
125,Koszalin,1607,8.7,9.4
126,Koszalin,1725,9.1,9.7
127,Świnoujście,3860,8.3,8.4
128,Sarbinowo,6246,9.2,8.9
129,"Śródmieście, Szczecin",3470,9.2,9.4
130,Mielenko,2602,9.0,9.1
131,Wałcz,2023,8.8,8.8
132,Łukęcin,3268,9.4,9.7
133,Świnoujście,7100,9.4,8.4
134,Wicie,2727,8.8,8.2
