,City,Cost,Rating,Comfort
0,Spała,7154,8.7,8.8
1,"Śródmieście, Łódź",2597,8.1,8.2
2,Uniejów,6356,9.0,9.3
3,Dobroń,4620,9.6,9.6
4,Piotrków Trybunalski,3150,9.5,9.6
5,"Śródmieście, Łódź",1108,7.4,9.4
6,Osjaków,4885,9.5,9.5
7,Piotrków Trybunalski,3591,7.9,8.4
8,Inowłódz,2111,9.3,9.4
9,Zgierz,3183,8.3,8.1
10,"Śródmieście, Łódź",5796,8.9,8.7
11,Leżnica Wielka,3185,8.1,8.1
12,Smardzewice,3066,8.8,8.0
13,Spała,4441,8.3,8.3
14,Kutno,3961,7.9,9.0
15,Spała,5460,8.4,8.1
16,"Śródmieście, Łódź",6211,8.7,9.4
17,Kutno,3360,7.8,9.4
18,Łódź,1852,8.1,9.4
19,"Śródmieście, Łódź",1276,7.1,9.5
20,"Bałuty, Łódź",7056,9.1,8.2
21,"Śródmieście, Łódź",2709,7.7,9.5
22,Konstantynów Łódzki,2460,7.9,8.6
23,"Śródmieście, Łódź",4130,7.6,9.4
24,Łódź,6083,9.0,8.6
25,Łódź,5923,9.0,8.9
26,Uniejów,7466,9.2,8.4
27,Bolesławiec,3710,8.0,9.6
28,Uniejów,1889,9.4,8.7
29,Łódź,4280,8.3,8.0
30,Łódź,2368,9.3,8.6
31,Chlebów,2450,8.7,9.3
32,Łódź,5078,8.8,8.2
33,Łódź,4620,7.7,8.5
34,Bełchatów,4054,8.1,9.1
35,Moszczenica,5670,9.5,9.0
36,"Śródmieście, Łódź",5560,8.5,8.5
37,"Śródmieście, Łódź",3368,7.6,9.5
38,Piotrków Trybunalski,2212,8.0,8.1
39,Złoczew,2955,7.8,8.4
40,Kutno,4340,8.5,8.4
41,Księże Młyny,1971,7.1,8.1
42,Łódź,2994,9.1,8.0
43,"Śródmieście, Łódź",1903,8.1,9.0
44,"Śródmieście, Łódź",4970,8.3,8.9
45,Wieluń,3780,8.9,8.4
46,Osjaków,3360,8.8,9.0
47,Łódź,4748,8.4,8.4
48,Uniejów,3156,9.3,9.3
49,Radomsko,2310,8.3,9.3
50,"Śródmieście, Łódź",1950,8.6,10.0
51,Łódź,3391,8.3,9.6
52,Radomsko,2310,8.3,8.5
53,Konstantynów Łódzki,2366,8.0,9.3
54,Wolbórz,2926,8.9,9.4
55,Polichno,2506,7.7,9.6
56,Spała,4440,8.9,9.3
57,Piotrków Trybunalski,4110,8.4,8.4
58,Uniejów,6598,8.8,9.2
59,Uniejów,4340,8.5,8.7
60,"Śródmieście, Łódź",3790,9.2,9.6
61,Radomsko,3500,9.2,8.3
62,Łyszkowice,4360,9.7,8.5
63,Łódź,3223,9.5,9.6
64,"Śródmieście, Łódź",3223,8.7,8.3
65,"Bałuty, Łódź",2266,9.2,8.3
66,Tomaszów Mazowiecki,7898,8.8,8.6
67,Łódź,3574,9.5,9.7
68,Łęczyca,4988,9.2,8.4
69,Stryków,3892,8.4,8.5
70,Skierniewice,2905,9.0,8.3
71,Opoczno,3500,7.4,8.3
72,Radomsko,2660,8.7,9.3
73,Nowy Lubiaszów,5204,9.5,8.0
74,Radomsko,3010,8.4,8.8
75,Smardzewice,1775,9.2,8.9
76,Nowy Lubiaszów,5204,9.5,8.3
77,Radomsko,3010,8.4,8.4
78,Wieluń,2520,8.2,8.7
79,Slok,4836,7.7,8.4
80,Nowostawy Dolne,2800,8.5,9.3
81,"Śródmieście, Łódź",2135,8.5,8.1
82,"Śródmieście, Łódź",3915,9.6,9.6
83,Aleksandrów Łódzki,2926,8.4,9.1
84,Rawa Mazowiecka,1946,7.4,8.1
85,"Śródmieście, Łódź",2803,8.3,9.7
86,Pabianice,4060,8.3,9.4
87,Rawa Mazowiecka,2240,6.0,9.0
88,Osowa,2380,8.5,9.1
89,Łódź,4186,8.2,8.5
90,Spała,6300,9.1,9.6
91,Nieborów,3220,8.3,9.5
92,Sokolniki,2457,8.9,8.6
93,Łódź,4746,8.8,8.2
94,"Śródmieście, Łódź",2779,8.5,8.0
95,"Śródmieście, Łódź",2135,8.6,9.2
96,"Bałuty, Łódź",4034,8.5,9.1
97,Lućmierz,2786,8.3,9.8
98,Łódź,1643,7.4,8.5
99,"Bałuty, Łódź",2494,9.3,8.3
100,"Bałuty, Łódź",5826,8.3,9.3
101,Łódź,2881,9.5,9.8
102,Pabianice,6900,8.8,10.0
103,"Śródmieście, Łódź",4636,8.0,8.4
104,Kutno,1750,9.7,8.8
105,Sulejów,1820,7.9,8.1
106,Aleksandrów Łódzki,2100,9.2,8.8
107,Radomsko,2660,8.9,9.5
108,Uniejów,3133,9.3,9.7
109,Piotrków Trybunalski,2380,8.3,8.6
110,"Śródmieście, Łódź",6040,9.5,8.6
111,Pątnów,2590,9.7,8.3
112,Pabianice,3360,8.4,8.3
113,"Śródmieście, Łódź",3346,8.4,9.5
114,Spała,4127,6.6,8.1
115,Łódź,2746,8.0,10.0
116,Piotrków Trybunalski,2310,7.9,9.4
117,"Bałuty, Łódź",5320,7.3,8.5
118,Łódź,4073,9.0,9.7
119,"Bałuty, Łódź",3136,7.6,8.0
120,Łódź,2899,7.9,8.0
121,Stryków,5354,9.0,9.5
122,Uniejów,3243,9.9,8.1
123,Uniejów,8275,8.4,10.0
124,Łódź,2646,7.7,9.4
125,Łódź,2646,7.7,9.7
126,"Śródmieście, Łódź",3588,8.2,8.5
127,Uniejów,2772,9.4,9.7
128,Łódź,3184,9.7,8.0
129,"Bałuty, Łódź",4622,9.8,9.1
130,"Śródmieście, Łódź",2343,8.5,9.4
131,Konstantynów Łódzki,3290,8.7,8.6
132,Zgierz,2520,8.1,9.3
133,Wierzchlas,2800,8.7,9.0
134,Łódź,2579,9.4,9.5
135,"Bałuty, Łódź",6146,9.5,8.0
136,"Śródmieście, Łódź",1920,7.8,9.6
137,Piotrków Trybunalski,2450,8.8,9.8
138,Kwiatkowice,6248,8.7,8.6
139,"Śródmieście, Łódź",2287,8.2,8.4
140,Drzewica,2906,8.5,9.0
141,"Śródmieście, Łódź",3726,9.5,9.9
142,"Śródmieście, Łódź",3825,7.9,9.5
143,Spała,2926,9.6,8.5
144,Konstantynów Łódzki,2590,9.4,9.4
145,Bełchatów,3824,8.4,8.2
146,Uniejów,2228,7.5,9.5
147,Głowno,3102,9.5,9.8
148,"Śródmieście, Łódź",1420,8.2,8.9
149,Łódź,2150,7.9,8.5
150,"Śródmieście, Łódź",3726,9.5,8.0
151,"Śródmieście, Łódź",3825,7.9,8.4
152,Spała,2926,9.6,9.0
153,Konstantynów Łódzki,2590,9.4,10.0
154,Uniejów,2228,7.5,8.9
155,Łódź,2083,9.6,9.0
156,Łódź,1965,8.4,8.6
157,Głowno,3137,9.5,8.5
158,Łódź,2150,7.9,9.5
159,Sieradz,2261,9.0,9.1
160,Łask,8478,9.0,9.0
161,Konstantynów Łódzki,1841,7.3,8.4
162,"Śródmieście, Łódź",2348,8.3,9.3
163,Uniejów,4419,9.3,9.7
164,Bełchatów,5180,8.5,8.9
165,Inowłódz,2660,9.3,9.3
166,"Śródmieście, Łódź",1420,8.2,8.8
167,Koluszki,3212,9.5,8.6
168,Uniejów,2893,9.9,9.5
169,Skierniewice,3220,7.4,9.0
170,Piotrków Trybunalski,4326,8.3,8.5
171,Spała,3696,8.3,9.7
172,Uniejów,7840,9.1,10.0
173,Łódź,2906,9.7,8.7
174,Łódź,2612,9.3,8.2
175,"Śródmieście, Łódź",3990,8.6,8.6
176,"Bałuty, Łódź",2079,9.3,9.4
177,"Bałuty, Łódź",3360,8.4,8.6
178,Tomaszów Mazowiecki,3066,9.5,8.9
179,Inowłódz,3901,9.7,9.0
180,"Śródmieście, Łódź",5143,9.0,9.2
181,Uniejów,2807,8.8,8.4
182,Sieradz,2800,8.3,8.1
183,Pabianice,3080,8.4,8.8
184,"Śródmieście, Łódź",2644,9.0,8.6
185,Spała,4858,9.5,8.9
186,Stryków,3955,8.5,9.0
187,Łódź,1991,7.9,8.4
