,City,Cost,Rating,Comfort
0,Marzysz,2800,9.1,9.0
1,Kielce,4620,8.2,8.5
2,Sobków,3500,8.7,8.0
3,Sandomierz,5570,8.9,9.1
4,Ostrowiec Świętokrzyski,3290,9.0,9.1
5,Busko-Zdrój,4900,9.2,9.3
6,Bałtów,5656,8.3,8.2
7,Opatów,3472,8.8,8.9
8,Solec-Zdrój,2562,9.5,9.6
9,Święta Katarzyna,2388,9.1,9.3
10,Masłów,2926,7.3,8.2
11,Bodzentyn,4200,8.2,9.0
12,Skarżysko-Kamienna,3458,8.7,8.2
13,Busko-Zdrój,6712,8.3,8.4
14,Ostrowiec Świętokrzyski,3220,8.7,9.5
15,Starachowice,2380,9.5,8.4
16,Krajno Pierwsze,1994,7.3,9.4
17,Końskie,2380,7.4,8.4
18,Ostrowiec Świętokrzyski,3500,8.7,8.8
19,Krajno Pierwsze,1504,9.0,8.2
20,Skalbmierz,3824,8.3,9.8
21,Starachowice,5250,9.2,10.0
22,Odonów,2345,8.3,8.9
23,Zielonki,2310,9.5,9.8
24,Bodzentyn,5600,10.0,9.1
25,Wojtyniów,3850,8.7,9.6
26,Starachowice,5782,9.5,9.5
27,Bodzentyn,5600,8.7,8.3
28,Busko-Zdrój,7750,9.6,9.6
29,Sandomierz,5360,9.5,8.9
30,Krajno Pierwsze,1994,8.6,9.4
31,Święta Katarzyna,1680,9.5,9.9
32,Busko-Zdrój,5306,8.8,9.0
33,Cedzyna,7840,9.2,9.2
34,Busko-Zdrój,6300,9.9,9.6
35,Solec-Zdrój,3964,9.0,9.9
36,Bodzentyn,3890,9.4,8.8
37,Sandomierz,3220,9.5,8.6
38,Suchedniów,2450,9.8,8.9
39,Sandomierz,2100,9.4,9.4
40,Święta Katarzyna,2660,8.8,9.1
41,Krajno Pierwsze,1602,8.7,9.1
42,Busko-Zdrój,2170,9.3,9.4
43,Kielce,5120,9.3,8.1
44,Bodzentyn,1785,9.4,10.0
45,Sandomierz,3360,9.4,9.1
46,Grzegorzewice,3500,8.4,9.1
47,Święta Katarzyna,1400,10.0,8.3
48,Stopnica,2240,9.1,9.4
49,Ożarów,3683,9.4,8.1
50,Busko-Zdrój,2520,8.5,8.1
51,Grzegorzewice,3500,9.3,10.0
52,Busko-Zdrój,2030,7.9,9.5
53,Bodzentyn,1785,8.4,8.6
54,Kielce,3045,10.0,8.1
55,Stopnica,2240,9.5,8.5
56,Ożarów,3683,7.4,9.6
57,Łagów,3094,8.9,8.4
58,Ostrowiec Świętokrzyski,2520,8.3,9.0
59,Chęciny,2520,8.5,9.4
60,Stopnica,1960,9.5,8.8
61,Kielce,3220,8.4,9.1
62,Sandomierz,3546,9.0,8.4
63,Raków,3430,9.3,9.0
64,Sandomierz,5088,9.4,8.7
65,Kielce,1960,9.0,9.5
66,Pielaszów,2856,8.4,8.2
67,Kielce,5740,9.0,8.2
68,Starachowice,2520,8.8,8.2
69,Łopuszno,3080,9.2,8.2
70,Sandomierz,5100,8.3,8.9
71,Kielce,11202,8.5,8.2
72,Mniów,2380,8.3,8.5
73,Skarżysko-Kamienna,1680,8.3,9.3
74,Kielce,3814,9.1,9.2
75,Mniów,2380,8.5,8.2
76,Ostrowiec Świętokrzyski,2520,6.5,9.5
77,Skarżysko-Kamienna,1680,8.2,8.3
78,Kielce,2166,9.4,8.7
79,Kielce,3535,9.4,8.5
80,Dwikozy,1510,8.1,9.1
81,Krajno Pierwsze,1714,9.5,8.8
82,Kielce,3526,8.3,8.5
83,Chęciny,2800,8.6,8.6
84,Górno,2142,8.3,9.5
85,Kielce,4550,9.3,8.6
86,Ostrowiec Świętokrzyski,2321,7.5,8.0
87,Busko-Zdrój,1785,9.1,8.9
88,Bałtów,2400,8.6,8.8
89,Sandomierz,5650,8.4,8.3
90,Ostrowiec Świętokrzyski,3906,9.4,9.3
91,Kielce,1710,8.5,8.3
92,Włoszczowa,2524,8.2,8.9
93,Kielce,4550,7.8,9.4
94,Chęciny,3500,8.7,8.0
95,Sandomierz,4480,8.8,9.8
96,Kielce,3050,9.0,9.4
97,Obrazów,1735,9.6,9.3
98,Chęciny,2240,9.0,8.5
99,Końskie,2443,8.9,9.3
100,Chęciny,2240,9.3,8.9
101,Ostrowiec Świętokrzyski,2380,8.3,9.8
102,Kielce,2893,9.7,8.8
103,Przybysławice,3700,9.4,8.7
104,Sandomierz,2755,9.1,8.4
105,Sandomierz,2715,8.0,9.4
106,Górno,2240,9.6,9.4
107,Sobków,3080,8.7,9.4
108,Kielce,3760,9.7,9.9
109,Końskie,2443,9.0,9.5
110,Kielce,3050,9.3,9.4
111,Busko-Zdrój,3500,8.3,8.8
112,Chęciny,2450,9.6,9.7
113,Bodzentyn,2800,9.6,9.7
114,Kielce,2772,7.5,9.9
115,Solec-Zdrój,2632,9.5,8.8
116,Miedzierza,2856,9.9,8.6
117,Bałtów,2400,9.4,8.0
118,Krajno-Zagórze,1990,9.2,10.0
119,Kielce,2284,8.7,9.4
120,Sandomierz,1883,8.3,9.7
121,Chańcza,6009,10.0,9.7
122,Busko-Zdrój,3630,10.0,8.0
123,Bałtów,1904,9.9,8.5
124,Bałtów,2240,8.8,9.0
125,Bałtów,2240,8.7,9.0
126,Kielce,2284,8.2,8.8
127,Ostrowiec Świętokrzyski,1820,10.0,8.8
128,Święta Katarzyna,3010,9.4,9.2
129,Szydłów,2753,9.6,8.4
130,Sobków,1991,9.7,10.0
131,Kielce,1820,8.3,8.3
132,Kielce,2280,8.9,9.5
133,Bałtów,7700,9.1,9.0
134,Chęciny,2170,8.8,9.8
135,Imielno,2768,8.9,8.0
136,Wiśniówka Mała,2753,8.5,9.5
137,Święta Katarzyna,8180,8.8,8.3
138,Kielce,2310,9.2,9.2
139,Kołomań,2240,8.4,9.0
140,Ostrowiec Świętokrzyski,1960,10.0,9.8
141,Ostrowiec Świętokrzyski,1345,8.8,9.7
142,Kielce,2366,9.4,9.7
143,Obrazów,5966,7.2,8.4
144,Kielce,3213,8.9,9.5
145,Święta Katarzyna,4620,9.8,9.0
146,Solec-Zdrój,3752,8.2,10.0
147,Opatów,2380,9.4,10.0
148,Sandomierz,4840,8.5,8.9
149,Święta Katarzyna,5460,9.2,9.3
150,Szydłów,2753,9.1,9.8
151,Kielce,2693,9.7,9.4
152,Chęciny,1540,9.7,9.6
153,Kielce,1960,9.8,8.9
154,Wiśniówka Mała,2753,8.5,9.6
155,Kielce,2410,7.9,9.7
156,Kielce,1785,9.8,9.8
157,Ćmińsk,5265,9.1,8.9
158,Kielce,3990,10.0,9.8
159,Chęciny,1750,10.0,9.5
160,Krajno-Zagórze,2660,9.2,9.7
161,Kielce,2413,7.9,8.9
162,Marzysz,6300,9.5,8.8
163,Sandomierz,4233,8.3,8.9
164,Wola,3050,9.8,9.4
165,Łopuszno,1400,9.4,9.6
166,Krajno-Zagórze,2310,9.7,8.9
167,Cisów,2660,8.9,9.8
168,Kielce,3995,9.5,9.0
169,Kielce,2016,9.7,9.6
170,Kielce,2008,9.6,9.1
171,Kielce,2373,8.8,8.8
172,Bieganów,3792,9.6,9.1
173,Miedziana Góra,2310,7.8,9.7
174,Sandomierz,4000,9.4,9.5
175,Kielce,1547,9.7,9.5
176,Sandomierz,4000,8.7,9.2
177,Kielce,3724,9.0,9.2
178,Sandomierz,5565,8.8,9.6
179,Miedziana Góra,2310,9.3,9.1
180,Suchedniów,2100,9.5,9.9
181,Busko-Zdrój,2184,8.9,8.0
182,Krajno Pierwsze,2177,9.7,10.0
183,Sandomierz,3920,9.1,8.2
184,Sandomierz,2800,9.3,10.0
185,Kielce,2373,9.3,8.9
186,Kielce,2310,8.9,9.3
187,Kielce,2100,9.2,9.9
188,Dwikozy,2968,9.6,9.5
189,Chęciny,2246,9.5,9.2
190,Solec-Zdrój,2058,9.8,8.6
191,Krajno Pierwsze,1574,9.2,8.2
192,Sandomierz,2363,9.1,8.3
193,Kielce,2000,9.5,9.5
194,Kielce,1888,9.1,10.0
195,Kielce,2380,9.9,9.9
196,Sandomierz,3050,7.9,8.8
197,Sandomierz,3015,10.0,9.5
198,Sandomierz,4740,8.3,8.8
199,Kielce,4632,7.9,10.0
200,Kielce,1750,10.0,9.1
201,Marzysz,6300,7.4,9.0
202,Górno,1960,9.3,10.0
203,Skarżysko-Kamienna,2800,9.8,9.0
204,Kielce,2079,9.6,9.5
205,Bałtów,2420,9.3,10.0
206,Sandomierz,3010,8.5,10.0
207,Kielce,2898,8.3,9.6
208,Waśniów,2753,8.2,9.0
209,Wilków,2450,7.7,9.8
210,Promnik,2906,9.5,9.3
211,Sandomierz,2520,9.9,10.0
212,Sandomierz,2450,9.9,9.4
213,Kielce,1995,9.1,9.6
214,Bodzentyn,2587,7.8,9.8
215,Tokarnia,2992,9.3,9.1
216,Kielce,4632,8.5,8.8
217,Bieliny,1368,10.0,8.4
218,Starachowice,2496,9.2,9.3
219,Kielce,3738,9.1,8.8
220,Kielce,3332,10.0,9.7
221,Busko-Zdrój,6300,9.1,10.0
222,Krajno-Zagórze,2310,9.4,9.3
223,Sandomierz,2440,10.0,8.3
224,Ćmielów,3442,9.8,9.3
225,Krajno-Zagórze,2310,9.5,10.0
226,Ćmielów,3442,9.2,8.8
227,Bałtów,4135,9.7,8.4
228,Busko-Zdrój,3780,9.2,9.3
229,Busko-Zdrój,2261,10.0,8.0
230,Kielce,2380,9.6,9.3
231,Kielce,2100,9.5,9.7
232,Solec-Zdrój,2338,9.7,8.4
233,Cedzyna,4643,9.4,8.5
234,Kielce,2100,8.9,9.9
235,Kielce,2432,8.4,9.4
236,Kielce,2614,7.7,10.0
237,Sandomierz,3015,9.3,9.7
238,Krajno-Zagórze,2573,9.2,8.3
239,Suchedniów,2309,9.6,9.0
240,Krajno-Zagórze,2590,9.5,9.7
241,Kielce,2093,9.3,9.3
242,Zagnańsk,1890,7.6,8.9
243,Bodzentyn,2380,8.8,8.3
244,Kielce,2487,9.1,9.5
245,Sandomierz,2934,10.0,10.0
246,Kielce,1607,7.6,9.3
247,Krzelów,4851,9.2,8.9
248,Kielce,2800,8.4,9.8
